Title,Title_link,Price,unit_info___32SjE,count___1LWwo,Headline,Field1,Field2,Field3
North Sea Fish Snacks 56 g,https://www.sayweee.com/en/product/North-Sea-Fish-Snacks/97550,$2.69,$0.04/g,1K+ Sold,North Sea Fish Snacks,(387),Mainland China,
Fried Fish with Peanuts  80 g,https://www.sayweee.com/en/product/Fried-Fish-with-Peanuts-/98872,$3.69,$0.04/g,1K+ Sold,Fried Fish with Peanuts,(143),Taiwan,
Irvins Salted Egg Fish Skin 105 g,https://www.sayweee.com/en/product/Irvins-Salted-Egg-Fish-Skin/170,$10.99,$0.10/g,700+ Sold,Irvins Salted Egg Fish Skin,(56),Singapore,IRVINS
Shirakiku Prepared Shredded Squid 56.7 g,https://www.sayweee.com/en/product/Shirakiku-Prepared-Shredded-Squid/74857,$3.49,$0.06/g,800+ Sold,Shirakiku Prepared Shredded Squid,(41),Japan,Shirakiku
Viva Almond Strips and Fish Snack 115 g,https://www.sayweee.com/en/product/Viva-Almond-Strips-and-Fish-Snack/7828,$6.99,$0.06/g,400+ Sold,Viva Almond Strips and Fish Snack,(84),Taiwan,Viva
"Chao You Wei Fish Ball, Spicy Flavor 90 g",https://www.sayweee.com/en/product/Chao-You-Wei-Fish-Ball--Spicy-Flavor/50436,$2.79,$0.03/g,50+ Sold,"Chao You Wei Fish Ball, Spicy Flavor",(2),Mainland China,JIJIDOU
"Wang Korea Fish Cake Sausages, Crab Flavor 10ct  340 g",https://www.sayweee.com/en/product/Wang-Korea-Fish-Cake-Sausages--Crab-Flavor-10ct-/59005,$5.99,,400+ Sold,"Wang Korea Fish Cake Sausages, Crab Flavor 10ct",(57),South Korea,Wang Korea
Dried Scallop  6 oz,https://www.sayweee.com/en/product/Dried-Scallop-/31579,$19.99,$3.33/oz,50+ Sold,Dried Scallop,(14),Mainland China,
Mr. Squid Spicy Seasoned Squid 30 g,https://www.sayweee.com/en/product/Mr--Squid-Spicy-Seasoned-Squid/31118,$2.59,$0.08/g,"200+ Sold,10 Left",Mr. Squid Spicy Seasoned Squid,(10),Thailand,
"Supreme Dry Crispy Dried Crab, Spicy  25 g",https://www.sayweee.com/en/product/Supreme-Dry-Crispy-Dried-Crab--Spicy-/15718,$4.59,$0.18/g,,"Supreme Dry Crispy Dried Crab, Spicy",(41),Taiwan,
Uncle Yu Spicy Squid Snack 5pk 60 g,https://www.sayweee.com/en/product/Uncle-Yu-Spicy-Squid-Snack-5pk/32943,$2.49,$0.04/g,50+ Sold,Uncle Yu Spicy Squid Snack 5pk,(26),Mainland China,
Fragrance Salted Egg Fish Skin 70 g,https://www.sayweee.com/en/product/Fragrance-Salted-Egg-Fish-Skin/42767,$8.99,$0.12/g,50+ Sold,Fragrance Salted Egg Fish Skin,(118),Singapore,
Nongshim Cuttlefish Snack 9.17 oz,https://www.sayweee.com/en/product/Nongshim-Cuttlefish-Snack/27832,$6.69,$0.72/oz,3 Left,Nongshim Cuttlefish Snack,,South Korea,Nongshim
"Shirakiku Prepared Shredded Squid, Saiika Smoked Hot Flavor 6 oz",https://www.sayweee.com/en/product/Shirakiku-Prepared-Shredded-Squid--Saiika-Smoked-Hot-Flavor/85157,$10.99,$1.83/oz,,"Shirakiku Prepared Shredded Squid, Saiika Smoked Hot Flavor",,Taiwan,Shirakiku
"Surasang Roasted Squid, Butter Flavor 4 oz",https://www.sayweee.com/en/product/Surasang-Roasted-Squid--Butter-Flavor/29463,$10.99,$2.74/oz,,"Surasang Roasted Squid, Butter Flavor",,South Korea,Surasang
"Surasang Seasoned Squid, Bulgogi Flavor 4.23 oz",https://www.sayweee.com/en/product/Surasang-Seasoned-Squid--Bulgogi-Flavor/29465,$10.99,$2.59/oz,,"Surasang Seasoned Squid, Bulgogi Flavor",(2),South Korea,Surasang
Surasang Roasted Seasoned Squid  4.23 oz,https://www.sayweee.com/en/product/Surasang-Roasted-Seasoned-Squid-/29464,$15.99,$3.78/oz,,Surasang Roasted Seasoned Squid,,South Korea,Surasang
Dragonfly Brand Anchovy with Chili 5.9 oz,https://www.sayweee.com/en/product/Dragonfly-Brand-Anchovy-with-Chili/43862,$4.99,$0.84/oz,50+ Sold,Dragonfly Brand Anchovy with Chili,(2),Thailand,Dragonfly
Irvins Black Pepper Salmon Skin  105 g,https://www.sayweee.com/en/product/Irvins-Black-Pepper-Salmon-Skin-/86911,$9.99,$0.09/g,,Irvins Black Pepper Salmon Skin,,Singapore,IRVINS
Big Squid Brand Giant Seasoned Squid Snack  80 g,https://www.sayweee.com/en/product/Big-Squid-Brand-Giant-Seasoned-Squid-Snack-/39394,$3.79,$0.04/g,,Big Squid Brand Giant Seasoned Squid Snack,(2),Thailand,
Rongnuo Sea Food Spicy Scallop 100 g,https://www.sayweee.com/en/product/Rongnuo-Sea-Food-Spicy-Scallop/79412,$6.99,$0.06/g,200+ Sold,Rongnuo Sea Food Spicy Scallop,(12),Mainland China,
"Shirakiku Prepared Shredded Squid, Sakiika Plain Flavor 8 oz",https://www.sayweee.com/en/product/Shirakiku-Prepared-Shredded-Squid--Sakiika-Plain-Flavor/85156,$10.99,$1.37/oz,50+ Sold,"Shirakiku Prepared Shredded Squid, Sakiika Plain Flavor",,Taiwan,Shirakiku
Richo Long Brand Giant Squid Snack  80 g,https://www.sayweee.com/en/product/Richo-Long-Brand-Giant-Squid-Snack-/39390,$3.69,$0.04/g,50+ Sold,Richo Long Brand Giant Squid Snack,(10),Thailand,
Rongnuo Spicy Hot Prawn Meat 100 g,https://www.sayweee.com/en/product/Rongnuo-Spicy-Hot-Prawn-Meat/86471,$6.99,$0.06/g,50+ Sold,Rongnuo Spicy Hot Prawn Meat,,Mainland China,
Koushuiwa Marinated Spicy Kelp 700 g,https://www.sayweee.com/en/product/Koushuiwa-Marinated-Spicy-Kelp/10907,$6.59,,100+ Sold,Koushuiwa Marinated Spicy Kelp,(49),Mainland China,
"Very Enjoyable Crab Flavor Fish Stick Snacks, Original Flavor 102 g",https://www.sayweee.com/en/product/Very-Enjoyable-Crab-Flavor-Fish-Stick-Snacks--Original-Flavor/37685,$3.49,$0.03/g,200+ Sold,"Very Enjoyable Crab Flavor Fish Stick Snacks, Original Flavor",,Mainland China,
"Richo Brand Super Long Fish Snack, BBQ Flavor 170 g",https://www.sayweee.com/en/product/Richo-Brand-Super-Long-Fish-Snack--BBQ-Flavor/39396,$4.49,,,"Richo Brand Super Long Fish Snack, BBQ Flavor",(2),Thailand,
Richo Long Brand Giant Fish Snack Spicy Flavor 170 g,https://www.sayweee.com/en/product/Richo-Long-Brand-Giant-Fish-Snack-Spicy-Flavor/39450,$4.49,,50+ Sold,Richo Long Brand Giant Fish Snack Spicy Flavor,(1),Thailand,
"Natural Fish Skin, Original Flavor 60 g",https://www.sayweee.com/en/product/Natural-Fish-Skin-Original-Flavor/32468,$4.79,$0.07/g,,"Natural Fish Skin, Original Flavor",(6),Mainland China,
Rofeel Little Yellow Croaker 106 g,https://www.sayweee.com/en/product/Rofeel-Little-Yellow-Croaker/41158,$2.99,,50+ Sold,Rofeel Little Yellow Croaker,(10),Mainland China,
Shirakiku Prepared Shredded Squid Sakiika Hot Flavor 7 oz,https://www.sayweee.com/en/product/Shirakiku-Prepared-Shredded-Squid-Sakiika-Hot-Flavor/85155,$10.99,$1.57/oz,50+ Sold,Shirakiku Prepared Shredded Squid Sakiika Hot Flavor,,Taiwan,Shirakiku
Shirakiku Prepared Shredded Squid Smoked Flavor 6 oz,https://www.sayweee.com/en/product/Shirakiku-Prepared-Shredded-Squid-Smoked-Flavor/85158,$10.99,$1.83/oz,50+ Sold,Shirakiku Prepared Shredded Squid Smoked Flavor,,Taiwan,Shirakiku
Chaolay Crispy White Sardine Tom Yum 3.53oz 3.53 oz,https://www.sayweee.com/en/product/Chaolay-Crispy-White-Sardine-Tom-Yum-353oz/15382,$3.79,$1.07/oz,,Chaolay Crispy White Sardine Tom Yum 3.53oz,(6),Thailand,
Rongnuo Sea Food Spicy Hot Squid Snack 80 g,https://www.sayweee.com/en/product/Rongnuo-Sea-Food-Spicy-Hot-Squid-Snack/10614,$6.79,$0.08/g,100+ Sold,Rongnuo Sea Food Spicy Hot Squid Snack,(6),Mainland China,
"Supreme Dry Crispy Dried Shrimp, Sichuan Spicy Flavor  25 g",https://www.sayweee.com/en/product/Supreme-Dry-Crispy-Dried-Shrimp--Sichuan-Spicy-Flavor-/21490,$3.09,$0.12/g,,"Supreme Dry Crispy Dried Shrimp, Sichuan Spicy Flavor",(25),Taiwan,
Richo Long Brand Giant Fish Snack Crab Flavor 170 g,https://www.sayweee.com/en/product/Richo-Long-Brand-Giant-Fish-Snack-Crab-Flavor/39451,$4.49,,,Richo Long Brand Giant Fish Snack Crab Flavor,(2),Thailand,
South of Border D.E. Chung Hua Braised Spicy Squid  180 g,https://www.sayweee.com/en/product/South-of-Border-D-E--Chung-Hua-Braised-Spicy-Squid-/28840,$15.99,$0.08/g,,South of Border D.E. Chung Hua Braised Spicy Squid,,Taiwan,
Cooked Fish Ball Curry Flavor 90 g,https://www.sayweee.com/en/product/Cooked-Fish-Ball-Curry-Flavor/28229,$3.99,$0.04/g,50+ Sold,Cooked Fish Ball Curry Flavor,(5),Mainland China,
Seasoned Squid Leg 180 g,https://www.sayweee.com/en/product/Seasoned-Squid-Leg/26607,$9.99,$0.05/g,,Seasoned Squid Leg,,South Korea,
Korean Seasoned Squid Snack 5.2 oz,https://www.sayweee.com/en/product/Korean-Seasoned-Squid-Snack/26640,$9.99,$1.92/oz,,Korean Seasoned Squid Snack,,South Korea,
Choripdong Seasoned and Shredded Squid  8 oz,https://www.sayweee.com/en/product/--Choripdong-Seasoned-and-Shredded-Squid-/26642,$10.99,$1.37/oz,,Choripdong Seasoned and Shredded Squid,,South Korea,Choripdong
Choripdong Dried Whole Squid 5pc 13.22 oz,https://www.sayweee.com/en/product/--Choripdong-Dried-Whole-Squid-5pc/26750,$39.99,$3.02/oz,,Choripdong Dried Whole Squid 5pc,,South Korea,Choripdong
CRAB FLAVOR FISH & CRAB STICKS 240g 240 g,https://www.sayweee.com/en/product/CRAB-FLAVOR-FISH--CRAB-STICKS-240g/31496,$6.99,,,CRAB FLAVOR FISH & CRAB STICKS 240g,(1),Mainland China,
Ground Fried Tuna Floss with Laver and Sesame 200 g,https://www.sayweee.com/en/product/Ground-Fried-Tuna-Floss-with-Laver-and-Sesame/30876,$9.99,$0.04/g,,Ground Fried Tuna Floss with Laver and Sesame,(5),Mainland China,
Rofeel Little Yellow Croaker 106 g,https://www.sayweee.com/en/product/Rofeel-Little-Yellow-Croaker/57596,$2.39,,,Rofeel Little Yellow Croaker,(14),Mainland China,
King's Roasted Squid Shreds 8 oz,https://www.sayweee.com/en/product/Kings-Roasted-Squid-Shreds/67252,$21.99,$2.74/oz,,King's Roasted Squid Shreds,(1),United States,King's
Japanese Hokkaido Baked Scallops  8 oz,https://www.sayweee.com/en/product/Japanese-Hokkaido-Baked-Scallops-/64633,$29.99,$3.74/oz,,Japanese Hokkaido Baked Scallops,(3),Japan,
Donggang Dried Sakura Shrimp Crackers with Almond 120 g,https://www.sayweee.com/en/product/Donggang-Dried-Sakura-Shrimp-Crackers-with-Almond/75628,$16.99,$0.14/g,,Donggang Dried Sakura Shrimp Crackers with Almond,(2),Taiwan,
Donggang Dried Seasoned Milkfish Slices 150 g,https://www.sayweee.com/en/product/Donggang-Dried-Seasoned-Milkfish-Slices/75646,$11.59,$0.07/g,,Donggang Dried Seasoned Milkfish Slices,(3),Taiwan,
Donggang Baked Fish Crackers with Sesame Seeds 160 g,https://www.sayweee.com/en/product/Donggang-Baked-Fish-Crackers-with-Sesame-Seeds/75650,$11.59,$0.07/g,,Donggang Baked Fish Crackers with Sesame Seeds,(10),Taiwan,
Donggang Dried Golden Shrimp Snack 150 g,https://www.sayweee.com/en/product/Donggang-Dried-Golden-Shrimp-Snack/75679,$11.59,$0.07/g,,Donggang Dried Golden Shrimp Snack,(2),Taiwan,
Donggang Dried Shredded Cod with Wasabi 170 g,https://www.sayweee.com/en/product/Donggang-Dried-Shredded-Cod-with-Wasabi/75629,$11.59,$0.06/g,,Donggang Dried Shredded Cod with Wasabi,(6),Taiwan,
Donggang Seafood Jerky 180 g,https://www.sayweee.com/en/product/Donggang-Seafood-Jerky/75630,$11.59,$0.06/g,,Donggang Seafood Jerky,(14),Taiwan,
Donggang Dried Sakura Shrimp Snacks with Sesame 150 g,https://www.sayweee.com/en/product/Donggang-Dried-Sakura-Shrimp-Snacks-with-Sesame/75633,$11.59,$0.07/g,,Donggang Dried Sakura Shrimp Snacks with Sesame,(14),Taiwan,
