Title,Title_link,Price,count___1LWwo,Headline,Field1,Field2,Field3
Mochi - Strawberry Flavor 120 g,https://www.sayweee.com/en/product/Mochi---Strawberry-Flavor/85098,$3.33,300+ Sold,Mochi - Strawberry Flavor,,Mainland China,
Regent Mochi Assorted 240 g,https://www.sayweee.com/en/product/Regent-Mochi-Assorted/14384,$3.69,300+ Sold,Regent Mochi Assorted,(6),Philippines,Regent
FormosaYAY Imperial Matcha Mochi 6pcs 180 g,https://www.sayweee.com/en/product/FormosaYAY-Imperial-Matcha-Mochi-6pcs/84645,$1.89,300+ Sold,FormosaYAY Imperial Matcha Mochi 6pcs,(4),Taiwan,
FormosaYAY Adzuki Bean Mochi 6pcs 180 g,https://www.sayweee.com/en/product/FormosaYAY-Adzuki-Bean-Mochi-6pcs/84644,$1.89,200+ Sold,FormosaYAY Adzuki Bean Mochi 6pcs,(4),Taiwan,
Red Bean Mochi 120 g,https://www.sayweee.com/en/product/Red-Bean-Mochi/16247,$1.89,300+ Sold,Red Bean Mochi,(19),Taiwan,
APoJia Mochi Mango Flavor  80 g,https://www.sayweee.com/en/product/APoJia-Mochi-Mango-Flavor-/84789,$1.59,"200+ Sold,86 Left",APoJia Mochi Mango Flavor,(2),Mainland China,
APoJia Mochi Peach Flavor  80 g,https://www.sayweee.com/en/product/APoJia-Mochi-Peach-Flavor-/84787,$1.59,50+ Sold,APoJia Mochi Peach Flavor,(5),Mainland China,
Regent Mochi Mango 240 g,https://www.sayweee.com/en/product/Regent-Mochi-Mango/14383,$3.99,200+ Sold,Regent Mochi Mango,(9),Philippines,Regent
DXC Mango Mochi 210 g,https://www.sayweee.com/en/product/DXC-Mango-Mochi/4565,$4.29,1K+ Sold,DXC Mango Mochi,(146),Mainland China,Daoxiangcun
"Regent Ube Mochi, 10pcs 240 g",https://www.sayweee.com/en/product/Regent-Ube-Mochi--10pcs/9717,$3.69,200+ Sold,"Regent Ube Mochi, 10pcs",(9),Philippines,Regent
"Regent Green Tea Mochi, 10pcs 240 g",https://www.sayweee.com/en/product/Regent-Green-Tea-Mochi--10pcs/9715,$3.69,100+ Sold,"Regent Green Tea Mochi, 10pcs",(1),Philippines,Regent
Red Bean and Matcha Mochi 120 g,https://www.sayweee.com/en/product/Red-Bean-and-Matcha-Mochi/16256,$1.79,200+ Sold,Red Bean and Matcha Mochi,(13),Taiwan,
Hsin Tung Yang Mixed Mochi 230 g,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Mixed-Mochi/44679,$2.90,100+ Sold,Hsin Tung Yang Mixed Mochi,(4),Taiwan,HSIN TUNG YANG
"Daifuku Mochi Red Bean Cakes, Frozen 3.88 oz",https://www.sayweee.com/en/product/Daifuku-Mochi-Red-Bean-Cakes--Frozen/98517,$1.99,700+ Sold,"Daifuku Mochi Red Bean Cakes, Frozen",(30),Japan,
"IJEAN Egg Yolk Puff with Mochi, Rose and Purple Yam Paste 8.47 oz",https://www.sayweee.com/en/product/IJEAN-Egg-Yolk-Puff-with-Mochi--Rose-and-Purple-Yam-Paste/35561,$8.99,400+ Sold,"IJEAN Egg Yolk Puff with Mochi, Rose and Purple Yam Paste",(14),United States,
"Imuraya Japanese Iced Azuki Beans and Soft Mochi Dessert, Frozen  134 g",https://www.sayweee.com/en/product/Imuraya-Japanese-Iced-Azuki-Beans-and-Soft-Mochi-Dessert--Frozen-/98507,$2.49,300+ Sold,"Imuraya Japanese Iced Azuki Beans and Soft Mochi Dessert, Frozen",(144),United States,Imuraya
DXC Fruit Mochi Coconut Milk Flavor 210 g,https://www.sayweee.com/en/product/DXC-Fruit-Mochi-Coconut-Milk-Flavor/87187,$4.29,300+ Sold,DXC Fruit Mochi Coconut Milk Flavor,,Mainland China,
Shirakiku Red Bean Mochi  100 g,https://www.sayweee.com/en/product/Shirakiku-Red-Bean-Mochi-/81438,$1.59,200+ Sold,Shirakiku Red Bean Mochi,(46),Japan,Shirakiku
"IJEAN Egg Yolk Puff with Mochi, Cheese, and Mung Bean Paste 8.47 oz",https://www.sayweee.com/en/product/IJEAN-Egg-Yolk-Puff-with-Mochi--Cheese--and-Mung-Bean-Paste/35559,$8.99,200+ Sold,"IJEAN Egg Yolk Puff with Mochi, Cheese, and Mung Bean Paste",(7),United States,
"DXC Fruit Mochi, Matcha 210 g",https://www.sayweee.com/en/product/DXC-Fruit-Mochi-Matcha/4566,$3.99,200+ Sold,"DXC Fruit Mochi, Matcha",(76),Mainland China,Daoxiangcun
Funwari Meijin Cheese Mochi 2.64 oz,https://www.sayweee.com/en/product/Funwari-Meijin-Cheese-Mochi/30237,$4.99,200+ Sold,Funwari Meijin Cheese Mochi,(14),Japan,
Mochi - Matcha Flavor 120 g,https://www.sayweee.com/en/product/Mochi---Matcha-Flavor/85097,$3.33,200+ Sold,Mochi - Matcha Flavor,,Mainland China,
IJEAN Egg Yolk Puff with Mochi and Red Bean Paste 8.47 oz,https://www.sayweee.com/en/product/IJEAN-Egg-Yolk-Puff-with-Mochi-and-Red-Bean-Paste/35558,$8.99,100+ Sold,IJEAN Egg Yolk Puff with Mochi and Red Bean Paste,(4),United States,
Mango Mango Yam Mochi 450 g,https://www.sayweee.com/en/product/Mango-Mango-Yam-Mochi/38996,$12.99,100+ Sold,Mango Mango Yam Mochi,(191),United States,
IJEAN Egg Yolk Puff with Mochi and Lotus Paste 8.47 oz,https://www.sayweee.com/en/product/IJEAN-Egg-Yolk-Puff-with-Mochi-and-Lotus-Paste/35560,$8.99,100+ Sold,IJEAN Egg Yolk Puff with Mochi and Lotus Paste,(4),United States,
"Daifuku Mochi Kurogoma, Frozen 3.88 oz",https://www.sayweee.com/en/product/Daifuku-Mochi-Kurogoma--Frozen/98530,$1.99,50+ Sold,"Daifuku Mochi Kurogoma, Frozen",(25),Japan,
Chen Yun Pao Chuan Mochi Yolk Pastries 3pc 159 g,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Mochi-Yolk-Pastries-3pc/45884,$8.49,50+ Sold,Chen Yun Pao Chuan Mochi Yolk Pastries 3pc,(30),Taiwan,
Fortune Bakery Chewy Puff with Mochi and Red Bean 330 g,https://www.sayweee.com/en/product/Fortune-Bakery-Chewy-Puff-with-Mochi-and-Red-Bean/10136,$9.99,50+ Sold,Fortune Bakery Chewy Puff with Mochi and Red Bean,(5),United States,
"Fortune Bakery Egg Yolk Pastry Chewy Mochi with Red Bean, Walnut, Banana, and Winter Melon Filling  330 g",https://www.sayweee.com/en/product/Fortune-Bakery-Egg-Yolk-Pastry-Chewy-Mochi-with-Red-Bean--Walnut--Banana--and-Winter-Melon-Filling-/18367,$19.99,50+ Sold,"Fortune Bakery Egg Yolk Pastry Chewy Mochi with Red Bean, Walnut, Banana, and Winter Melon Filling",(20),United States,
Leaf It B Taro Mochi Pancake and Waffle Mix 1.2 lb,https://www.sayweee.com/en/product/Leaf-It-B-Taro-Mochi-Pancake-and-Waffle-Mix/84184,$9.99,50+ Sold,Leaf It B Taro Mochi Pancake and Waffle Mix,(1),United States,
Kyoshin Daifuku Mochi with Bean Paste 8pc 11.01 oz,https://www.sayweee.com/en/product/Kyoshin-Daifuku-Mochi-with-Bean-Paste-8pc/70012,$5.29,50+ Sold,Kyoshin Daifuku Mochi with Bean Paste 8pc,(9),Japan,
"Fortune Bakery Egg Yolk Puff Pastry, Mochi and Red Bean Filling 6pcs 330 g",https://www.sayweee.com/en/product/Fortune-Bakery-Egg-Yolk-Puff-Pastry--Mochi-and-Red-Bean-Filling-6pcs/15731,$19.99,,"Fortune Bakery Egg Yolk Puff Pastry, Mochi and Red Bean Filling 6pcs",(20),United States,
"Fortune Bakery Chewy Puff Mochi, Cheese and Red Bean 330 g",https://www.sayweee.com/en/product/Fortune-Bakery-Chewy-Puff-Mochi--Cheese-and-Red-Bean/10127,$11.49,,"Fortune Bakery Chewy Puff Mochi, Cheese and Red Bean",(3),United States,
Samlip Castella Sweet Rice Cake Mochi 6pc 7.93 oz,https://www.sayweee.com/en/product/Samlip-Castella-Sweet-Rice-Cake-Mochi-6pc/35058,$4.99,,Samlip Castella Sweet Rice Cake Mochi 6pc,(5),South Korea,
Regent Mochi Wintermelon Milk Tea Flavor 24 g,https://www.sayweee.com/en/product/Regent-Mochi-Wintermelon-Milk-Tea-Flavor/86246,$3.59,,Regent Mochi Wintermelon Milk Tea Flavor,,Philippines,
Leaf It B Honeydew Mochi Pancake and Waffle Mix 1.2 lb,https://www.sayweee.com/en/product/Leaf-It-B-Honeydew-Mochi-Pancake-and-Waffle-Mix/84183,$9.99,,Leaf It B Honeydew Mochi Pancake and Waffle Mix,,United States,
Leeker Red Bean Mochi Tart 1 count,https://www.sayweee.com/en/product/Leeker-Red-Bean-Mochi-Tart/1709,$11.99,,Leeker Red Bean Mochi Tart,(217),Taiwan,Lecker
Regent Mochi Buko Pandan Flavor 24 g,https://www.sayweee.com/en/product/Regent-Mochi-Buko-Pandan-Flavor/86245,$3.59,,Regent Mochi Buko Pandan Flavor,,Philippines,
Chen Yun Pao Chuan Mochi and Salted Egg Yolk Pastry 8pc 1 each,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Mochi-and-Salted-Egg-Yolk-Pastry-8pc/25640,$24.64,,Chen Yun Pao Chuan Mochi and Salted Egg Yolk Pastry 8pc,(17),Taiwan,
【次第花开】Mochi Taro Balls with Fresh Milk 1 each,https://www.sayweee.com/en/restaurants/2138?ws=shopping-search,$13.50,,Weee!,,,
【糖纸甜品】Mochi Donuts Box of 4 1 each,https://www.sayweee.com/en/restaurants/2123?ws=shopping-search,$20.00,,Weee!,,,
Chili and Mochi 1 each,https://www.sayweee.com/en/restaurants/1922?ws=shopping-search,$23.99,,Weee!,,,
Peanut Mochi 120 fl.oz,https://www.sayweee.com/en/product/Peanut-Mochi/16254,$1.99,50+ Sold,Peanut Mochi,(16),Taiwan,
Ao Kun Mini Taro Mochi Balls  500 g,https://www.sayweee.com/en/product/Ao-Kun-Mini-Taro-Mochi-Balls-/37374,$7.99,200+ Sold,Ao Kun Mini Taro Mochi Balls,(19),Mainland China,
"Fortune Bakery Chewy Puff with Mochi, Durian and Mango  330 g",https://www.sayweee.com/en/product/Fortune-Bakery-Chewy-Puff-with-Mochi--Durian-and-Mango-/10126,$6.89,50+ Sold,"Fortune Bakery Chewy Puff with Mochi, Durian and Mango",(8),United States,
Taro Mochi Pastry 6cs 300 g,https://www.sayweee.com/en/product/Taro-Mochi-Pastry-6cs/96671,$18.19,,Taro Mochi Pastry 6cs,(57),Taiwan,
"Kyoshin Daifuku Mochi with Bean Paste, Matcha 8pcs 10.58 oz",https://www.sayweee.com/en/product/Kyoshin-Daifuku-Mochi-with-Bean-Paste-Matcha-8pcs/70017,$5.29,,"Kyoshin Daifuku Mochi with Bean Paste, Matcha 8pcs",(2),Japan,
Funwari Meijin Kinako Mochi 2.64 oz,https://www.sayweee.com/en/product/Funwari-Meijin-Kinako-Mochi/30236,$4.99,,Funwari Meijin Kinako Mochi,(12),Japan,
