Title,Title_link,Price,count___1LWwo,label___2DYkt,basePrice___25MCL,Headline,Field1,Field2,Field3
ChaCha Original Roasted Sunflower Seeds 250 g,https://www.sayweee.com/en/product/ChaCha-Original-Roasted-Sunflower-Seeds/68991,$3.39,1K+ Sold,2% Off,$3.49,ChaCha Original Roasted Sunflower Seeds,(636),Mainland China,Cha Cha
ChaCha Roasted Spiced Flavor Sunflower Seeds 250 g,https://www.sayweee.com/en/product/ChaCha-Roasted-Spiced-Flavor-Sunflower-Seeds/68987,$3.19,1K+ Sold,8% Off,$3.49,ChaCha Roasted Spiced Flavor Sunflower Seeds,(851),Mainland China,Cha Cha
"ChaCha Roasted Sunflower Seeds, Chinese Pecan Flavor",https://www.sayweee.com/en/product/ChaCha-Roasted-Sunflower-Seeds--Chinese-Pecan-Flavor/94440,$3.19,1K+ Sold,8% Off,$3.49,"ChaCha Roasted Sunflower Seeds, Chinese Pecan Flavor",(734),,
Huang Fei Hong Spicy Peanuts 210 g,https://www.sayweee.com/en/product/Huang-Fei-Hong-Spicy-Peanuts/95952,$3.69,600+ Sold,,,Huang Fei Hong Spicy Peanuts,(103),Mainland China,
"Ganyuan Broad Beans, Crab Roe Flavor 285 g",https://www.sayweee.com/en/product/Ganyuan-Broad-Beans--Crab-Roe-Flavor/38750,$3.99,900+ Sold,,,"Ganyuan Broad Beans, Crab Roe Flavor",(457),Mainland China,GanYuan
Huang Fei Hong Spicy Peanuts 110 g,https://www.sayweee.com/en/product/Huang-Fei-Hong-Spicy-Peanuts/55220,$2.69,400+ Sold,,,Huang Fei Hong Spicy Peanuts,(152),Mainland China,
"Kasugai Coated Peanuts, Squid Flavor  2.18 oz",https://www.sayweee.com/en/product/Kasugai-Coated-Peanuts--Squid-Flavor-/99483,$1.79,900+ Sold,18% Off,$2.19,"Kasugai Coated Peanuts, Squid Flavor",(74),Japan,
Wang Organic Roasted Peeled Chestnuts 5pk 300 g,https://www.sayweee.com/en/product/Wang-Organic-Roasted-Peeled-Chestnuts-5pk/98583,$6.99,800+ Sold,,,Wang Organic Roasted Peeled Chestnuts 5pk,(315),Mainland China,Wang Korea
Sheng Shiang Jen Liquorice Watermelon Seeds 6.3 oz,https://www.sayweee.com/en/product/Sheng-Shiang-Jen-Liquorice-Watermelon-Seeds/12134,$3.99,300+ Sold,,,Sheng Shiang Jen Liquorice Watermelon Seeds,(68),Taiwan,
Hapi Hot Wasabi Peas 140 g,https://www.sayweee.com/en/product/Hapi-Hot-Wasabi-Peas/52501,$3.29,50+ Sold,,,Hapi Hot Wasabi Peas,(72),Thailand,
Kasugai Roasted Nuts Assortment 8 oz,https://www.sayweee.com/en/product/Kasugai-Roasted-Nuts-Assortment/16816,$4.99,200+ Sold,16% Off,$5.99,Kasugai Roasted Nuts Assortment,(59),United States,
Ding Dong Snack Mixed Nuts 100 g,https://www.sayweee.com/en/product/Ding-Dong-Snack-Mixed-Nuts/17278,$1.99,400+ Sold,,,Ding Dong Snack Mixed Nuts,(3),Philippines,
"Cha Cha Sunflower Seeds, Rattan Pepper Flavor 160 g",https://www.sayweee.com/en/product/Cha-Cha-Sunflower-Seeds--Rattan-Pepper-Flavor/62538,$3.19,1K+ Sold,,,"Cha Cha Sunflower Seeds, Rattan Pepper Flavor",(108),Mainland China,Cha Cha
Garlic Green Peas 240 g,https://www.sayweee.com/en/product/Garlic-Green-Peas/98873,$3.99,800+ Sold,,,Garlic Green Peas,(124),Taiwan,
Gong He Sun Roasted and Fried Flower Seeds Multi Flavor 375 g,https://www.sayweee.com/en/product/Gong-He-Sun-Roasted-and-Fried-Flower-Seeds-Multi-Flavor/14503,$3.69,"400+ Sold,22 Left",,,Gong He Sun Roasted and Fried Flower Seeds Multi Flavor,(74),Mainland China,
Gong He Spiced flavor Sunflower Seeds 375 g,https://www.sayweee.com/en/product/Gong-He-Spiced-flavor-Sunflower-Seeds/14505,$3.49,500+ Sold,,,Gong He Spiced flavor Sunflower Seeds,(40),Mainland China,
Murgerbon Wasabi Almonds 200 g,https://www.sayweee.com/en/product/Murgerbon-Wasabi-Almonds/13990,$6.49,300+ Sold,New,,Murgerbon Wasabi Almonds,(61),South Korea,
"Fried Peanuts, Sichuan Spicy 120 g",https://www.sayweee.com/en/product/Fried-Peanuts--Sichuan-Spicy/43053,$1.99,900+ Sold,,,"Fried Peanuts, Sichuan Spicy",(9),Mainland China,
Hapi Hot Wasabi Peas 9.9 oz,https://www.sayweee.com/en/product/Hapi-Hot-Wasabi-Peas/29746,$5.09,400+ Sold,10% Off,$5.69,Hapi Hot Wasabi Peas,(23),Thailand,
"Murgerbon Almond Mix, 5 Flavors 10pk 9.52 oz",https://www.sayweee.com/en/product/Murgerbon-Almond-Mix--5-Flavors-10pk/10120,$13.99,200+ Sold,,,"Murgerbon Almond Mix, 5 Flavors 10pk",(15),South Korea,Murgerbon
Lao Jie Kou Black Pumpkin Seeds in Shell 200 g,https://www.sayweee.com/en/product/Lao-Jie-Kou-Black-Pumpkin-Seeds-in-Shell/53602,$7.99,300+ Sold,,,Lao Jie Kou Black Pumpkin Seeds in Shell,(30),Mainland China,LAOJIEKOU
Lian Feng Hickory Nut Kernels Creamed Flavor 108 g,https://www.sayweee.com/en/product/Lian-Feng-Hickory-Nut-Kernels-Creamed-Flavor/30992,$12.99,300+ Sold,,,Lian Feng Hickory Nut Kernels Creamed Flavor,(13),Mainland China,
Asian Taste Roasted Peeled Organic Chestnuts 300 g,https://www.sayweee.com/en/product/Asian-Taste-Roasted-Peeled-Organic-Chestnuts/33306,$5.89,300+ Sold,,,Asian Taste Roasted Peeled Organic Chestnuts,(32),Mainland China,
Wasabi Mustard Green Peas 240 g,https://www.sayweee.com/en/product/Wasabi-Mustard-Green-Peas/22339,$3.99,300+ Sold,,,Wasabi Mustard Green Peas,(48),Taiwan,
"Ganyuan Sunflower Seeds, Crab Roe Flavor 285 g",https://www.sayweee.com/en/product/Ganyuan-Sunflower-Seeds-Crab-Roe-Flavor/98501,$4.09,600+ Sold,,,"Ganyuan Sunflower Seeds, Crab Roe Flavor",(196),Mainland China,
