Title,Title_link,Price,unit_info___32SjE,Headline,Field1,Field2,Field3
Shirakiku Cheesy Corn Puff Snacks 2.46 oz,https://www.sayweee.com/en/product/Shirakiku-Cheesy-Corn-Puff-Snacks/78125,$2.59,$1.05/oz,Shirakiku Cheesy Corn Puff Snacks,(13),Japan,Shirakiku
Pirate's Booty Aged White Cheddar Puffs 4 oz,https://www.sayweee.com/en/product/Pirate-s-Booty-Aged-White-Cheddar-Puffs/43021,$3.49,$0.87/oz,Pirate's Booty Aged White Cheddar Puffs,,United States,
Lesser Evil Himalayan Gold Organic Popcorn 5 oz,https://www.sayweee.com/en/product/Lesser-Evil-Himalayan-Gold-Organic-Popcorn/40567,$3.99,$0.79/oz,Lesser Evil Himalayan Gold Organic Popcorn,(1),United States,
Pop Secret Homestyle Butter Popcorn 3pk 9.6 oz,https://www.sayweee.com/en/product/Pop-Secret-Homestyle-Butter-Popcorn-3pk/84084,$3.99,$0.41/oz,Pop Secret Homestyle Butter Popcorn 3pk,(1),United States,
"CHICKBOY Popnik California Crunch, Onion and Garlic Flavor 100 g",https://www.sayweee.com/en/product/CHICKBOY-Popnik-California-Crunch--Onion-and-Garlic-Flavor/39188,$0.99,,"CHICKBOY Popnik California Crunch, Onion and Garlic Flavor",(1),Philippines,
CHICKBOY Popnik Texas Smoked BBQ Flavor 100 g,https://www.sayweee.com/en/product/CHICKBOY-Popnik-Texas-Smoked-BBQ-Flavor/39187,$0.99,,CHICKBOY Popnik Texas Smoked BBQ Flavor,(1),Philippines,
Ilocos Chichacorn CHEESE 350 g,https://www.sayweee.com/en/product/Ilocos-Chichacorn-CHEESE/11571,$3.79,,Ilocos Chichacorn CHEESE,(1),Philippines,
"MJW Popcorn, Caramel Flavor 180 g",https://www.sayweee.com/en/product/MJW-Popcorn--Caramel-Flavor/35068,$4.39,,"MJW Popcorn, Caramel Flavor",(1),Mainland China,
FuXianYuan Rice Flower Ball 7.7 oz,https://www.sayweee.com/en/product/FuXianYuan-Rice-Flower-Ball/17794,$6.19,$0.80/oz,FuXianYuan Rice Flower Ball,,Mainland China,
Choripdong Rice Cracker Biscuit De Riz 3pk 240 g,https://www.sayweee.com/en/product/Choripdong-Rice-Cracker-Biscuit-De-Riz-3pk/30565,$5.99,,Choripdong Rice Cracker Biscuit De Riz 3pk,(2),South Korea,Choripdong
"Captain Danny Puffed Rice, Hokkaido Corn Soup Flavor 100 g",https://www.sayweee.com/en/product/Captain-Danny-Puffed-Rice-Hokkaido-Corn-Soup-Flavor/70255,$5.69,$0.05/g,"Captain Danny Puffed Rice, Hokkaido Corn Soup Flavor",(12),Taiwan,Captain Danny
"Captain Danny Puffed Rice, Sour Cream and Onion Flavor 100 g",https://www.sayweee.com/en/product/Captain-Danny-Puffed-Rice-Sour-Cream-and-Onion-Flavor/70256,$5.69,$0.05/g,"Captain Danny Puffed Rice, Sour Cream and Onion Flavor",(5),Taiwan,Captain Danny
Tiger Sugar Black Sugar Popcorn 200 g,https://www.sayweee.com/en/product/Tiger-Sugar-Black-Sugar-Popcorn/47347,$6.99,$0.03/g,Tiger Sugar Black Sugar Popcorn,(29),United States,Tiger Sugar
Shirakiku Caramel & Butter Popcorn 43 g,https://www.sayweee.com/en/product/Shirakiku-Caramel--Butter-Popcorn/28497,$1.99,$0.04/g,Shirakiku Caramel & Butter Popcorn,(4),Japan,
