Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Bin Bin Rice Crackers 3.73 oz,https://www.sayweee.com/en/product/Bin-Bin-Rice-Crackers/42723,$1.29,"1K+ Sold,12 Left",$0.34/oz,Bin Bin Rice Crackers,(9),Thailand,
Amanoya Himemaru Japanese Rice Cracker Snack  3.45 oz,https://www.sayweee.com/en/product/Amanoya-Himemaru-Japanese-Rice-Cracker-Snack-/98358,$1.99,500+ Sold,$0.57/oz,Amanoya Himemaru Japanese Rice Cracker Snack,(60),Japan,
Want Want Shelly Senbei Rice Crackers 520 g,https://www.sayweee.com/en/product/Want-Want-Shelly-Senbei-Rice-Crackers/17914,$9.99,400+ Sold,,Want Want Shelly Senbei Rice Crackers,(168),Mainland China,
Want Want Senbei Rice Crackers  520 g,https://www.sayweee.com/en/product/Want-Want-Senbei-Rice-Crackers-/38924,$9.99,100+ Sold,,Want Want Senbei Rice Crackers,(2),Taiwan,WANT WANT
Bestore Millet Crisp Crust Rice Crackers  90 g,https://www.sayweee.com/en/product/Bestore-Millet-Crisp-Crust-Rice-Crackers-/4653,$2.49,1K+ Sold,,Bestore Millet Crisp Crust Rice Crackers,(45),Mainland China,
"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor 90 g",https://www.sayweee.com/en/product/Bestore-Millet-Crisp-Crust-Rice-Crackers--Hot-and-Spicy-Flavor/95951,$3.29,600+ Sold,$0.03/g,"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor",(56),Mainland China,
LONGKANG Crispy Rice Crackers 25 g,https://www.sayweee.com/en/product/LONGKANG-Crispy-Rice-Crackers/13087,$0.59,600+ Sold,,LONGKANG Crispy Rice Crackers,(15),Mainland China,
Sun Pepper Crispy Rice Crackers Spicy 108 g,https://www.sayweee.com/en/product/Sun-Pepper-Crispy-Rice-Crackers-Spicy/86797,$3.49,300+ Sold,$0.03/g,Sun Pepper Crispy Rice Crackers Spicy,,Mainland China,
"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor  108 g",https://www.sayweee.com/en/product/SUN-Pepper-Crispy-Rice-Crackers-Honey-Chicken-Wing-Flavor-/86799,$3.49,200+ Sold,$0.03/g,"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor",,Mainland China,
Regent Snacku Vegetable Flavored Rice Crackers 60 g,https://www.sayweee.com/en/product/Regent-Snacku-Vegetable-Flavored-Rice-Crackers/9668,$1.29,200+ Sold,,Regent Snacku Vegetable Flavored Rice Crackers,(4),Philippines,Regent
Want Want Assorted Rice Crackers Gift 460 g,https://www.sayweee.com/en/product/Want-Want-Assorted-Rice-Crackers-Gift/82309,$15.99,50+ Sold,$0.03/g,Want Want Assorted Rice Crackers Gift,,Mainland China,WANT WANT
"WL Rice Cracker, Sesame Flavor 108 g",https://www.sayweee.com/en/product/WL-Rice-Cracker--Sesame-Flavor/85586,$2.79,50+ Sold,,"WL Rice Cracker, Sesame Flavor",,Mainland China,
Oh Ma Grain Popped Rice Cracker Fried Garlic 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Fried-Garlic/35391,$3.29,,$2.19/oz,Oh Ma Grain Popped Rice Cracker Fried Garlic,(2),Indonesia,
Trygoodz Mido Mixed Nuts and Rice Crackers 180 g,https://www.sayweee.com/en/product/Trygoodz-Mido-Mixed-Nuts-and-Rice-Crackers/65659,$6.79,,$0.03/g,Trygoodz Mido Mixed Nuts and Rice Crackers,(7),Taiwan,
Choripdong Rice Cracker Biscuit De Riz 3pk 240 g,https://www.sayweee.com/en/product/Choripdong-Rice-Cracker-Biscuit-De-Riz-3pk/30565,$5.99,,,Choripdong Rice Cracker Biscuit De Riz 3pk,(2),South Korea,Choripdong
Oh Ma Grain Popped Rice Cracker Sea Salt 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Sea-Salt/35387,$3.29,,$2.19/oz,Oh Ma Grain Popped Rice Cracker Sea Salt,(1),Indonesia,
Oh Ma Grain Popped Rice Cracker Original 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Original/35392,$3.29,,$2.19/oz,Oh Ma Grain Popped Rice Cracker Original,(1),Indonesia,
Surasang Korean Rice Senbei Crackers 300 g,https://www.sayweee.com/en/product/Surasang-Korean-Rice-Senbei-Crackers/38103,$5.99,50+ Sold,,Surasang Korean Rice Senbei Crackers,(37),Mainland China,Surasang
Nongshim Shrimp Cracker Spicy Flavor  75 g,https://www.sayweee.com/en/product/Nongshim-Shrimp-Cracker-Spicy-Flavor-/29341,$1.69,300+ Sold,,Nongshim Shrimp Cracker Spicy Flavor,(3),South Korea,Nongshim
Nongshim Korean Shrimp Crackers 2.64 oz,https://www.sayweee.com/en/product/Nongshim-Korean-Shrimp-Crackers/94942,$1.49,1K+ Sold,$0.56/oz,Nongshim Korean Shrimp Crackers,(151),South Korea,Nongshim
"Pea Crackers, Basil Flavor 57 g",https://www.sayweee.com/en/product/Pea-Crackers--Basil-Flavor/23145,$1.59,1K+ Sold,,"Pea Crackers, Basil Flavor",(167),Taiwan,
