Title,Title_link,Price,count___1LWwo,Headline,Field1,Field2,Field3
Yuanxian Rice Crust Snack 130 g,https://www.sayweee.com/en/product/Yuanxian-Rice-Crust-Snack/25950,$1.99,1K+ Sold,Yuanxian Rice Crust Snack,(209),Mainland China,
"Yumei Rice Crust, Salted Yolk Flavor 118 g",https://www.sayweee.com/en/product/Yumei-Rice-Crust-Salted-Yolk-Flavor/24198,$3.69,600+ Sold,"Yumei Rice Crust, Salted Yolk Flavor",(59),Mainland China,YUMEI
"Bestore Egg Yolk Rice Crust, Crab Flavor 75 g",https://www.sayweee.com/en/product/Bestore-Egg-Yolk-Rice-Crust-Crab-Flavor/71733,$2.19,400+ Sold,"Bestore Egg Yolk Rice Crust, Crab Flavor",(27),Mainland China,
Three Squirrels Rice Crust Snack  60 g,https://www.sayweee.com/en/product/Three-Squirrels-Rice-Crust-Snack-/70315,$1.99,300+ Sold,Three Squirrels Rice Crust Snack,(39),Mainland China,THREE SQUIRRELS
"Huajiao Rice Crust, Spicy Flavor 158 g",https://www.sayweee.com/en/product/Huajiao-Rice-Crust--Spicy-Flavor/30787,$2.49,200+ Sold,"Huajiao Rice Crust, Spicy Flavor",(9),Mainland China,
"Huajiao Rice Crust, Peppercorn Flavor 158 g",https://www.sayweee.com/en/product/Huajiao-Rice-Crust--Peppercorn-Flavor/30848,$2.49,"200+ Sold,1 Left","Huajiao Rice Crust, Peppercorn Flavor",(3),Mainland China,
Rice Crust (Spicy Flavor) 80 g,https://www.sayweee.com/en/product/Rice-Crust--Spicy-Flavor-/86025,$2.49,100+ Sold,Rice Crust (Spicy Flavor),,Mainland China,
Rice Crust Fried Beef 1 each,https://www.sayweee.com/en/restaurants/2203?ws=shopping-search,$21.60,,Weee!,,,
Bestore Millet Crisp Crust Rice Crackers  90 g,https://www.sayweee.com/en/product/Bestore-Millet-Crisp-Crust-Rice-Crackers-/4653,$2.49,1K+ Sold,Bestore Millet Crisp Crust Rice Crackers,(45),Mainland China,
"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor 90 g",https://www.sayweee.com/en/product/Bestore-Millet-Crisp-Crust-Rice-Crackers--Hot-and-Spicy-Flavor/95951,$3.29,600+ Sold,"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor",(56),Mainland China,
"Songshan Pingdi Crisp Crust Cracker, Spicy Flavor 120 g",https://www.sayweee.com/en/product/Songshan-Pingdi-Crisp-Crust-Cracker-Spicy-Flavor/30974,$1.99,200+ Sold,"Songshan Pingdi Crisp Crust Cracker, Spicy Flavor",(68),Mainland China,
"Haobalaiba Millet Crisp Crust, Spicy Flavor 105 g",https://www.sayweee.com/en/product/Haobalaiba-Millet-Crisp-Crust-Spicy-Flavor/31524,$1.49,200+ Sold,"Haobalaiba Millet Crisp Crust, Spicy Flavor",(14),Mainland China,
"Millet crisp crust, Cumin Flavor  130 g",https://www.sayweee.com/en/product/Millet-crisp-crust--Cumin-Flavor-/83425,$2.09,200+ Sold,"Millet crisp crust, Cumin Flavor",(4),Mainland China,Hua Jiao Shi Jia
"Songshan Fangdan Crisp Crust, Spicy Crawfish Flavor 120 g",https://www.sayweee.com/en/product/Songshan-Fangdan-Crisp-Crust-Spicy-Crawfish-Flavor/31536,$1.99,100+ Sold,"Songshan Fangdan Crisp Crust, Spicy Crawfish Flavor",(53),Mainland China,SONGSHAN
"Millet crisp crust, Spicy Flavor  130 g",https://www.sayweee.com/en/product/Millet-crisp-crust--Spicy-Flavor-/83427,$2.09,100+ Sold,"Millet crisp crust, Spicy Flavor",(4),Mainland China,
"Millet crisp crust, Tomato Flavor 130 g",https://www.sayweee.com/en/product/Millet-crisp-crust--Tomato-Flavor/83426,$2.09,50+ Sold,"Millet crisp crust, Tomato Flavor",(6),Mainland China,Hua Jiao Shi Jia
"Ao Kun Small Portuguese Style Tart Crust, Frozen 60pc 570 g",https://www.sayweee.com/en/product/Ao-Kun-Small-Portuguese-Style-Tart-Crust--Frozen-60pc/36862,$8.59,400+ Sold,"Ao Kun Small Portuguese Style Tart Crust, Frozen 60pc",(58),Mainland China,
"Sachima Rice,Classic Egg Flavor  526 g",https://www.sayweee.com/en/product/Sachima-Rice-Classic-Egg-Flavor-/13765,$5.69,1K+ Sold,"Sachima Rice,Classic Egg Flavor",(145),Mainland China,
Steak Flavor Rice Crisps 210 g,https://www.sayweee.com/en/product/Steak-Flavor-Rice-Crisps/65747,$3.49,1K+ Sold,Steak Flavor Rice Crisps,(72),Mainland China,
"Beitian Energy Rice Rolls, Egg Yolk Flavor  180 g",https://www.sayweee.com/en/product/Beitian-Energy-Rice-Rolls--Egg-Yolk-Flavor-/97217,$2.99,"1K+ Sold,14 Left","Beitian Energy Rice Rolls, Egg Yolk Flavor",(387),Taiwan,
Bin Bin Rice Crackers 3.73 oz,https://www.sayweee.com/en/product/Bin-Bin-Rice-Crackers/42723,$1.29,"1K+ Sold,12 Left",Bin Bin Rice Crackers,(9),Thailand,
CJ Bibigo Original Seaweed Crisps with Brown Rice 20 g,https://www.sayweee.com/en/product/CJ-Bibigo-Original-Seaweed-Crisps-with-Brown-Rice/98771,$2.49,700+ Sold,CJ Bibigo Original Seaweed Crisps with Brown Rice,(68),South Korea,Bibigo
HAITAI Tteokbokki Rice Cake Chips  192 g,https://www.sayweee.com/en/product/HAITAI-Tteokbokki-Rice-Cake-Chips-/11130,$3.99,600+ Sold,HAITAI Tteokbokki Rice Cake Chips,(16),South Korea,HAITAI
HanZhengXuan Original Rice Cake 200 g,https://www.sayweee.com/en/product/HanZhengXuan-Original-Rice-Cake/97799,$3.49,600+ Sold,HanZhengXuan Original Rice Cake,(116),Taiwan,
LONGKANG Crispy Rice Crackers 25 g,https://www.sayweee.com/en/product/LONGKANG-Crispy-Rice-Crackers/13087,$0.59,600+ Sold,LONGKANG Crispy Rice Crackers,(15),Mainland China,
Amanoya Himemaru Japanese Rice Cracker Snack  3.45 oz,https://www.sayweee.com/en/product/Amanoya-Himemaru-Japanese-Rice-Cracker-Snack-/98358,$1.99,500+ Sold,Amanoya Himemaru Japanese Rice Cracker Snack,(60),Japan,
Want Want Shelly Senbei Rice Crackers 520 g,https://www.sayweee.com/en/product/Want-Want-Shelly-Senbei-Rice-Crackers/17914,$9.99,400+ Sold,Want Want Shelly Senbei Rice Crackers,(168),Mainland China,
"Likee Rice Crisps, Crab Flavor 96 g",https://www.sayweee.com/en/product/Likee-Rice-Crisps-Crab-Flavor/16869,$2.79,300+ Sold,"Likee Rice Crisps, Crab Flavor",(63),Mainland China,
Sun Pepper Crispy Rice Crackers Spicy 108 g,https://www.sayweee.com/en/product/Sun-Pepper-Crispy-Rice-Crackers-Spicy/86797,$3.49,300+ Sold,Sun Pepper Crispy Rice Crackers Spicy,,Mainland China,
"Ottogi Ppushu Ppushu Noodle Snack, Spicy Rice Cake Flavor 3.18 oz",https://www.sayweee.com/en/product/Ottogi-Ppushu-Ppushu-Noodle-Snack--Spicy-Rice-Cake-Flavor/82773,$0.99,300+ Sold,"Ottogi Ppushu Ppushu Noodle Snack, Spicy Rice Cake Flavor",(2),South Korea,Ottogi
MTT Brand Instant Rice Paper Snack 7 oz,https://www.sayweee.com/en/product/MTT-Brand-Instant-Rice-Paper-Snack/84566,$3.29,200+ Sold,MTT Brand Instant Rice Paper Snack,(3),Vietnam,
"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor  108 g",https://www.sayweee.com/en/product/SUN-Pepper-Crispy-Rice-Crackers-Honey-Chicken-Wing-Flavor-/86799,$3.49,200+ Sold,"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor",,Mainland China,
