Title,Title_link,Price,unit_info___32SjE,count___1LWwo,Headline,Field1,Field2,Field3
"Tae Kae Noi Super Crispy Tempura Seaweed, Spicy Flavor 40 g",https://www.sayweee.com/en/product/Tae-Kae-Noi-Super-Crispy-Tempura-Seaweed--Spicy-Flavor/29521,$2.39,$0.05/g,1K+ Sold,"Tae Kae Noi Super Crispy Tempura Seaweed, Spicy Flavor",(41),Thailand,
"Tao Kae Noi Crispy Seaweed, Hot Spicy Flavor 32 g",https://www.sayweee.com/en/product/Tao-Kae-Noi-Crispy-Seaweed-Hot-Spicy-Flavor/29520,$2.49,$0.07/g,"1K+ Sold,97 Left","Tao Kae Noi Crispy Seaweed, Hot Spicy Flavor",(39),Thailand,
CJ Bibigo Original Seaweed Crisps with Brown Rice 20 g,https://www.sayweee.com/en/product/CJ-Bibigo-Original-Seaweed-Crisps-with-Brown-Rice/98771,$2.49,$0.12/g,700+ Sold,CJ Bibigo Original Seaweed Crisps with Brown Rice,(68),South Korea,Bibigo
CJ Bibigo Roasted Seaweed Flakes  50 g,https://www.sayweee.com/en/product/CJ-Bibigo-Roasted-Seaweed-Flakes-/31838,$4.49,$0.08/g,400+ Sold,CJ Bibigo Roasted Seaweed Flakes,(8),South Korea,CJ Foods
Tao Kae Noi Grilled Bigroll Spicy 27 g,https://www.sayweee.com/en/product/Tao-Kae-Noi-Grilled-Bigroll-Spicy/21726,$3.09,$0.11/g,600+ Sold,Tao Kae Noi Grilled Bigroll Spicy,(14),Thailand,TAO KAE NOI
Haitai Roasted Seaweed with Green Tea 12 count,https://www.sayweee.com/en/product/Haitai-Roasted-Seaweed-with-Green-Tea/22448,$4.49,$0.37/count,500+ Sold,Haitai Roasted Seaweed with Green Tea,(33),South Korea,
Dongwon Seasoned Seaweed with Sesame Oil  1 each,https://www.sayweee.com/en/product/Dongwon-Seasoned-Seaweed-with-Sesame-Oil-/24015,$5.99,$5.99/each,200+ Sold,Dongwon Seasoned Seaweed with Sesame Oil,(13),South Korea,
Tao Kae Noi Big Sheet Crispy Seaweed 12pc 38.4 g,https://www.sayweee.com/en/product/Tao-Kae-Noi-Big-Sheet-Crispy-Seaweed-12pc/29516,$3.19,$0.08/g,"200+ Sold,18 Left",Tao Kae Noi Big Sheet Crispy Seaweed 12pc,(12),Thailand,TAO KAE NOI
Bibigo Savory Style Roasted Korean Seaweed 4pk 80 g,https://www.sayweee.com/en/product/Bibigo-Savory-Style-Roasted-Korean-Seaweed-4pk/99475,$5.99,$0.07/g,100+ Sold,Bibigo Savory Style Roasted Korean Seaweed 4pk,(9),South Korea,Bibigo
Weilong Fengchi Kelp  1 box,https://www.sayweee.com/en/product/Weilong-Fengchi-Kelp-/16917,$9.59,$9.59/box,500+ Sold,Weilong Fengchi Kelp,(17),Mainland China,
"Dongwon Roasted Laver for California Roll, 10 Full sheet 20 g",https://www.sayweee.com/en/product/Dongwon-Roasted-Laver-for-California-Roll--10-Full-sheet/24679,$2.49,$0.12/g,100+ Sold,"Dongwon Roasted Laver for California Roll, 10 Full sheet",(10),South Korea,
Crispy Seaweed with Sesame and Almond 40 g,https://www.sayweee.com/en/product/Crispy-Seaweed-with-Sesame-and-Almond/40069,$3.49,$0.08/g,100+ Sold,Crispy Seaweed with Sesame and Almond,(10),Mainland China,
"Master Hee's Seaweed Crisps, Original Flavor 30 g",https://www.sayweee.com/en/product/Master-Hee-s-Seaweed-Crisps--Original-Flavor/30879,$2.99,$0.09/g,50+ Sold,"Master Hee's Seaweed Crisps, Original Flavor",(1),South Korea,
DONGWON Seasoned Laver (Perilla Oil) 5G*12 1 box,https://www.sayweee.com/en/product/DONGWON-Seasoned-Laver--Perilla-Oil--5G-12/85733,$5.39,$5.39/box,50+ Sold,DONGWON Seasoned Laver (Perilla Oil) 5G*12,,South Korea,
Kwanchun Roasted and Seasoned Laver Green Tea 3pk 0.51 oz,https://www.sayweee.com/en/product/Kwanchun-Roasted-and-Seasoned-Laver-Green-Tea-3pk/86203,$2.39,$4.68/oz,50+ Sold,Kwanchun Roasted and Seasoned Laver Green Tea 3pk,,South Korea,
Choripdong Roasted Seaweed with Green Tea 10pk 50 g,https://www.sayweee.com/en/product/Choripdong-Roasted-Seaweed-with-Green-Tea-10pk/33104,$5.99,$0.11/g,,Choripdong Roasted Seaweed with Green Tea 10pk,,South Korea,Choripdong
Hsin Tung Yang Seaweed Snack with Purple Rice 40 g,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Seaweed-Snack-with-Purple-Rice/30339,$3.39,$0.08/g,100+ Sold,Hsin Tung Yang Seaweed Snack with Purple Rice,(7),Taiwan,HSIN TUNG YANG
"Master Hee's Roasted Laver Sprinkle, Original 20 g",https://www.sayweee.com/en/product/Master-Hee-s-Roasted-Laver-Sprinkle--Original/30854,$2.99,$0.14/g,"200+ Sold,4 Left","Master Hee's Roasted Laver Sprinkle, Original",(2),South Korea,
K-FISH Premium Roasted Seaweed 16pk 64 g,https://www.sayweee.com/en/product/K-FISH-Premium-Roasted-Seaweed-16pk/45475,$7.99,$0.12/g,50+ Sold,K-FISH Premium Roasted Seaweed 16pk,(4),South Korea,
"Chan Zui Ba Xiapu Qingjie Kelp Knot, Spicy Flavor 680 g",https://www.sayweee.com/en/product/Chan-Zui-Ba-Xiapu-Qingjie-Kelp-Knot--Spicy-Flavor/79335,$9.99,,,"Chan Zui Ba Xiapu Qingjie Kelp Knot, Spicy Flavor",,Mainland China,Chan Zui Ba
Master Hee's Omega Plus Roasted Laver Wasabi Flavor 9 g,https://www.sayweee.com/en/product/Master-Hee-s-Omega-Plus-Roasted-Laver-Wasabi-Flavor/83327,$12.99,$1.44/g,,Master Hee's Omega Plus Roasted Laver Wasabi Flavor,(1),South Korea,
K-FISH Premium Roasted Seaweed with Green Tea 16pk 64 g,https://www.sayweee.com/en/product/K-FISH-Premium-Roasted-Seaweed-with-Green-Tea-16pk/45474,$7.99,$0.12/g,,K-FISH Premium Roasted Seaweed with Green Tea 16pk,,South Korea,
Dongwon Seasoned Laver Olive Oil 12pk 1 box,https://www.sayweee.com/en/product/Dongwon-Seasoned-Laver-Olive-Oil-12pk/85734,$5.39,$5.39/box,,Dongwon Seasoned Laver Olive Oil 12pk,(1),South Korea,One Meat
Master Hee's Omega Plus Traditional Roasted Laver 9 g,https://www.sayweee.com/en/product/Master-Hee-s-Omega-Plus-Traditional-Roasted-Laver/83357,$12.99,$1.44/g,,Master Hee's Omega Plus Traditional Roasted Laver,(1),South Korea,
Master Hee's Omega Plus Spicy Roasted Laver 9 g,https://www.sayweee.com/en/product/Master-Hee-s-Omega-Plus-Spicy-Roasted-Laver/83974,$12.99,$1.44/g,,Master Hee's Omega Plus Spicy Roasted Laver,(1),South Korea,
HDW Sandwich Nori Mix 30 g,https://www.sayweee.com/en/product/HDW-Sandwich-Nori-Mix/1482,$3.49,$0.11/g,,HDW Sandwich Nori Mix,(2),Mainland China,HDW
Master Hee's Roasted Laver Traditional Flavor 12 g,https://www.sayweee.com/en/product/Master-Hee-s-Roasted-Laver-Traditional-Flavor/30853,$2.99,$0.24/g,50+ Sold,Master Hee's Roasted Laver Traditional Flavor,(6),South Korea,
Hsin Tung Yang Seaweed Snack with Red Wheat 40 g,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Seaweed-Snack-with-Red-Wheat/30157,$3.39,$0.08/g,,Hsin Tung Yang Seaweed Snack with Red Wheat,(9),Taiwan,HSIN TUNG YANG
Suhyup Seaweed Flakes 50 g,https://www.sayweee.com/en/product/Suhyup-Seaweed-Flakes/45476,$3.99,$0.07/g,,Suhyup Seaweed Flakes,(1),South Korea,
PULMUONE Traditional Crispy Seaweed with Perilla Seed Oil 5pk  102 g,https://www.sayweee.com/en/product/PULMUONE-Traditional-Crispy-Seaweed-with-Perilla-Seed-Oil-5pk-/85864,$8.49,$0.08/g,,PULMUONE Traditional Crispy Seaweed with Perilla Seed Oil 5pk,,South Korea,Pulmuone
