Title,Title_link,Price,count___1LWwo,Headline,Field1,Field2,Field3
"Genki Sugar-Free Sparkling Water, White Peach Flavor 480 ml",https://www.sayweee.com/en/product/Genki-Sugar-Free-Sparkling-Water--White-Peach-Flavor/3599,$1.59,1K+ Sold,"Genki Sugar-Free Sparkling Water, White Peach Flavor",(477),Mainland China,Genki Forest
"Genki Forest Sparkling Water, White Peach Flavor 1 each",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--White-Peach-Flavor/52413,$9.49,1K+ Sold,"Genki Forest Sparkling Water, White Peach Flavor",(66),Mainland China,Genki Forest
"Genki Forest Sugar-Free Sparkling Water, Sour Plum Flavor 480 ml",https://www.sayweee.com/en/product/Genki-Forest-Sugar-Free-Sparkling-Water--Sour-Plum-Flavor/24915,$2.29,1K+ Sold,"Genki Forest Sugar-Free Sparkling Water, Sour Plum Flavor",(73),Mainland China,Genki Forest
"Genki Forest Sparkling Water, Grape Delight Flavor 6pk 1980 ml",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--Grape-Delight-Flavor-6pk/6138,$8.99,1K+ Sold,"Genki Forest Sparkling Water, Grape Delight Flavor 6pk",(26),Mainland China,
"Genki Forest Sugar-Free Sparkling Water, Citrus Flavor 480 ml",https://www.sayweee.com/en/product/Genki-Forest-Sugar-Free-Sparkling-Water--Citrus-Flavor/3579,$2.49,1K+ Sold,"Genki Forest Sugar-Free Sparkling Water, Citrus Flavor",(195),Mainland China,Genki Forest
Genki Forest Yogurt Sparkling Water 480 ml,https://www.sayweee.com/en/product/Genki-Forest-Yogurt-Sparkling-Water/35676,$2.29,1K+ Sold,Genki Forest Yogurt Sparkling Water,(31),Mainland China,Genki Forest
"Genki Forest Sparkling Water, Pineapple and Sea Salt Flavor 480 ml",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--Pineapple-and-Sea-Salt-Flavor/48458,$2.29,1K+ Sold,"Genki Forest Sparkling Water, Pineapple and Sea Salt Flavor",(21),Mainland China,Genki Forest
"Genki Forest Sparkling Water, Grape Delight Flavor 480 ml",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--Grape-Delight-Flavor/5127,$2.49,1K+ Sold,Weee!,,,
"Kimino Sparkling Water, Yuzu Flavor 8.45 oz",https://www.sayweee.com/en/product/Kimino-Sparkling-Water-Yuzu-Flavor/23699,$2.29,900+ Sold,"Kimino Sparkling Water, Yuzu Flavor",(33),Japan,
"Genki Forest Sparkling Water, Lychee Fizzy Flavor 6pk 1980 ml",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--Lychee-Fizzy-Flavor-6pk/6129,$8.99,800+ Sold,"Genki Forest Sparkling Water, Lychee Fizzy Flavor 6pk",(18),Mainland China,
"Genki Forest Sparkling Water, White Strawberry & Coconut Flavor 6pk 1980 ml",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--White-Strawberry---Coconut-Flavor-6pk/6137,$9.49,600+ Sold,"Genki Forest Sparkling Water, White Strawberry & Coconut Flavor 6pk",(28),Mainland China,
Chaokoh Coconut Water 1000 ml,https://www.sayweee.com/en/product/Chaokoh-Coconut-Water/16937,$4.49,500+ Sold,Chaokoh Coconut Water,(52),Thailand,
"Genki Forest Sparkling Water, Plum Passion Flavor, 330ml * 6 Cans 1980 ml",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--Plum-Passion-Flavor--330ml---6-Cans/12280,$8.99,400+ Sold,"Genki Forest Sparkling Water, Plum Passion Flavor, 330ml * 6 Cans",(4),Mainland China,
Sanzo Lychee Sparkling Water 12 oz,https://www.sayweee.com/en/product/Sanzo-Lychee-Sparkling-Water/1876,$1.99,300+ Sold,Sanzo Lychee Sparkling Water,(18),United States,Sanzo
"Genki Forest Sparkling Water, Green Apple Flavor 6pk 1980 ml",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--Green-Apple-Flavor-6pk/6140,$8.39,300+ Sold,"Genki Forest Sparkling Water, Green Apple Flavor 6pk",(17),Mainland China,
HEYTEA Sparkling Water Grape Flavor 500 ml,https://www.sayweee.com/en/product/HEYTEA-Sparkling-Water-Grape-Flavor/9881,$2.79,"300+ Sold,11 Left",HEYTEA Sparkling Water Grape Flavor,(7),Mainland China,
