Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Bourbon Tonyu Wafers 8ct 112 g,https://www.sayweee.com/en/product/Bourbon-Tonyu-Wafers-8ct/99125,$3.99,700+ Sold,$0.03/g,Bourbon Tonyu Wafers 8ct,(390),Japan,BOURBON
Haitai Strawberry Wafer Biscuit 50 g,https://www.sayweee.com/en/product/Haitai-Strawberry-Wafer-Biscuit/86286,$1.29,300+ Sold,,Haitai Strawberry Wafer Biscuit,(1),South Korea,HAITAI
Loacker Quadratini Matcha Green Tea Wafers 220 g,https://www.sayweee.com/en/product/Loacker-Quadratini-Matcha-Green-Tea-Wafers/10611,$4.69,300+ Sold,,Loacker Quadratini Matcha Green Tea Wafers,(65),Italy,Loacker
"Haitai Cream Wafer, Original Flavor 50 g",https://www.sayweee.com/en/product/Haitai-Cream-Wafer--Original-Flavor/86588,$1.29,200+ Sold,,"Haitai Cream Wafer, Original Flavor",(2),South Korea,HAITAI
"Loacker Quadratini Bite-Size Wafer Cookies, Hazelnut 250g 250 g",https://www.sayweee.com/en/product/Loacker-Quadratini-BiteSize-Wafer-Cookies-Hazelnut-250g/73818,$4.69,200+ Sold,,"Loacker Quadratini Bite-Size Wafer Cookies, Hazelnut 250g",(73),,
"Hello Kitty Wafer Cookies, Chocolate and Vanilla Flavors 630 g",https://www.sayweee.com/en/product/Hello-Kitty-Wafer-Cookies--Chocolate-and-Vanilla-Flavors/72162,$14.59,200+ Sold,,"Hello Kitty Wafer Cookies, Chocolate and Vanilla Flavors",(18),Taiwan,
Garden Wafer Chocolate  200 g,https://www.sayweee.com/en/product/Garden-Wafer-Chocolate-/19130,$2.29,200+ Sold,,Garden Wafer Chocolate,(10),Philippines,GARDEN
"Loacker Quadratini Bite Size Wafer Cookies, Espresso Flavor 220 g",https://www.sayweee.com/en/product/Loacker-Quadratini-Bite-Size-Wafer-Cookies--Espresso-Flavor/24653,$4.29,200+ Sold,,"Loacker Quadratini Bite Size Wafer Cookies, Espresso Flavor",(14),Italy,Loacker
Garden Wafer Vanilla  200 g,https://www.sayweee.com/en/product/Garden-Wafer-Vanilla-/19145,$2.29,100+ Sold,,Garden Wafer Vanilla,(8),Philippines,GARDEN
Crown White Heim White Cream Wafers with Hazelnuts 284 g,https://www.sayweee.com/en/product/Crown-White-Heim-White-Cream-Wafers-with-Hazelnuts/99430,$5.99,"100+ Sold,16 Left",,Crown White Heim White Cream Wafers with Hazelnuts,(85),South Korea,
Garden Wafer Purple Sweet Potato  200 g,https://www.sayweee.com/en/product/Garden-Wafer-Purple-Sweet-Potato-/19199,$3.09,100+ Sold,,Garden Wafer Purple Sweet Potato,(25),Philippines,GARDEN
Loacker Quadratini Tiramisu Wafers 220 g,https://www.sayweee.com/en/product/Loacker-Quadratini-Tiramisu-Wafers/10613,$4.69,"50+ Sold,2 Left",,Loacker Quadratini Tiramisu Wafers,(18),Italy,Loacker
"Healthful Wafer Roll, Chocolate 400 g",https://www.sayweee.com/en/product/Healthful-Wafer-Roll--Chocolate/45523,$14.99,50+ Sold,$0.03/g,"Healthful Wafer Roll, Chocolate",(35),Taiwan,Healthful
Italy Party Wafers Strawberry Flavor  250 g,https://www.sayweee.com/en/product/Italy-Party-Wafers-Strawberry-Flavor-/64703,$4.19,50+ Sold,,Italy Party Wafers Strawberry Flavor,(6),,
Healthful Coffee Wafer Rolls 400 g,https://www.sayweee.com/en/product/Healthful-Coffee-Wafer-Rolls/45529,$14.99,50+ Sold,$0.03/g,Healthful Coffee Wafer Rolls,(33),Taiwan,Healthful
Healthful Hazelnut Cocoa Wafer Roll  400 g,https://www.sayweee.com/en/product/Healthful-Hazelnut-Cocoa-Wafer-Roll-/12362,$15.99,,$0.03/g,Healthful Hazelnut Cocoa Wafer Roll,(18),Taiwan,Healthful
Stikko Wafer Sticks Strawberry Flavor 14.11 oz,https://www.sayweee.com/en/product/Stikko-Wafer-Sticks-Strawberry-Flavor/39483,$4.99,,$0.35/oz,Stikko Wafer Sticks Strawberry Flavor,,Indonesia,STIKKO
Healthful Wafer Roll Strawberry  400 g,https://www.sayweee.com/en/product/Healthful-Wafer-Roll-Strawberry-/91934,$14.99,,$0.03/g,Healthful Wafer Roll Strawberry,(12),Taiwan,Healthful
Healthful Brown Sugar Wafer Rolls 400 g,https://www.sayweee.com/en/product/Healthful-Brown-Sugar-Wafer-Rolls/62011,$14.99,,$0.03/g,Healthful Brown Sugar Wafer Rolls,(16),Taiwan,Healthful
"Loacker Wafer Cookie, Vanilla  250 g",https://www.sayweee.com/en/product/Loacker-Wafer-Cookie--Vanilla-/5302,$4.49,,,"Loacker Wafer Cookie, Vanilla",(12),Italy,
Kaman Wafer Soymilk 218 g,https://www.sayweee.com/en/product/Kaman-Wafer-Soymilk/84917,$6.99,,$0.03/g,Kaman Wafer Soymilk,,Mainland China,
DEKA WAFER BITES CHOCO CHOCO 7 oz,https://www.sayweee.com/en/product/DEKA-WAFER-BITES-CHOCO-CHOCO/22495,$3.29,200+ Sold,$0.47/oz,DEKA WAFER BITES CHOCO CHOCO,(27),Indonesia,
Crown Choco Heim Choco Cream Wafers with Hazelnuts 284 g,https://www.sayweee.com/en/product/Crown-Choco-Heim-Choco-Cream-Wafers-with-Hazelnuts/99429,$5.99,400+ Sold,,Crown Choco Heim Choco Cream Wafers with Hazelnuts,(94),South Korea,
Peacock Custard Wafer Rolls 63 g,https://www.sayweee.com/en/product/Peacock-Custard-Wafer-Rolls/12361,$2.99,300+ Sold,$0.04/g,Peacock Custard Wafer Rolls,(33),Taiwan,
TresBon Premio Strawberry Cream Wafer Roll 120 g,https://www.sayweee.com/en/product/TresBon-Premio-Strawberry-Cream-Wafer-Roll/40832,$1.99,50+ Sold,,TresBon Premio Strawberry Cream Wafer Roll,(7),Indonesia,Tresbon
Kee Wah Black Sesame Eggroll Wafers 1 each,https://www.sayweee.com/en/product/Kee-Wah-Black-Sesame-Eggroll-Wafers/22750,$3.59,200+ Sold,$3.59/each,Kee Wah Black Sesame Eggroll Wafers,(41),Hong Kong,
DEKA WAFER BITES DURIAN 7 oz,https://www.sayweee.com/en/product/DEKA-WAFER-BITES-DURIAN/20819,$3.29,100+ Sold,$0.47/oz,DEKA WAFER BITES DURIAN,(25),Indonesia,
