Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,Headline,DetailPrice,OriginalPrice,Field1,Field2
Purple Sweet Potato Flavored Bread 75g,https://www.yamibuy.com/en/p/purple-sweet-potato-flavored-bread-75g/1016085501?scene=item_search.result&bu_type=search&module_name=input&index=1&content=bread,https://cdn.yamibuy.net/item/de03f642db734d8b18b5f7160f7871c3_684x684.webp,D-PLUS,88,,,Purple Sweet Potato Flavored Bread 75g,$1.69,$2.29,4.4,Japan
"Chinese Classic Milk Bread, 480g",https://www.yamibuy.com/en/p/pan-pan-bread-roll-cream-12-packs-480g/1016038921?scene=item_search.result&bu_type=search&module_name=input&index=2&content=bread,https://cdn.yamibuy.net/item/73aaa07ee9ce88e58a568c856fe7ec95_684x684.webp,ASIA FOODS,641,$6.49,2 Options,"Chinese Classic Milk Bread, 480g",,,4.7,China
Orange Flavored Bread 75g,https://www.yamibuy.com/en/p/orange-flavored-bread-75g/1016085511?scene=item_search.result&bu_type=search&module_name=input&index=3&content=bread,https://cdn.yamibuy.net/item/a001f4afee9aa48ef2f7743ad74149de_684x684.webp,D-PLUS,33,,,Orange Flavored Bread 75g,$1.59,$2.29,4.6,Japan
Caramel Flavored Bread 75g,https://www.yamibuy.com/en/p/caramel-flavored-bread-75g/1016085491?scene=item_search.result&bu_type=search&module_name=input&index=4&content=bread,https://cdn.yamibuy.net/item/92ee6e2c4d9d99bd2a3c62c19cef086e_684x684.webp,D-PLUS,32,,,Caramel Flavored Bread 75g,$1.59,$2.29,4.5,Japan
Pan Pan-French Soft Bread 400g,https://www.yamibuy.com/en/p/pan-pan-french-soft-bread-20-packs-20g-20/1016038931?scene=item_search.result&bu_type=search&module_name=input&index=5&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASIA FOODS,246,$4.69,6 Options,Pan Pan-French Soft Bread 400g,,,4.67,China
DXC Gourmet Bread 310g,https://www.yamibuy.com/en/p/dxc-gourmet-bread/1016056721?scene=item_search.result&bu_type=search&module_name=input&index=6&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,67,,2 Options,DXC Gourmet Bread 310g,$2.69,$4.49,4.4,China
Japanese Koubo Milk Danish Bread 2.36oz,https://www.yamibuy.com/en/p/milk-denish/1016094711?scene=item_search.result&bu_type=search&module_name=input&index=7&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Panex,5,$2.19,8 Options,Japanese Koubo Milk Danish Bread 2.36oz,,,3.8,Japan
Butter Flavored Cake Bread 50g,https://www.yamibuy.com/en/p/butter-flavored-cake-bread-50g/1149011501?scene=item_search.result&bu_type=search&module_name=input&index=8&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,D-PLUS,12,$1.49,,Butter Flavored Cake Bread 50g,,,4.6,Japan
Yuzu Flavore Cake Bread 50g,https://www.yamibuy.com/en/p/yuzu-flavore-cake-bread-50g/1149011521?scene=item_search.result&bu_type=search&module_name=input&index=9&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,D-PLUS,10,$1.49,,Yuzu Flavore Cake Bread 50g,,,4.6,Japan
Japanese Koubo Cream Bread 2.32oz,https://www.yamibuy.com/en/p/cream-bread/1016094651?scene=item_search.result&bu_type=search&module_name=input&index=10&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Panex,4,$2.19,8 Options,Japanese Koubo Cream Bread 2.32oz,,,4.5,Japan
Japanese Koubo Melon Bread 2.46oz,https://www.yamibuy.com/en/p/melon-bread/1016094701?scene=item_search.result&bu_type=search&module_name=input&index=11&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Panex,10,$2.19,8 Options,Japanese Koubo Melon Bread 2.46oz,,,4.3,Japan
DXC Yeast Bread Red Bean Falvor 105g,https://www.yamibuy.com/en/p/dxc-yeast-bread-red-bean-falvor-105g/1016057701?scene=item_search.result&bu_type=search&module_name=input&index=12&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,130,$1.49,3 Options,DXC Yeast Bread Red Bean Falvor 105g,,,4.6,China
