Title,Title_link,Thumbnail,brand-title,Price,comment-star__count,Headline,Field1,Field2,Field3,Field4
Salty Yolk Cookies 230g,https://www.yamibuy.com/en/p/tk-food-salty-yolk-cookies-230g/1016003901?scene=item_search.result&bu_type=search&module_name=input&index=1&content=cookies,https://cdn.yamibuy.net/item/f4dc8199489cea2c4d95695e1b85aaa9_684x684.webp,TKFOOD,$6.89,1194,Salty Yolk Cookies 230g,Authentic Taiwan taste,Taiwan,Taiwan,TKFOOD
Pocky Cookies Cream Covered Biscuit Sticks Family Pack 9 Packs,https://www.yamibuy.com/en/p/glico-cookies-cream-covered-biscuit-sticks-family-pack-9-packs/1016017071?scene=item_search.result&bu_type=search&module_name=input&index=2&content=cookies,https://cdn.yamibuy.net/item/ae2e1ac051415a5ce38818d83cde9653_684x684.webp,GLICO,,112,Pocky Cookies Cream Covered Biscuit Sticks Family Pack 9 Packs,,Japan,,GLICO
Cookies Original Flavor 60g,https://www.yamibuy.com/en/p/cookies-original-flavor-60g/1016096181?scene=item_search.result&bu_type=search&module_name=input&index=3&content=cookies,https://cdn.yamibuy.net/item/0bf9ab5b52cbd6b89d93aa0f1388bd22_684x684.webp,Koobi,$4.69,1,Cookies Original Flavor 60g,,China,,Koobi
TK FOOD Salty Yolk Cookies 100g,https://www.yamibuy.com/en/p/tk-food-salty-yolk-cookies-100g/1016003951?scene=item_search.result&bu_type=search&module_name=input&index=4&content=cookies,https://cdn.yamibuy.net/item/2e44ec590a5dc39bb9799ade57c4b6a0_684x684.webp,TKFOOD,$2.99,398,TK FOOD Salty Yolk Cookies 100g,,Taiwan,Taiwan,TKFOOD
Shortbread Cookies Dark Chocolate Yoghurt Flavor 144g,https://www.yamibuy.com/en/p/hougu-short-biscuit-dark-chocolate-yoghurt-144g/1016097101?scene=item_search.result&bu_type=search&module_name=input&index=5&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JZJT,$6.99,,Shortbread Cookies Dark Chocolate Yoghurt Flavor 144g,,China,,JZJT
"Cookies, Imported Sandwich Chocolate Cream 150g",https://www.yamibuy.com/en/p/cookies-imported-sandwich-chocolate-cream-150g/1016096951?scene=item_search.result&bu_type=search&module_name=input&index=6&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BISCOFF,$6.99,,"Cookies, Imported Sandwich Chocolate Cream 150g",,United States,,BISCOFF
Imperial Palace Sesame Cookies 200g,https://www.yamibuy.com/en/p/imperial-palace-sesame-cookies-200g/1016096871?scene=item_search.result&bu_type=search&module_name=input&index=7&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMPERIAL PALACE,$4.59,1,Imperial Palace Sesame Cookies 200g,,China,,IMPERIAL PALACE
Imperial Palace Sesame Puff Cookies 200g,https://www.yamibuy.com/en/p/imperial-palace-sesame-puff-cookies-200g/1016096861?scene=item_search.result&bu_type=search&module_name=input&index=8&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMPERIAL PALACE,$4.59,1,Imperial Palace Sesame Puff Cookies 200g,,China,,IMPERIAL PALACE
Cookies Durian Flavor 60g,https://www.yamibuy.com/en/p/cookies-durian-flavor-60g/1016096191?scene=item_search.result&bu_type=search&module_name=input&index=9&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Koobi,$4.69,,Cookies Durian Flavor 60g,,China,,Koobi
Butter Cookies 454g,https://www.yamibuy.com/en/p/kjeldsens-butter-cookies-454g/1016000681?scene=item_search.result&bu_type=search&module_name=input&index=10&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KJELDSENS,$8.69,110,Butter Cookies 454g,,Denmark,Denmark,KJELDSENS
Koala's Matcha Cream Filled Cookies 37g,https://www.yamibuy.com/en/p/koala-s-march-matcha-37g/1016092551?scene=item_search.result&bu_type=search&module_name=input&index=11&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOTTE Japan,$1.29,6,Koala's Matcha Cream Filled Cookies 37g,,Japan,,LOTTE Japan
Chocolate Mascarpone Cookies 10pc,https://www.yamibuy.com/en/p/chocolate-mascarpone-cookies-10pc/1016079301?scene=item_search.result&bu_type=search&module_name=input&index=12&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOKYO MILK CHEESE FACTORY,$19.99,10,Chocolate Mascarpone Cookies 10pc,,Japan,,TOKYO MILK CHEESE FACTORY
Danisa Premium Butter Cookies 12oz,https://www.yamibuy.com/en/p/danisa-premium-butter-cookies-12oz/1016097981?scene=item_search.result&bu_type=search&module_name=input&index=13&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DANISA,$6.29,,Danisa Premium Butter Cookies 12oz,,Denmark,,DANISA
Pocky Cookies Cream Covered Biscuit Sticks 70g,https://www.yamibuy.com/en/p/glico-cookies-cream-covered-biscuit-sticks-70g/1016007141?scene=item_search.result&bu_type=search&module_name=input&index=14&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,,64,Pocky Cookies Cream Covered Biscuit Sticks 70g,,Japan,,GLICO
Shortbread Cookies Rum with Red Grape Flavor 144g,https://www.yamibuy.com/en/p/hougu-short-biscuit-rum-red-grape-144g/1016097111?scene=item_search.result&bu_type=search&module_name=input&index=15&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JZJT,$6.99,,Shortbread Cookies Rum with Red Grape Flavor 144g,,China,,JZJT
Almond Cookies Sesame 120g,https://www.yamibuy.com/en/p/almond-cookies-sesame-120g/1016097501?scene=item_search.result&bu_type=search&module_name=input&index=16&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMPERIAL PALACE,$4.99,,Almond Cookies Sesame 120g,,China,,IMPERIAL PALACE
TK FOOD Taro Cookies 230g,https://www.yamibuy.com/en/p/tk-food-taro-cookies-230g/1016029691?scene=item_search.result&bu_type=search&module_name=input&index=17&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,,69,TK FOOD Taro Cookies 230g,,Taiwan,Taiwan,TKFOOD
TK FOOD Purple Sweet Potato Cookies 230g,https://www.yamibuy.com/en/p/tk-food-purple-sweet-potato-cookies-230g/1016019531?scene=item_search.result&bu_type=search&module_name=input&index=18&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,$6.29,128,TK FOOD Purple Sweet Potato Cookies 230g,,Taiwan,Taiwan,TKFOOD
Crepe Dentelle Cookies 500g,https://www.yamibuy.com/en/p/gavottes-crepe-dentelle-cookies-500g/1016007681?scene=item_search.result&bu_type=search&module_name=input&index=19&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GAVOTTES,$24.99,4,Crepe Dentelle Cookies 500g,,France,,GAVOTTES
