Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,link-black,Headline,Field1,Field2
FENGDAN Taiwanese Black Date And  Walnut Cake 220g,https://www.yamibuy.com/en/p/fengdan-taiwanese-black-date-and-walnut-cake-220g/1016026311?scene=item_search.result&bu_type=search&module_name=input&index=1&content=desserts,https://cdn.yamibuy.net/item/5a0b56da0883d92317612ad536c28c90_684x684.webp,FAVOR DESSERTS,24,$19.99,,,,,FENGDAN Taiwanese Black Date And  Walnut Cake 220g,5,Taiwan
Small Moon Cake 495g 9pcs,https://www.yamibuy.com/en/p/small-moon-cake-594g-9pcs/3016089921?scene=item_search.result&bu_type=search&module_name=input&index=2&content=desserts,https://cdn.yamibuy.net/item/6cfc54278818d774a6555f8348f3df2d_684x684.webp,FAVOR DESSERTS,,,$66.49,$69.99,6% OFF,Taiwan Go,Small Moon Cake 495g 9pcs,,Taiwan
Pine Nuts Tea Cakes 495g 9pcs,https://www.yamibuy.com/en/p/pine-nuts-tea-cakes-495g-9pcs/3016089941?scene=item_search.result&bu_type=search&module_name=input&index=3&content=desserts,https://cdn.yamibuy.net/item/6cfc54278818d774a6555f8348f3df2d_684x684.webp,FAVOR DESSERTS,,,$66.49,$69.99,6% OFF,Taiwan Go,Pine Nuts Tea Cakes 495g 9pcs,,Taiwan
Princess Pastry 495g 9pcs,https://www.yamibuy.com/en/p/princess-cake-594g-9pcs/3016089911?scene=item_search.result&bu_type=search&module_name=input&index=4&content=desserts,https://cdn.yamibuy.net/item/4e93de94bd2a19fea1aa14da60f3e377_684x684.webp,FAVOR DESSERTS,,,$66.49,$69.99,6% OFF,Taiwan Go,Princess Pastry 495g 9pcs,,Taiwan
Corgi Desserts Canvas Bag - Lazy Day,https://www.yamibuy.com/en/p/corgi-desserts-canvas-bag-lazy-day/3028202641?scene=item_search.result&bu_type=search&module_name=input&index=5&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NAYOTHECORGI,,$14.99,,,,Nayothecorgi,Corgi Desserts Canvas Bag - Lazy Day,,United States
FAVOR DESSERTS Longan Nanzao Walnut Cake(Vegan / Contain Wine) 160g,https://www.yamibuy.com/en/p/favor-desserts-longan-nanzao-walnut-cake-vegan-contain-wine-160g/3018013361?scene=item_search.result&bu_type=search&module_name=input&index=6&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Fongden,2,,$18.99,$19.99,6% OFF,Taiwan Go,FAVOR DESSERTS Longan Nanzao Walnut Cake(Vegan / Contain Wine) 160g,3.5,Taiwan
FAVOR DESSERTS French Almond Cranberry Nougat(ovolactin) 160g,https://www.yamibuy.com/en/p/favor-desserts-french-almond-cranberry-nougat-lacto-ovo-vegetarian-160g/3018013331?scene=item_search.result&bu_type=search&module_name=input&index=7&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Fongden,3,,$18.99,$19.99,6% OFF,Taiwan Go,FAVOR DESSERTS French Almond Cranberry Nougat(ovolactin) 160g,5,Taiwan
Corgi Desserts Canvas Bag - Sweet Overload,https://www.yamibuy.com/en/p/corgi-desserts-canvas-bag-sweet-overload/3028202661?scene=item_search.result&bu_type=search&module_name=input&index=8&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NAYOTHECORGI,,$14.99,,,,Nayothecorgi,Corgi Desserts Canvas Bag - Sweet Overload,,United States
Corgi Desserts Canvas Bag - Sweet Time,https://www.yamibuy.com/en/p/corgi-desserts-canvas-bag-sweet-time/3028202631?scene=item_search.result&bu_type=search&module_name=input&index=9&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NAYOTHECORGI,,$14.99,,,,Nayothecorgi,Corgi Desserts Canvas Bag - Sweet Time,,United States
Corgi Desserts Canvas Bag - Let's Picnic,https://www.yamibuy.com/en/p/corgi-desserts-canvas-bag-let-s-picnic/3028202651?scene=item_search.result&bu_type=search&module_name=input&index=10&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NAYOTHECORGI,,$14.99,,,,Nayothecorgi,Corgi Desserts Canvas Bag - Let's Picnic,,United States
