Product_Name,Title_link,Thumbnail,Brand,Reviews,Options,Price,price-valid,price-invalid,price-discount,Type
"Coconut Drink, 8.28 fl oz",https://www.yamibuy.com/en/p/coconut-palm-brand-coconut-juice-245ml/1020005101?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/12255707afe3e7901fdcd572e4f9a878_684x684.webp,COCONUT PALM BRAND,691,3 Options,,$1.29 ,$1.69 ,24% OFF,
VITA Lemon Tea 250ml,https://www.yamibuy.com/en/p/vita-lemon-tea-250ml/1020037911?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/49073771098135726d23e5e35547a0a7_684x684.webp,VITASOY,743,5 Options,,$0.89 ,$0.99 ,11% OFF,
"Peach Sparkling Water, 16.2 fl oz",https://www.yamibuy.com/en/p/yuanqisenlin-white-peach-soda-water-480ml/1020027811?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/019d987bdac36aeedc746f0c9866f106_684x684.webp,Genki Forest,1061,9 Options,,$1.99 ,$2.29 ,14% OFF,
Lacto Fermented Probiotic Milk Drink 300ml,https://www.yamibuy.com/en/p/tianrun-lactobacillus-drink-300ml/1020050181?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/c8740e8745a42d25d170cb0e9e9f2e2d_684x684.webp,TianRun,266,,$3.39 ,,,,
Original Soy Milk Drink 250ml,https://www.yamibuy.com/en/p/vitasoy-original-soya-drink-250ml/1020002441?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/7b48c991ad756fb2a6d5875376214337_684x684.webp,VITASOY,355,7 Options,$0.89 ,,,,
Majime Millet Biscuits 130g,https://www.yamibuy.com/en/p/nomura-majime-mire-biscuits-130g/1147004581?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/5b7e5659e16cf59f0046e247babe0e3b_684x684.webp,NOMURA,608,2 Options,,$2.99 ,$3.99 ,26% OFF,
KVASS Bread Fermented Beverage 330ml,https://www.yamibuy.com/en/p/qiulin-kavass/1020044491?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/826372094a88ec85177317909d68aa01_684x684.webp,Qiulin,320,,,$1.49 ,$1.79 ,17% OFF,
Spicy Beancurd Strip 65g,https://www.yamibuy.com/en/p/yufeng-spicy-beancurd-strip-65g/1019065211?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/cd8481ba9f0812b1254fcee49de830b8_684x684.webp,YuFeng,157,,$1.99 ,,,,
"Lemon Iced Tea, 500ml",https://www.yamibuy.com/en/p/master-kong-iced-lemon-black-tea-550ml/1020005001?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MASTER KONG,858,11 Options,,$1.39 ,$1.49 ,7% OFF,
Herbal Drink 10.9 fl oz,https://www.yamibuy.com/en/p/wonglokat-herbal-tea-310ml/1020007021?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANGLAOJI,187,2 Options,,$1.09 ,$1.19 ,9% OFF,
Millet Rice Cracker 130g,https://www.yamibuy.com/en/p/yuanxian-millet-rice-cracker-130g/1017029811?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUANXIAN,698,,,$1.99 ,$2.19 ,10% OFF,
"Jasmine Green Tea with Honey, 500ml",https://www.yamibuy.com/en/p/master-kong-jasmine-honey-green-tea-drink-500ml/1020005021?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MASTER KONG,397,11 Options,,$1.39 ,$1.49 ,7% OFF,
Honey Butter Chip 60g,https://www.yamibuy.com/en/p/haitai-honey-butter-chip-60g/1017004481?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,1207,4 Options,$2.19 ,,,,
"Vegeterian Konjac Snack Spicy Flavor, 360g",https://www.yamibuy.com/en/p/weilong-hot-konjac-spicy-flavor-20pcs-360g/1019016771?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILONG,626,3 Options,$5.89 ,,,,
VITA HK Style Milk Tea 250ml,https://www.yamibuy.com/en/p/vita-hk-style-milk-tea-250ml/1020006471?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,VITASOY,677,2 Options,$0.99 ,,,,
