Title,Title_link,Thumbnail,brand-title,comment-star__count,brand-variants,Price,price-valid,price-invalid,price-discount,Headline,DetailPrice,OriginalPrice,Live chat,Field1
"Coconut Drink, 8.28 fl oz",https://www.yamibuy.com/en/p/coconut-palm-brand-coconut-juice-245ml/1020005101?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/12255707afe3e7901fdcd572e4f9a878_684x684.webp,COCONUT PALM BRAND,691,3 Options,,$1.29,$1.69,24% OFF,"Coconut Drink, 8.28 fl oz",$1.29,$1.69,Contact Us,China
VITA Lemon Tea 250ml,https://www.yamibuy.com/en/p/vita-lemon-tea-250ml/1020037911?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/49073771098135726d23e5e35547a0a7_684x684.webp,VITASOY,743,5 Options,,$0.89,$0.99,11% OFF,VITA Lemon Tea 250ml,$0.89,$0.99,Contact Us,Hong Kong
"Peach Sparkling Water, 16.2 fl oz",https://www.yamibuy.com/en/p/yuanqisenlin-white-peach-soda-water-480ml/1020027811?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/019d987bdac36aeedc746f0c9866f106_684x684.webp,Genki Forest,1061,9 Options,,$1.99,$2.29,14% OFF,"Peach Sparkling Water, 16.2 fl oz",$1.99,$2.29,Contact Us,China
Lacto Fermented Probiotic Milk Drink 300ml,https://www.yamibuy.com/en/p/tianrun-lactobacillus-drink-300ml/1020050181?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/c8740e8745a42d25d170cb0e9e9f2e2d_684x684.webp,TianRun,266,,$3.39,,,,Lacto Fermented Probiotic Milk Drink 300ml,,,Contact Us,China
Original Soy Milk Drink 250ml,https://www.yamibuy.com/en/p/vitasoy-original-soya-drink-250ml/1020002441?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/7b48c991ad756fb2a6d5875376214337_684x684.webp,VITASOY,355,7 Options,$0.89,,,,Original Soy Milk Drink 250ml,,,Contact Us,Hong Kong
Majime Millet Biscuits 130g,https://www.yamibuy.com/en/p/nomura-majime-mire-biscuits-130g/1147004581?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/5b7e5659e16cf59f0046e247babe0e3b_684x684.webp,NOMURA,608,2 Options,,$2.99,$3.99,26% OFF,Majime Millet Biscuits 130g,$2.99,$3.99,Contact Us,Japan
KVASS Bread Fermented Beverage 330ml,https://www.yamibuy.com/en/p/qiulin-kavass/1020044491?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/826372094a88ec85177317909d68aa01_684x684.webp,Qiulin,320,,,$1.49,$1.79,17% OFF,KVASS Bread Fermented Beverage 330ml,$1.49,$1.79,Contact Us,China
Spicy Beancurd Strip 65g,https://www.yamibuy.com/en/p/yufeng-spicy-beancurd-strip-65g/1019065211?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/item/cd8481ba9f0812b1254fcee49de830b8_684x684.webp,YuFeng,157,,$1.99,,,,Spicy Beancurd Strip 65g,,,Contact Us,China
"Lemon Iced Tea, 500ml",https://www.yamibuy.com/en/p/master-kong-iced-lemon-black-tea-550ml/1020005001?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MASTER KONG,858,11 Options,,$1.39,$1.49,7% OFF,"Lemon Iced Tea, 500ml",$1.39,$1.49,Contact Us,China
Herbal Drink 10.9 fl oz,https://www.yamibuy.com/en/p/wonglokat-herbal-tea-310ml/1020007021?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANGLAOJI,187,2 Options,,$1.09,$1.19,9% OFF,Herbal Drink 10.9 fl oz,$1.09,$1.19,Contact Us,China
Millet Rice Cracker 130g,https://www.yamibuy.com/en/p/yuanxian-millet-rice-cracker-130g/1017029811?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUANXIAN,698,,,$1.99,$2.19,10% OFF,Millet Rice Cracker 130g,$1.99,$2.19,Contact Us,China
"Jasmine Green Tea with Honey, 500ml",https://www.yamibuy.com/en/p/master-kong-jasmine-honey-green-tea-drink-500ml/1020005021?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MASTER KONG,397,11 Options,,$1.39,$1.49,7% OFF,"Jasmine Green Tea with Honey, 500ml",$1.39,$1.49,Contact Us,China
Honey Butter Chip 60g,https://www.yamibuy.com/en/p/haitai-honey-butter-chip-60g/1017004481?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,1207,4 Options,$2.19,,,,Honey Butter Chip 60g,,,Contact Us,Korea
"Vegeterian Konjac Snack Spicy Flavor, 360g",https://www.yamibuy.com/en/p/weilong-hot-konjac-spicy-flavor-20pcs-360g/1019016771?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILONG,626,3 Options,$5.89,,,,"Vegeterian Konjac Snack Spicy Flavor, 360g",,,Contact Us,China
VITA HK Style Milk Tea 250ml,https://www.yamibuy.com/en/p/vita-hk-style-milk-tea-250ml/1020006471?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,VITASOY,677,2 Options,$0.99,,,,VITA HK Style Milk Tea 250ml,,,Contact Us,Hong Kong
Cow Milk Tablet 20g,https://www.yamibuy.com/en/p/snacktalk-cow-milk-tablet-20g/1018028751?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SnackTalk,365,2 Options,$1.49,,,,Cow Milk Tablet 20g,,,Contact Us,China
"Low Sugar Green Tea Honey Jasmine Flavor, 500ml",https://www.yamibuy.com/en/p/master-kong-honey-green-tea-500ml/1020005031?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MASTER KONG,196,11 Options,$1.49,,,,"Low Sugar Green Tea Honey Jasmine Flavor, 500ml",,,Contact Us,China
Less Sugar Soy Drink 250ML,https://www.yamibuy.com/en/p/vitasoy-less-sugar-soy-drink-250ml/1020002451?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,VITASOY,254,7 Options,$0.79,,,,Less Sugar Soy Drink 250ML,,,Contact Us,Hong Kong
Jinduigu Hand Made Tender Tofu Snack Five Spices Flavor 180g,https://www.yamibuy.com/en/p/jinduigu-hand-made-tender-tofu-snack-five-spices-flavor-180g/1019045331?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Jinduigu Food,276,5 Options,$2.79,,,,Jinduigu Hand Made Tender Tofu Snack Five Spices Flavor 180g,,,Contact Us,China
Tamamizu Crab flavor Fish Paste 45g,https://www.yamibuy.com/en/p/tamamizu-crab-flavor-fish-paste-45g/1021032431?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUTAMA,225,,$1.99,,,,Tamamizu Crab flavor Fish Paste 45g,,,Contact Us,Japan
DXC-Fruit Mochi Coconut Milk Flavor 210g,https://www.yamibuy.com/en/p/dxc-fruit-mochi-coconut-milk-flavo-210g/1016057001?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,309,3 Options,$4.39,,,,DXC-Fruit Mochi Coconut Milk Flavor 210g,,,Contact Us,China
Sparkling Water(Pineapple&Sea Salt) 480ml,https://www.yamibuy.com/en/p/gf-sparkling-water-pineapple-sea-salt-480ml/1020062141?scene=item_category.item&bu_type=category_tree&module_name=category_main&index=1&content=Snack%20%26%20Beverage,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Genki Forest,19,9 Options,$2.29,,,,Sparkling Water(Pineapple&Sea Salt) 480ml,,,Contact Us,China
