Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,Headline,Field1,Field2
Milky Jujube Strawberry Flavor 150g,https://www.yamibuy.com/en/p/milky-jujube-strawberry-flavor/1019064721?scene=item_search.result&bu_type=search&module_name=input&index=1&content=cake,https://cdn.yamibuy.net/item/d77e1458a6704ec14c0295fdea80bf16_684x684.webp,Yu Cake,7,$11.99,4 Options,Milky Jujube Strawberry Flavor 150g,4.3,United States
Chewy Cubes Pistachio Flavor,https://www.yamibuy.com/en/p/chewy-cubes-pistachio-flavor/1016091401?scene=item_search.result&bu_type=search&module_name=input&index=2&content=cake,https://cdn.yamibuy.net/item/c5f4daf86e9c98d21e3a5f092d5c7bc1_684x684.webp,Yu Cake,2,$12.99,,Chewy Cubes Pistachio Flavor,4.5,United States
Milky Jujube Matcha Flavor 150g,https://www.yamibuy.com/en/p/matcha-milky-jujube/1019063301?scene=item_search.result&bu_type=search&module_name=input&index=3&content=cake,https://cdn.yamibuy.net/item/fc46de337e0ad2000d45ecc51d21058e_684x684.webp,Yu Cake,32,$11.99,4 Options,Milky Jujube Matcha Flavor 150g,4.7,United States
Beijing Wheat Flour Cake 210g,https://www.yamibuy.com/en/p/daoxiangcun-beijing-wheat-flour-cake-210g/1016030811?scene=item_search.result&bu_type=search&module_name=input&index=4&content=cake,https://cdn.yamibuy.net/item/a233a9a6dc8550240b45a9100a051a20_684x684.webp,Dao Xiang Cun,180,$5.99,,Beijing Wheat Flour Cake 210g,4.7,China
Mini Baked Wheat Baum Kuchen Cake 10pc 270g,https://www.yamibuy.com/en/p/marukin-mini-baked-wheat-baum-cake-10pc-270g/1016009741?scene=item_search.result&bu_type=search&module_name=input&index=5&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKIN,536,$6.49,5 Options,Mini Baked Wheat Baum Kuchen Cake 10pc 270g,4.6,Japan
Sachima Egg Flavor Soft Flour Cake 526g,https://www.yamibuy.com/en/p/hsufuchi-egg-flavor-soft-flour-cake-526g/1016005261?scene=item_search.result&bu_type=search&module_name=input&index=6&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HSUFUCHI,377,,2 Options,Sachima Egg Flavor Soft Flour Cake 526g,4.8,Taiwan
DXC Mung Bean Cake 180g,https://www.yamibuy.com/en/p/dxc-mung-bean-cake-180g/1016057771?scene=item_search.result&bu_type=search&module_name=input&index=7&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,631,$6.89,2 Options,DXC Mung Bean Cake 180g,4.7,China
Sesame Sachima Soft Flour Cake 469g,https://www.yamibuy.com/en/p/hsufuchi-sesame-flour-soft-flour-cake-469g/1016005271?scene=item_search.result&bu_type=search&module_name=input&index=8&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HSUFUCHI,125,,2 Options,Sesame Sachima Soft Flour Cake 469g,4.6,Taiwan
Rice Cake 17.6 oz,https://www.yamibuy.com/en/p/jing-hua-fang-rice-cake-17-6-oz/1149001231?scene=item_search.result&bu_type=search&module_name=input&index=9&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Jing Hua Fang,111,$3.99,,Rice Cake 17.6 oz,4.5,China
DXC Wife Cake Honey Flavor 210g,https://www.yamibuy.com/en/p/dxc-wife-cake-honey-flavor-210g/1016057651?scene=item_search.result&bu_type=search&module_name=input&index=10&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,124,$7.29,2 Options,DXC Wife Cake Honey Flavor 210g,4.6,China
Spicy Rice Cake Sticks Snack 230g,https://www.yamibuy.com/en/p/haitai-spicy-sindangdong-rice-cake-sticks-snack-230g/1017003341?scene=item_search.result&bu_type=search&module_name=input&index=11&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,301,$3.49,2 Options,Spicy Rice Cake Sticks Snack 230g,4.5,Korea
Cup Rice Cake Spicy Carbonara 140g,https://www.yamibuy.com/en/p/cup-rice-cake-spicy-carbonara-142g/1017037921?scene=item_search.result&bu_type=search&module_name=input&index=12&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WELLHEIM,16,$2.99,,Cup Rice Cake Spicy Carbonara 140g,4.5,Korea
Egg Flavor Soft Flour Cake 608g,https://www.yamibuy.com/en/p/jingyizhen-egg-flavor-soft-flour-cake-608g/1016032471?scene=item_search.result&bu_type=search&module_name=input&index=13&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JINGYIZHEN,151,$5.99,4 Options,Egg Flavor Soft Flour Cake 608g,4.9,China
Oreo Cookie and Cream Pie Cake 360g,https://www.yamibuy.com/en/p/cake-oh-yes-cookie-cream/1016059891?scene=item_search.result&bu_type=search&module_name=input&index=14&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,130,$4.99,,Oreo Cookie and Cream Pie Cake 360g,4.7,Korea
Avocado Cake 252g,https://www.yamibuy.com/en/p/swsw-avocado-cake-252g/1016071961?scene=item_search.result&bu_type=search&module_name=input&index=15&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SANWEISUWU,144,$18.49,,Avocado Cake 252g,4.6,China
Topokki Rice Cake Cheese 240g,https://www.yamibuy.com/en/p/yopokki-topokki-bag-cheese-240g/1147004671?scene=item_search.result&bu_type=search&module_name=input&index=16&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YOPOKKI,18,,,Topokki Rice Cake Cheese 240g,4.8,Korea
Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,https://www.yamibuy.com/en/p/kitkat-cheese-cake-chocolate-wafer-9pc/1018046361?scene=item_search.result&bu_type=search&module_name=input&index=17&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,5,$6.99,,Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,5,Japan
Plum Cake Honey Flavor 80g,https://www.yamibuy.com/en/p/plum-cake-honey-flavor-80g/1019062061?scene=item_search.result&bu_type=search&module_name=input&index=18&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UME HOUSE,51,,,Plum Cake Honey Flavor 80g,4.8,China
Walnut Crisp Cake 650g,https://www.yamibuy.com/en/p/dxc-walnut-crisp-cake-650g/1016097271?scene=item_search.result&bu_type=search&module_name=input&index=19&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,1,$19.99,,Walnut Crisp Cake 650g,5,China
Precieux white chocolate Covered Lemon Cake 5pcs,https://www.yamibuy.com/en/p/precieux-white-chocolate-covered-lemon-cake-5pcs/1016097561?scene=item_search.result&bu_type=search&module_name=input&index=20&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHEN YUN PAO CHUAN,4,,,Precieux white chocolate Covered Lemon Cake 5pcs,5,Taiwan
Banana Petit Cake 6pcs 85g,https://www.yamibuy.com/en/p/banana-petit-cake-6pcs-85g/1016096811?scene=item_search.result&bu_type=search&module_name=input&index=21&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKIN,1,$3.39,,Banana Petit Cake 6pcs 85g,4,Japan
Pineapple Cake 4 Flavors 8pcs,https://www.yamibuy.com/en/p/pineapple-cake-4-flavors-8pcs/1016096101?scene=item_search.result&bu_type=search&module_name=input&index=22&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Kaonuxu,1,,,Pineapple Cake 4 Flavors 8pcs,3,Taiwan
Castella Japanese Style Baked Sponge Cake Matcha Flavor 7 Slices 280g,https://www.yamibuy.com/en/p/imuraya-castilla-japanese-style-baked-sponge-cake-matcha-flavor-7-slices-280g/1016009051?scene=item_search.result&bu_type=search&module_name=input&index=23&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMURAYA,123,$6.99,4 Options,Castella Japanese Style Baked Sponge Cake Matcha Flavor 7 Slices 280g,4,Japan
Rice Cake Stick 600g,https://www.yamibuy.com/en/p/rice-cake-stick-690g/1150002321?scene=item_search.result&bu_type=search&module_name=input&index=24&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTHER BRANDS,8,$3.59,,Rice Cake Stick 600g,4.9,N/A
Pia Durian Cake Egg Yolk Taro Mung Bean Flavor 400g,https://www.yamibuy.com/en/p/pia-cake-yolk-mung-bean-durianu-taro-mixed-3-mien-400g/1016089751?scene=item_search.result&bu_type=search&module_name=input&index=25&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,THIEN SA,14,$5.69,2 Options,Pia Durian Cake Egg Yolk Taro Mung Bean Flavor 400g,4.6,Vietnam
Baked Cake-Roll Cake(Nama Baumkuchen)  295g,https://www.yamibuy.com/en/p/marukin-baked-cake-roll-cake-nama-baumkuchen-300g/1016059311?scene=item_search.result&bu_type=search&module_name=input&index=26&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKIN,126,$4.99,,Baked Cake-Roll Cake(Nama Baumkuchen)  295g,4.6,Japan
Chocolate and Milk Cake,https://www.yamibuy.com/en/p/chocolate-and-milk-cake/1016085361?scene=item_search.result&bu_type=search&module_name=input&index=27&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GAOLEGAO,11,$11.99,2 Options,Chocolate and Milk Cake,5,China
