Title,Title_link,Thumbnail,brand-title,Price,comment-star__count,Headline,DetailPrice,OriginalPrice,Field1,Field2,Field3
White Rabbit Candy Flavored Milk 200ml,https://www.yamibuy.com/en/p/big-rabbit-milk-200ml/1020048311?scene=item_search.result&bu_type=search&module_name=input&index=1&content=candy,https://cdn.yamibuy.net/item/596eb5cda17010a0e96418628845759c_684x684.webp,WHITE RABBIT,,107,White Rabbit Candy Flavored Milk 200ml,$2.29,$2.89,107,China,4.5
Assorted Peanut Crisp Candy 328g,https://www.yamibuy.com/en/p/hsufuchi-assorted-peanut-crisp-candy-328g/1018002791?scene=item_search.result&bu_type=search&module_name=input&index=2&content=candy,https://cdn.yamibuy.net/item/e36b298eea2a65b67336feea6828570d_684x684.webp,HSUFUCHI,$6.59,69,Assorted Peanut Crisp Candy 328g,,,69,Taiwan,4.9
UHA Gummy Candy Green Grape Flavor 48g,https://www.yamibuy.com/en/p/uha-taste-sugar-kololo-green-grape-48g/1018002271?scene=item_search.result&bu_type=search&module_name=input&index=3&content=candy,https://cdn.yamibuy.net/item/e7de085d2596e7bb21135db6a4a129a8_684x684.webp,UHA,$2.99,80,UHA Gummy Candy Green Grape Flavor 48g,,,80,Japan,4.8
Japanese Lipstick Shaped Candy Gift Box 6 Flavors,https://www.yamibuy.com/en/p/japanese-lipstick-shaped-candy-gift-box-6-flavors/1018048301?scene=item_search.result&bu_type=search&module_name=input&index=4&content=candy,https://cdn.yamibuy.net/item/73ff643283ba793588fd376bc9fee377_684x684.webp,eitaro,$69.99,7,Japanese Lipstick Shaped Candy Gift Box 6 Flavors,,,7,China,5
Mikakutang Soda Flavour Soft Candy 40g,https://www.yamibuy.com/en/p/mikakutang-soda-flavour-soft-candy-40g/1018042481?scene=item_search.result&bu_type=search&module_name=input&index=5&content=candy,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UHA,$2.49,2,Mikakutang Soda Flavour Soft Candy 40g,,,2,Japan,4
Nobel Super Soda Candy 84g,https://www.yamibuy.com/en/p/nobel-super-soda-candy-84g/1018044961?scene=item_search.result&bu_type=search&module_name=input&index=6&content=candy,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NOBEL,$3.29,,Nobel Super Soda Candy 84g,,,Be the first!,Japan,
Strawberry Shake Candy 4.2oz,https://www.yamibuy.com/en/p/strawberry-shake-candy-4-2oz/1018047471?scene=item_search.result&bu_type=search&module_name=input&index=7&content=candy,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Milkita,$2.29,1,Strawberry Shake Candy 4.2oz,,,1,Indonesia,5
X'mas Party Hard Candy 13g,https://www.yamibuy.com/en/p/x-mas-party-stick-candy-13g/1018044861?scene=item_search.result&bu_type=search&module_name=input&index=8&content=candy,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WONDERLAND,$1.29,,X'mas Party Hard Candy 13g,,,Be the first!,Japan,
WENHEYOU CINNAMON OIL CANDY,https://www.yamibuy.com/en/p/wenheyou-cinnamon-oil-candy/1018047291?scene=item_search.result&bu_type=search&module_name=input&index=9&content=candy,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WENHEYOU,$5.69,,WENHEYOU CINNAMON OIL CANDY,,,Be the first!,China,
Hinamatsuri -Flower Soft Candy Box 22pcs,https://www.yamibuy.com/en/p/hinamatsuri-flower-soft-candy-box-22pcs/1018047901?scene=item_search.result&bu_type=search&module_name=input&index=10&content=candy,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HANANOYA,,,Hinamatsuri -Flower Soft Candy Box 22pcs,$16.99,$18.99,Be the first!,Japan,
