Title,Title_link,Thumbnail,brand-title,price-sup,comment-star__count,Price,brand-variants,Headline,Field1,Field2,Field3
Exotic Vegetable Chips Mediterranean Exotic Veg Chips,https://www.yamibuy.com/en/p/exotic-vegetable-chips-mediterranean-exotic-veg-chips/1017041261?scene=item_search.result&bu_type=search&module_name=input&index=1&content=chips,https://cdn.yamibuy.net/item/99a115f2e5e380fea81ed3c4805d1e4b_684x684.webp,TERRA CHIPS,Buy $150 get 1 free gift,1,$7.49,,Exotic Vegetable Chips Mediterranean Exotic Veg Chips,1,United States,5
Taro Chips Original 170g,https://www.yamibuy.com/en/p/taro-chips-original-170g/1017042261?scene=item_search.result&bu_type=search&module_name=input&index=2&content=chips,https://cdn.yamibuy.net/item/53c6245599b5947d23fa15a76db9e04f_684x684.webp,TERRA CHIPS,Buy $150 get 1 free gift,1,$6.89,,Taro Chips Original 170g,1,United States,5
Exotic Vegetable Chips Original 141g,https://www.yamibuy.com/en/p/exotic-vegetable-chips-original-142g/1017042231?scene=item_search.result&bu_type=search&module_name=input&index=3&content=chips,https://cdn.yamibuy.net/item/4dcee204dabcb24f34ba66de60f0b9a2_684x684.webp,TERRA CHIPS,Buy $150 get 1 free gift,1,$6.49,,Exotic Vegetable Chips Original 141g,1,United States,4
Mimi Shrimp Flavored Chips 10 Packs 180g,https://www.yamibuy.com/en/p/aishang-mimi-shrimp-flavored-chips-10-packs-180g/1017007641?scene=item_search.result&bu_type=search&module_name=input&index=4&content=chips,https://cdn.yamibuy.net/item/9c5443f1864e25951045acf55781da11_684x684.webp,aishang,Buy $150 get 1 free gift,150,$2.99,4 Options,Mimi Shrimp Flavored Chips 10 Packs 180g,153,China,4.7
BBQ Flavor 108g,https://www.yamibuy.com/en/p/angel-potato-chips-bbq-flavor-108g/1017015441?scene=item_search.result&bu_type=search&module_name=input&index=5&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Angel Potato Chips,Buy $150 get 1 free gift,1,$2.99,9 Options,BBQ Flavor 108g,1,China,3
Potato Chips Garlic Roasted Oyster Flavor 70g,https://www.yamibuy.com/en/p/potato-chips-garlic-roasted-oyster-flavor-28g/1017040721?scene=item_search.result&bu_type=search&module_name=input&index=6&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,17,$2.49,,Potato Chips Garlic Roasted Oyster Flavor 70g,17,China,4.6
Cumin Flavor 108g,https://www.yamibuy.com/en/p/angel-potato-chips-cumin-flavor-108g/1017015411?scene=item_search.result&bu_type=search&module_name=input&index=7&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Angel Potato Chips,Buy $150 get 1 free gift,,$2.99,,Cumin Flavor 108g,Be the first!,China,
"Potato Chips Cucumber Flavor, 70g",https://www.yamibuy.com/en/p/lay-s-potato-chips-cucumber-flavor-70g/1017014081?scene=item_search.result&bu_type=search&module_name=input&index=8&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,405,,7 Options,"Potato Chips Cucumber Flavor, 70g",406,China,4.7
Potato Farm Hokkaido Premium Potato Chips Jaga Pokkuru 18g*10 Packs,https://www.yamibuy.com/en/p/calbee-potato-farm-hokkaido-premium-potato-18g-10-packs/1017000911?scene=item_search.result&bu_type=search&module_name=input&index=9&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy $150 get 1 free gift,103,,,Potato Farm Hokkaido Premium Potato Chips Jaga Pokkuru 18g*10 Packs,104,Japan,4.8
Potato Chips Spicy Hot Pot Flavor 70g,https://www.yamibuy.com/en/p/lay-s-potato-chips-numb-amp-spicy-hot-pot-flavor-70g/1017014091?scene=item_search.result&bu_type=search&module_name=input&index=10&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,260,$2.49,7 Options,Potato Chips Spicy Hot Pot Flavor 70g,Be the first!,China,4.7
