Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3
Pocky Almond Chocolate Biscuit Sticks 41g,https://www.yamibuy.com/en/p/glico-almond-chocolate-pocky-stick-2packs-41g/1016005911?scene=item_search.result&bu_type=search&module_name=input&index=1&content=chocolate,https://cdn.yamibuy.net/item/4ff468c240b1519fee8a0c85d2d437a4_684x684.webp,GLICO,288,$2.19,,,,,Pocky Almond Chocolate Biscuit Sticks 41g,290,Japan,4.9
Koala Chocolate Cream Filling Biscuit 41g,https://www.yamibuy.com/en/p/lotte-koala-chocolate-cream-filling-biscuit-41g/1016005891?scene=item_search.result&bu_type=search&module_name=input&index=2&content=chocolate,https://cdn.yamibuy.net/item/901c7da3ceaa0c3dcc22f58ca227302b_684x684.webp,LOTTE Japan,136,$1.19,2 Options,,,,Koala Chocolate Cream Filling Biscuit 41g,142,Japan,4.8
Meltyblend Chocolate Premium Cacao 60g,https://www.yamibuy.com/en/p/meiji-meltyblend-chocolate-premium-cacao-60g/1018004661?scene=item_search.result&bu_type=search&module_name=input&index=3&content=chocolate,https://cdn.yamibuy.net/item/5e000751f0f147abe4dc5d4125000d6e_684x684.webp,MEIJI,134,$3.99,,,,,Meltyblend Chocolate Premium Cacao 60g,135,Japan,4.8
Chocolate Flavored Soy Drink 250ml,https://www.yamibuy.com/en/p/vitasoy-chocolate-flavored-soy-drink-250ml/1020002461?scene=item_search.result&bu_type=search&module_name=input&index=4&content=chocolate,https://cdn.yamibuy.net/item/7db091c0c5e48e7d31db1c06363218fa_684x684.webp,VITASOY,237,$0.79,7 Options,,,,Chocolate Flavored Soy Drink 250ml,238,Hong Kong,4.7
Bun With Chocolate Filling Breadd 75g,https://www.yamibuy.com/en/p/bun-with-chocolate-filling-breadd-75g/1016085481?scene=item_search.result&bu_type=search&module_name=input&index=5&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,D-PLUS,26,,,$1.99,$2.29,14% OFF,Bun With Chocolate Filling Breadd 75g,26,Japan,4.5
Pejoy Chocolate Cream Filled Biscuit Sticks 8 Packs 120g,https://www.yamibuy.com/en/p/glico-cookies-chocolate-covered-biscuit-sticks-family-pack-120g/1016017131?scene=item_search.result&bu_type=search&module_name=input&index=6&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,141,,,$3.59,$3.99,11% OFF,Pejoy Chocolate Cream Filled Biscuit Sticks 8 Packs 120g,141,Japan,4.9
UHA Gummy Candy Green Grape Flavor 48g,https://www.yamibuy.com/en/p/uha-taste-sugar-kololo-green-grape-48g/1018002271?scene=item_search.result&bu_type=search&module_name=input&index=7&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UHA,80,$2.99,7 Options,,,,UHA Gummy Candy Green Grape Flavor 48g,80,Japan,4.8
Pocky Matcha Chocolate Biscuit Sticks 70g,https://www.yamibuy.com/en/p/glico-matcha-chocolate-pocky-stick-70g/1016006051?scene=item_search.result&bu_type=search&module_name=input&index=8&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,162,,,$1.99,$2.19,10% OFF,Pocky Matcha Chocolate Biscuit Sticks 70g,162,Japan,4.7
Assorted Peanut Crisp Candy 328g,https://www.yamibuy.com/en/p/hsufuchi-assorted-peanut-crisp-candy-328g/1018002791?scene=item_search.result&bu_type=search&module_name=input&index=9&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HSUFUCHI,67,$6.59,2 Options,,,,Assorted Peanut Crisp Candy 328g,69,Taiwan,4.9
GGE Baked Rice Snack Chocolate Flavor 45g,https://www.yamibuy.com/en/p/weilih-gge-baked-rice-snack-chocolate-flavor-45g/1017000261?scene=item_search.result&bu_type=search&module_name=input&index=10&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,200,$1.89,,,,,GGE Baked Rice Snack Chocolate Flavor 45g,200,Taiwan,4.7
