Title,Title_link,brand-title,Price,comment-star__count,Field1,Field2,Field3
DRIED BEAN CURD STICK  170g,https://www.yamibuy.com/en/p/dried-bean-curd-stick-170g/1149000911?scene=item_search.result&bu_type=search&module_name=input&index=1&content=dried%20bean%20curd,CHUZHIBAO,$2.99,91,91,United States,4.6
"Dried Bean Curd Sichuan Spicy Flavor, 2.12 oz",https://www.yamibuy.com/en/p/weilong-kiss-bean-curd-spiced-flavor-60g/1019007171?scene=item_search.result&bu_type=search&module_name=input&index=2&content=dried%20bean%20curd,WEILONG,,670,670,China,4.3
Big Green Dried Soy Bean Curd (Sheet),https://www.yamibuy.com/en/p/big-green-dried-soy-bean-curd-sheet/1149013311?scene=item_search.result&bu_type=search&module_name=input&index=3&content=dried%20bean%20curd,DOUXIANGFANG,,3,3,China,4.3
Dried Bean Curd Stick 340g,https://www.yamibuy.com/en/p/dried-bean-curd-stick-340g/1149004381?scene=item_search.result&bu_type=search&module_name=input&index=4&content=dried%20bean%20curd,CHUZHIBAO,$5.99,34,34,United States,4.8
Gaobeidian Shredded Dried Bean Curd 700g,https://www.yamibuy.com/en/p/gaobeidian-shredded-dried-bean-curd-700g/1149016371?scene=item_search.result&bu_type=search&module_name=input&index=5&content=dried%20bean%20curd,HD,$7.99,,Be the first!,China,
MARINATED DRIED TOFU CURD 75g - Vegetarian Snacks Ready to Eat  Braised Bean Curd Products No Preservatives,https://www.yamibuy.com/en/p/marinated-dried-tofu-curd-75g-vegetarian-snacks-ready-to-eat-braised-bean-curd-products-no-preservatives/5019071731?scene=item_search.result&bu_type=search&module_name=input&index=6&content=dried%20bean%20curd,NestLady,,9,9,United States,4.67
Fried Bean Curd Sheet 180g,https://www.yamibuy.com/en/p/shuangxi-fried-bean-curd-sheet-180g/1021024061?scene=item_search.result&bu_type=search&module_name=input&index=7&content=dried%20bean%20curd,shuangxi,$5.29,276,276,China,4.9
Tiantai Yangquan Oil Fermented bean curd  200g,https://www.yamibuy.com/en/p/tiantai-yangquan-oil-fermented-bean-curd-320g/1147004351?scene=item_search.result&bu_type=search&module_name=input&index=8&content=dried%20bean%20curd,Tiantai Yanguan,$4.59,90,90,China,4.9
Gaobeidian Sliced Bean Curd 400g,https://www.yamibuy.com/en/p/gaobeidian-sliced-bean-curd-400g/1149016391?scene=item_search.result&bu_type=search&module_name=input&index=9&content=dried%20bean%20curd,HD,$3.99,,Be the first!,China,
Bean Curd Stick 340g,https://www.yamibuy.com/en/p/bean-curd-stick-340g/1149016191?scene=item_search.result&bu_type=search&module_name=input&index=10&content=dried%20bean%20curd,LAM SHENG KEE,$5.49,,Be the first!,Taiwan,
