Title,Title_link,brand-title,comment-star__count,Price,brand-variants,Headline,Field1,Field2,Field3
Colorful Dried Fruits and Vegetables 50g,https://www.yamibuy.com/en/p/bestore-colorful-dried-fruits-and-vegetables-50g/1019030221?scene=item_search.result&bu_type=search&module_name=input&index=1&content=dried%20fruits,BESTORE,1,$2.89,,Colorful Dried Fruits and Vegetables 50g,1,China,5
Dried Plum Slice 14g,https://www.yamibuy.com/en/p/i-factory-umeboshi-no-sheet-84g-6/1019048611?scene=item_search.result&bu_type=search&module_name=input&index=2&content=dried%20fruits,I FACTORY,229,$2.49,2 Options,Dried Plum Slice 14g,229,Japan,4.8
Freeze Dried Strawberry 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-strawberry-20g/1019034271?scene=item_search.result&bu_type=search&module_name=input&index=3&content=dried%20fruits,BIG GREEN,178,$1.99,5 Options,Freeze Dried Strawberry 20g,178,China,4.6
Freeze Dried Pear Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-pear-slices-20g/1019034301?scene=item_search.result&bu_type=search&module_name=input&index=4&content=dried%20fruits,BIG GREEN,58,,5 Options,Freeze Dried Pear Slices 20g,58,China,4.6
Freeze Dried Peach Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-peach-slices-20g/1019034291?scene=item_search.result&bu_type=search&module_name=input&index=5&content=dried%20fruits,BIG GREEN,63,,5 Options,Freeze Dried Peach Slices 20g,63,China,4.3
Freeze Dried Banana Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-banana-slices-20g/1019034281?scene=item_search.result&bu_type=search&module_name=input&index=6&content=dried%20fruits,BIG GREEN,41,,5 Options,Freeze Dried Banana Slices 20g,41,China,4.2
Yellow Peach Dried Fruits 98g,https://www.yamibuy.com/en/p/bestore-yellow-peach-dried-fruits-98g/3019054461?scene=item_search.result&bu_type=search&module_name=input&index=7&content=dried%20fruits,BESTORE,,$6.99,,Yellow Peach Dried Fruits 98g,Be the first!,China,
"Dried Bean Curd Sichuan Spicy Flavor, 2.12 oz",https://www.yamibuy.com/en/p/weilong-kiss-bean-curd-spiced-flavor-60g/1019007171?scene=item_search.result&bu_type=search&module_name=input&index=8&content=dried%20fruits,WEILONG,670,,2 Options,"Dried Bean Curd Sichuan Spicy Flavor, 2.12 oz",670,China,4.3
Fragrant Dried Olives 70g,https://www.yamibuy.com/en/p/fragrant-olices-70g/1019073681?scene=item_search.result&bu_type=search&module_name=input&index=9&content=dried%20fruits,yifen,,$2.19,,Fragrant Dried Olives 70g,Be the first!,China,
SWEETB Honey Dried Mango 105g,https://www.yamibuy.com/en/p/honey-mango-105g/1019056281?scene=item_search.result&bu_type=search&module_name=input&index=10&content=dried%20fruits,SIAM'S ROYAL,1,$5.39,,SWEETB Honey Dried Mango 105g,1,Thailand,5
Wugang Presrever Dried Tofu 280g,https://www.yamibuy.com/en/p/wugang-presrever-dried-tofu-280g/1019065271?scene=item_search.result&bu_type=search&module_name=input&index=11&content=dried%20fruits,FANGJIE,9,$2.99,,Wugang Presrever Dried Tofu 280g,9,China,4.6
HAN Dried Plum 160g,https://www.yamibuy.com/en/p/ten-wow-han-dried-plum-160g/1019026471?scene=item_search.result&bu_type=search&module_name=input&index=12&content=dried%20fruits,TEN WOW,,$4.89,,HAN Dried Plum 160g,Be the first!,China,
Freeze Dried Durian 30g,https://www.yamibuy.com/en/p/lyophilized-durian-30g/1019076151?scene=item_search.result&bu_type=search&module_name=input&index=13&content=dried%20fruits,THREE SQUIRRELS,,$3.89,,Freeze Dried Durian 30g,Be the first!,China,
Dried Mango 135g,https://www.yamibuy.com/en/p/mr-fang-s-store-dried-mango-135g/1019060231?scene=item_search.result&bu_type=search&module_name=input&index=14&content=dried%20fruits,MR FANG'S STORE,28,$7.39,,Dried Mango 135g,28,China,4.9
Dried Yellow Peach 106g,https://www.yamibuy.com/en/p/three-squirrels-dried-yellow-peach-106g/1019014591?scene=item_search.result&bu_type=search&module_name=input&index=15&content=dried%20fruits,THREE SQUIRRELS,4,,,Dried Yellow Peach 106g,4,China,3.8
Dried Pitted Preserved Plum Brown Sugar Flavored 36g,https://www.yamibuy.com/en/p/dried-pitted-preserved-plum-brown-sugar-flavored-36g/1019073331?scene=item_search.result&bu_type=search&module_name=input&index=16&content=dried%20fruits,HAPPYFULL,3,$3.99,,Dried Pitted Preserved Plum Brown Sugar Flavored 36g,3,China,4.7
Presreved Dried Tofu 150g,https://www.yamibuy.com/en/p/presreved-dried-tofu-150g/1019065251?scene=item_search.result&bu_type=search&module_name=input&index=17&content=dried%20fruits,FANGJIE,2,$2.29,,Presreved Dried Tofu 150g,2,China,5
All Natural Freeze Dried Durian 150g,https://www.yamibuy.com/en/p/all-natural-freeze-dried-durian-150g/1019061991?scene=item_search.result&bu_type=search&module_name=input&index=18&content=dried%20fruits,JHL,15,$13.99,,All Natural Freeze Dried Durian 150g,15,Thailand,4.9
Freeze Dried Durian 80g,https://www.yamibuy.com/en/p/freeze-dried-durian-80g/1019073381?scene=item_search.result&bu_type=search&module_name=input&index=19&content=dried%20fruits,SUNGIVEN FOODS,7,$15.99,7 Options,Freeze Dried Durian 80g,7,China,4.6
Dried Longan Meat 170g,https://www.yamibuy.com/en/p/tsh-dried-longan-meat-170g/1019005351?scene=item_search.result&bu_type=search&module_name=input&index=20&content=dried%20fruits,TSH,7,$8.89,,Dried Longan Meat 170g,7,United States,4.4
Dried Plum 280g,https://www.yamibuy.com/en/p/ume-plum-fragrant-sour-and-greasy-high-end-glass-bottle-280g/1019065091?scene=item_search.result&bu_type=search&module_name=input&index=21&content=dried%20fruits,MR FANG'S STORE,13,$12.99,,Dried Plum 280g,13,China,5
Dried Sweet Potato 150g,https://www.yamibuy.com/en/p/nonghyup-dried-sweet-potato-150g/1019033501?scene=item_search.result&bu_type=search&module_name=input&index=22&content=dried%20fruits,NONGHYUP,14,$8.99,,Dried Sweet Potato 150g,14,Korea,4.6
Freeze-Dried Mixed 150g,https://www.yamibuy.com/en/p/freeze-dried-mixed-150g/1019075051?scene=item_search.result&bu_type=search&module_name=input&index=23&content=dried%20fruits,SUNGIVEN FOODS,3,$15.99,7 Options,Freeze-Dried Mixed 150g,3,China,4.3
Dried Mangoes 100g,https://www.yamibuy.com/en/p/philippine-dried-mangoes-100g/1019003921?scene=item_search.result&bu_type=search&module_name=input&index=24&content=dried%20fruits,PHILIPPINE,50,$3.99,,Dried Mangoes 100g,50,Philippine,4.4
SWEETB Coco Milk Dried Mango 108g,https://www.yamibuy.com/en/p/coco-milk-mango-108g/1020041621?scene=item_search.result&bu_type=search&module_name=input&index=25&content=dried%20fruits,SIAM'S ROYAL,5,$5.39,,SWEETB Coco Milk Dried Mango 108g,5,Thailand,5
Dried Mango 108g,https://www.yamibuy.com/en/p/bestore-dried-mango-108g/1019058351?scene=item_search.result&bu_type=search&module_name=input&index=26&content=dried%20fruits,BESTORE,21,,,Dried Mango 108g,21,China,4.8
Dried Plum 190g,https://www.yamibuy.com/en/p/ten-wow-qiao-dried-plum-190g/1019026391?scene=item_search.result&bu_type=search&module_name=input&index=27&content=dried%20fruits,TEN WOW,10,$6.99,,Dried Plum 190g,10,China,4.8
TRAI Mixed Dried Vegetable and Fruit 250g,https://www.yamibuy.com/en/p/trai-mixed-dried-vegetable-and-fruit-250g/1019003821?scene=item_search.result&bu_type=search&module_name=input&index=28&content=dried%20fruits,VANPHAT,38,$3.59,,TRAI Mixed Dried Vegetable and Fruit 250g,38,Vietnam,4.2
Freeze-Dried Strawberry 130g,https://www.yamibuy.com/en/p/freeze-dried-strawberry-130g/1019075041?scene=item_search.result&bu_type=search&module_name=input&index=29&content=dried%20fruits,SUNGIVEN FOODS,,$15.99,7 Options,Freeze-Dried Strawberry 130g,Be the first!,China,
Irvine Dried Mango Without Cane Sugar 75g,https://www.yamibuy.com/en/p/irvine-dried-mango-without-cane-sugar-75g/1019075241?scene=item_search.result&bu_type=search&module_name=input&index=30&content=dried%20fruits,MWGP,,$8.19,,Irvine Dried Mango Without Cane Sugar 75g,Be the first!,Taiwan,
Dried Kumquat Lemon Flavor 170g,https://www.yamibuy.com/en/p/tsh-pres-lemon-flavor-kumquat-170g/1019005341?scene=item_search.result&bu_type=search&module_name=input&index=31&content=dried%20fruits,TSH,8,$6.29,,Dried Kumquat Lemon Flavor 170g,8,United States,4.1
Natural Dried Yujing Mango Slices 150g,https://www.yamibuy.com/en/p/natural-dried-yujing-mango-slices-150g/1019072191?scene=item_search.result&bu_type=search&module_name=input&index=32&content=dried%20fruits,SHUN TAI,,$12.49,5 Options,Natural Dried Yujing Mango Slices 150g,Be the first!,Japan,
Salted Dried Plum 190g,https://www.yamibuy.com/en/p/ten-wow-salted-dried-plum-190g/1019011781?scene=item_search.result&bu_type=search&module_name=input&index=33&content=dried%20fruits,TEN WOW,9,$5.89,,Salted Dried Plum 190g,9,China,4.8
Dried Pitted Preserved Plum Original Flavor 36g,https://www.yamibuy.com/en/p/dried-pitted-preserved-plum-original-flavor-36g/1019073321?scene=item_search.result&bu_type=search&module_name=input&index=34&content=dried%20fruits,HAPPYFULL,1,$3.99,,Dried Pitted Preserved Plum Original Flavor 36g,1,China,5
Dried Mango 116g,https://www.yamibuy.com/en/p/three-squirrels-dried-mango-116g/1019014611?scene=item_search.result&bu_type=search&module_name=input&index=35&content=dried%20fruits,THREE SQUIRRELS,3,$4.79,,Dried Mango 116g,3,China,4.7
Natural Dried Red Guava Slices 150g,https://www.yamibuy.com/en/p/natural-dried-red-guava-slices-150g/1019072211?scene=item_search.result&bu_type=search&module_name=input&index=36&content=dried%20fruits,SHUN TAI,1,$10.69,5 Options,Natural Dried Red Guava Slices 150g,1,Japan,5
Dried Strawberry 106g,https://www.yamibuy.com/en/p/three-squirrels-dried-strawberry-106g/1019014621?scene=item_search.result&bu_type=search&module_name=input&index=37&content=dried%20fruits,THREE SQUIRRELS,7,,,Dried Strawberry 106g,7,China,3.7
Freeze-Dried Yellow Peach 150g,https://www.yamibuy.com/en/p/freeze-dried-yellow-peach-150g/1019073421?scene=item_search.result&bu_type=search&module_name=input&index=38&content=dried%20fruits,SUNGIVEN FOODS,,$15.99,7 Options,Freeze-Dried Yellow Peach 150g,Be the first!,China,
Natural Dried Aiwen Mango Slices 150g,https://www.yamibuy.com/en/p/natural-dried-aiwen-mango-slices-150g/1019072201?scene=item_search.result&bu_type=search&module_name=input&index=39&content=dried%20fruits,SHUN TAI,,$12.49,5 Options,Natural Dried Aiwen Mango Slices 150g,Be the first!,Japan,
Freeze-Dried Pear 150g,https://www.yamibuy.com/en/p/frozen-spicy-pickledi-chicken-feet-75g/1149012551?scene=item_search.result&bu_type=search&module_name=input&index=40&content=dried%20fruits,SUNGIVEN FOODS,,$15.99,7 Options,Freeze-Dried Pear 150g,Be the first!,China,
Dried Coconut Chips 150g,https://www.yamibuy.com/en/p/item/5019073581?scene=item_search.result&bu_type=search&module_name=input&index=41&content=dried%20fruits,MushroomStorm,,,5 Options,Dried Coconut Chips 150g,Be the first!,China,
Japanese Dried Sweet Seedless Plum 45g - 100% Natural healthy snacks suitable for everyone seedless plum NON GMO Vegan,https://www.yamibuy.com/en/p/japanese-dried-sweet-seedless-plum-45g-100-natural-healthy-snacks-suitable-for-everyone-seedless-plum-non-gmo-vegan/5019072281?scene=item_search.result&bu_type=search&module_name=input&index=42&content=dried%20fruits,NestLady,3,,,Japanese Dried Sweet Seedless Plum 45g - 100% Natural healthy snacks suitable for everyone seedless plum NON GMO Vegan,3,United States,5
ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,https://www.yamibuy.com/en/p/roasted-sakura-shrimp-40g-100-natural-dried-shrimp-dried-seafood-snack-resealable-bag-non-gmo-ready-to-eat/5019076641?scene=item_search.result&bu_type=search&module_name=input&index=43&content=dried%20fruits,NestLady,2,,,ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,2,United States,3.5
Seedless Dried Plum Salty Flavor 200g,https://www.yamibuy.com/en/p/mushroomstorm-dried-plum-salty-flavor-200g/5019055031?scene=item_search.result&bu_type=search&module_name=input&index=44&content=dried%20fruits,MushroomStorm,90,,3 Options,Seedless Dried Plum Salty Flavor 200g,90,China,4.9
Original Dried Yellow Peach 160g,https://www.yamibuy.com/en/p/item/5019072361?scene=item_search.result&bu_type=search&module_name=input&index=45&content=dried%20fruits,MushroomStorm,2,,5 Options,Original Dried Yellow Peach 160g,2,China,5
Dried orange peel waxberry 200g,https://www.yamibuy.com/en/p/item/5019069601?scene=item_search.result&bu_type=search&module_name=input&index=46&content=dried%20fruits,MushroomStorm,4,,,Dried orange peel waxberry 200g,4,China,5
MARINATED DRIED TOFU CURD 75g - Vegetarian Snacks Ready to Eat  Braised Bean Curd Products No Preservatives,https://www.yamibuy.com/en/p/marinated-dried-tofu-curd-75g-vegetarian-snacks-ready-to-eat-braised-bean-curd-products-no-preservatives/5019071731?scene=item_search.result&bu_type=search&module_name=input&index=47&content=dried%20fruits,NestLady,9,,,MARINATED DRIED TOFU CURD 75g - Vegetarian Snacks Ready to Eat  Braised Bean Curd Products No Preservatives,9,United States,4.67
SLICE DRIED HAWTHORN FRUIT 75g - 100% Fruit Meat Sweet And Sour Delicious Snack Chinese Flavor Snacks,https://www.yamibuy.com/en/p/slice-dried-hawthorn-fruit-75g-100-fruit-meat-sweet-and-sour-delicious-snack-chinese-flavor-snacks/5019071741?scene=item_search.result&bu_type=search&module_name=input&index=48&content=dried%20fruits,NestLady,2,,,SLICE DRIED HAWTHORN FRUIT 75g - 100% Fruit Meat Sweet And Sour Delicious Snack Chinese Flavor Snacks,2,United States,4
,,,,,,,,,
SLICED DRY LEMON 65g - 100% Natural Sweet and sour Dried Fruit Dried Lemon Ready to eat Fruit snack Resealable bag,https://www.yamibuy.com/en/p/sliced-dry-lemon-65g-100-natural-sweet-and-sour-dried-fruit-dried-lemon-ready-to-eat-fruit-snack-resealable-bag/5019072241,NestLady,4,,,SLICED DRY LEMON 65g - 100% Natural Sweet and sour Dried Fruit Dried Lemon Ready to eat Fruit snack Resealable bag,4,United States,4.28
Banana Chips 227g/8oz - Dried Fruit Harvested in Philippines Packed in USA,https://www.yamibuy.com/en/p/banana-chips-227g-8oz-dried-fruit-harvested-in-philippines-packed-in-usa/5019069351,NestLady,1,,,Banana Chips 227g/8oz - Dried Fruit Harvested in Philippines Packed in USA,1,United States,5
Organic Dried Pineapple Rings 70g - Dried Fruit Harvested in Mexico Packed in USA,https://www.yamibuy.com/en/p/organic-dried-pineapple-rings-70g-dried-fruit-harvested-in-mexico-packed-in-usa/5019069371,NestLady,1,,,Organic Dried Pineapple Rings 70g - Dried Fruit Harvested in Mexico Packed in USA,1,United States,5
Dried Turkish Apricots 250g - Fruit Snack / 100% Nature,https://www.yamibuy.com/en/p/nestlady-dried-turkish-apricots-250g-fruit-snack-100-nature/5019066341,NestLady,5,$9.90,,Dried Turkish Apricots 250g - Fruit Snack / 100% Nature,5,United States,5
Dried Sweet Apricot Slices 250g,https://www.yamibuy.com/en/p/https-item-taobao-com-item-htm-spm-a1z10-3-c-s-w4002-15447501644-79-3bb469f78occay-id-597314466046-https-item-t/5019063871,NanShiZhao,8,,,Dried Sweet Apricot Slices 250g,8,China,5
Dried Peaches 250g - Fruit Snack / 100% Nature,https://www.yamibuy.com/en/p/nestlady-dried-peaches-250g-fruit-snack-100-nature/5019066331,NestLady,3,,,Dried Peaches 250g - Fruit Snack / 100% Nature,3,United States,5
Freeze-Dried Strawberries Fruit Snack 70g - Tasty and Crispy,https://www.yamibuy.com/en/p/nestlady-freeze-dried-strawberries-fruit-snack-70g-tasty-and-crispy/5019066401,NestLady,2,,,Freeze-Dried Strawberries Fruit Snack 70g - Tasty and Crispy,2,United States,5
Dried Cranberries|Non GMO Vegan|No Artificial Color or Flavor Kosher 130g,https://www.yamibuy.com/en/p/nestlady-dried-cranberries-non-gmo-vegan-no-artificial-color-or-flavor-kosher-130g/5019066281,NestLady,4,$16.99,,Dried Cranberries|Non GMO Vegan|No Artificial Color or Flavor Kosher 130g,4,United States,5
