Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,DetailPrice,OriginalPrice,Field1,Field2,Field3
Premium Dried Abalone - All Natural Gluten Free Wild Caught Gourmet Dried Seafood for Cooking -  100g,https://www.yamibuy.com/en/p/premium-dried-abalone-all-natural-gluten-free-wild-caught-gourmet-dried-seafood-for-cooking-100g/5030052961?scene=item_search.result&bu_type=search&module_name=input&index=1&content=dried%20seafood,https://cdn.yamibuy.net/item/889c9f64239e809cbeac690e468be720_684x684.webp,NestLady,10,,$35.90,$44.90,10,United States,4.6
ROASTED SHRIMP FLAVOR HIMEGO 50g- 100% Natural Dried fish Dried seafood snack Resealable bag NON GMO,https://www.yamibuy.com/en/p/roasted-shrimp-flavor-himego-50g-100-natural-dried-fish-dried-seafood-snack-resealable-bag-non-gmo/5030054381?scene=item_search.result&bu_type=search&module_name=input&index=2&content=dried%20seafood,https://cdn.yamibuy.net/item/733eafe987216f5ebdfd1d45a556717c_684x684.webp,NestLady,,,$16.99,$19.99,Be the first!,United States,
ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,https://www.yamibuy.com/en/p/roasted-sakura-shrimp-40g-100-natural-dried-shrimp-dried-seafood-snack-resealable-bag-non-gmo-ready-to-eat/5019076641?scene=item_search.result&bu_type=search&module_name=input&index=3&content=dried%20seafood,https://cdn.yamibuy.net/item/bd62bae8a4c0114340bbb237c847e2be_684x684.webp,NestLady,2,,$12.99,$16.99,2,United States,3.5
Demae Ramen Noodle with Soup Base XO Sauve Seafood Flavor 100g,https://www.yamibuy.com/en/p/nissin-demae-ramen-noodle-with-soup-base-xo-sauve-seafood-flavor-100g/1021002231?scene=item_search.result&bu_type=search&module_name=input&index=4&content=dried%20seafood,https://cdn.yamibuy.net/item/856d77a4af38282fe9e5d72b392bdaf2_684x684.webp,NISSIN,55,,$0.79,$1.29,55,Japan,4.7
Cup Noodles Instant Noodle Seafood Flavor 72g,https://www.yamibuy.com/en/p/nissin-cup-noodles-instant-noodle-seafood-flavor-75g/1021002151?scene=item_search.result&bu_type=search&module_name=input&index=5&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,221,$1.89,,,221,Japan,4.6
Cup Noodles Instant Noodle Spicy Seafood Flavor 72g,https://www.yamibuy.com/en/p/nissin-cup-noodles-instant-noodle-spicy-seafood-flavor-73g/1021002141?scene=item_search.result&bu_type=search&module_name=input&index=6&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,276,$1.89,,,276,Japan,4.7
Scallop seafood flavour thick strips 70g*5,https://www.yamibuy.com/en/p/shoutao-scallop-seafood-flavour-thick-strips-70g-5/1021076611?scene=item_search.result&bu_type=search&module_name=input&index=7&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SAUTAO,3,$4.99,,,3,Hong Kong,5
Seafood Curry Ramen 465g,https://www.yamibuy.com/en/p/seafood-curry-ramen-465g/1021088861?scene=item_search.result&bu_type=search&module_name=input&index=8&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHANBENZHIFEN,,$7.99,,,Be the first!,Japan,
"Captain Jiang Cooked Seafood Soup, Frozen 2 Jar / Box 560g",https://www.yamibuy.com/en/p/captain-jiang-cooked-seafood-soup-frozen-2-jar-box-560g/1147011821?scene=item_search.result&bu_type=search&module_name=input&index=9&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CAPTAIN JIANG,,$45.99,,,Be the first!,China,
Menraku Ramen Seafood Tonkotsu 82.8g,https://www.yamibuy.com/en/p/menraku-ramen-seafood-tonkotsu-82-8g/1021086231?scene=item_search.result&bu_type=search&module_name=input&index=10&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HIKARI,2,,$1.99,$2.29,2,Japan,5
Odongtong Spicy Seafood Udon 120g*4,https://www.yamibuy.com/en/p/ottogi-120g-4/1021087141?scene=item_search.result&bu_type=search&module_name=input&index=11&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTTOGI,1,$4.99,,,1,Korea,5
Big Cup Noodles Spicy Seafood Flavor 99g,https://www.yamibuy.com/en/p/nissin-big-cup-noodles-spicy-seafoof-flavor-99g/1021065991?scene=item_search.result&bu_type=search&module_name=input&index=12&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,16,$2.50,,,16,Japan,4.8
Rice Stick Seafood Flavor 75g,https://www.yamibuy.com/en/p/rice-stick-seafood-flavor-75g/1017043961?scene=item_search.result&bu_type=search&module_name=input&index=13&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KOIKEYA,1,$2.09,,,1,Japan,5
Furikake Seas Rst Seaweed Flakes Seafood 30g,https://www.yamibuy.com/en/p/furikake-seas-rst-seaweed-flakes-seafood-30g/1019070431?scene=item_search.result&bu_type=search&module_name=input&index=14&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,,$2.19,,,Be the first!,Japan,
Beijing Seafood Noodle 5Pcs,https://www.yamibuy.com/en/p/ottogi-beijing-seafood-noodle-5pcs/1021019131?scene=item_search.result&bu_type=search&module_name=input&index=15&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTTOGI,45,$4.99,,,45,Korea,4.6
Seasoned Soy Sauce For Seafood 410ml,https://www.yamibuy.com/en/p/lee-kum-kee-seasoned-soy-sauce-for-seafood-410ml/1021032871?scene=item_search.result&bu_type=search&module_name=input&index=16&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LEE KUM KEE,86,,$3.49,$3.79,86,Hong Kong,5
Seafood Noodle Soup 5packs,https://www.yamibuy.com/en/p/paldo-seafood-noodle-soup-5packs/1021002271?scene=item_search.result&bu_type=search&module_name=input&index=17&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,PALDO,38,$6.29,,,38,Korea,4.7
SPICY SEAFOOD SOUP 500g,https://www.yamibuy.com/en/p/spicy-seafood-soup-500g/1148017541?scene=item_search.result&bu_type=search&module_name=input&index=18&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,,$4.99,,,Be the first!,Korea,
Seafood Flavor Noodles,https://www.yamibuy.com/en/p/seafood-flavor-noodles/1021082551?scene=item_search.result&bu_type=search&module_name=input&index=19&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JINMAILANG,29,$4.99,,,29,China,4.7
Cup Noodles Instant Noodle Seafood Flavor 99g,https://www.yamibuy.com/en/p/nissin-cup-noodles-instant-noodle-seafood-flavor-99g/1021073691?scene=item_search.result&bu_type=search&module_name=input&index=20&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,13,$2.49,,,13,Japan,4.8
Nagasaki Agodashi Seafood 2 Servings 178g,https://www.yamibuy.com/en/p/kagosima-instant-noodle-178g/1021032381?scene=item_search.result&bu_type=search&module_name=input&index=21&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUTAI,36,,$3.99,$5.59,36,Japan,4.8
SPICY SEAFOOD RAMEN 70g,https://www.yamibuy.com/en/p/spicy-seafood-ramen/1021089121?scene=item_search.result&bu_type=search&module_name=input&index=22&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DREAM KITCHEN,,$1.99,,,Be the first!,Singapore,
Tasty Seafood Flavored Soy Sauce 500mL,https://www.yamibuy.com/en/p/haitian-tasty-seafood-flavored-soy-sauce-500ml/1148001851?scene=item_search.result&bu_type=search&module_name=input&index=23&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITIAN,46,,$3.49,$3.99,46,China,4.9
Seafood Scallop XO Sauce 250g,https://www.yamibuy.com/en/p/penghu-uncle-seafood-scallop-xo-sauce-170g/1148010151?scene=item_search.result&bu_type=search&module_name=input&index=24&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,PENGHU UNCLE,1,$19.29,,,1,China,5
【Frozen】Ramen Seafood 356g,https://www.yamibuy.com/en/p/myojo-356g-ramen-seafood-356g/1146144381?scene=item_search.result&bu_type=search&module_name=input&index=25&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MYOJO,,$4.99,,,Be the first!,Japan,
Menraku Seafood 195g,https://www.yamibuy.com/en/p/menraku-seafood-192g/1149010711?scene=item_search.result&bu_type=search&module_name=input&index=26&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HIKARI,2,$3.29,,,2,Japan,4
Demae Iccho Instant Noodle With Soup Base XO Sauce Seafood Flavor 133g,https://www.yamibuy.com/en/p/nissin-demae-iccho-instant-noodle-with-soup-base-xo-sauce-seafood-flavor-133g/1021006301?scene=item_search.result&bu_type=search&module_name=input&index=27&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,50,$2.39,,,50,Japan,4.5
【Frozen】Noodle Seafood Ton katsu Dipping 243g,https://www.yamibuy.com/en/p/noodle-seafood-tonkotsu-dipping-28-35g/1147010071?scene=item_search.result&bu_type=search&module_name=input&index=28&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SUN NOODLE,1,$4.79,,,1,Japan,5
Instant Noodle Seafood Flavor 520g,https://www.yamibuy.com/en/p/jinmailang-instant-noodle-seafood-flavor-520g/1021061201?scene=item_search.result&bu_type=search&module_name=input&index=29&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JINMAILANG,32,$4.99,,,32,China,4.6
NoodleZero 6 pack single - Seafood,https://www.yamibuy.com/en/p/noodlezero-6-pack-single-seafood/1021087701?scene=item_search.result&bu_type=search&module_name=input&index=30&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Noodle Zero,,$23.49,,,Be the first!,United States,
