Title,Title_link,brand-title,Price,comment-star__count,brand-variants,Headline,Field1,Field2,Field3,Field4
Egg Roll Gift Pack 600g,https://www.yamibuy.com/en/p/imei-egg-roll-gift-pack-600g/1017020141?scene=item_search.result&bu_type=search&module_name=input&index=1&content=egg%20roll,IMEI,$19.99,26,,Egg Roll Gift Pack 600g,Be the first!,Taiwan,Taiwan,4.7
Mini Egg Roll Sesame Flavor 114g,https://www.yamibuy.com/en/p/imei-mini-egg-roll-sesame-flavor-114g/1017019991?scene=item_search.result&bu_type=search&module_name=input&index=2&content=egg%20roll,IMEI,$3.69,2,2 Options,Mini Egg Roll Sesame Flavor 114g,2,Taiwan,Taiwan,4.5
Mini Egg Roll Original Flavor 114g,https://www.yamibuy.com/en/p/imei-mini-egg-roll-original-flavor-114g/1017019981?scene=item_search.result&bu_type=search&module_name=input&index=3&content=egg%20roll,IMEI,$3.69,1,2 Options,Mini Egg Roll Original Flavor 114g,1,Taiwan,Taiwan,4
Egg Roll Sesame Flavor  180g,https://www.yamibuy.com/en/p/imei-egg-roll-sesame-flavor-180g/1017020151?scene=item_search.result&bu_type=search&module_name=input&index=4&content=egg%20roll,IMEI,$4.59,11,2 Options,Egg Roll Sesame Flavor  180g,11,Taiwan,Taiwan,4.9
Egg Roll  Egg Yolk Flavor 178g,https://www.yamibuy.com/en/p/egg-roll-egg-yolk-flavor-178g/1017037701?scene=item_search.result&bu_type=search&module_name=input&index=5&content=egg%20roll,TOTASTE,$6.99,46,2 Options,Egg Roll  Egg Yolk Flavor 178g,46,China,Egg Yolk Flavor,4.8
CHIO HEONG YUEN Vegetarian Phoenix Egg Roll With Seaweed 150g,https://www.yamibuy.com/en/p/chio-heong-yuen-vegetarian-phoenix-egg-roll-with-seaweed-150g/1017005141?scene=item_search.result&bu_type=search&module_name=input&index=6&content=egg%20roll,Choi Heong Yuen Bakery,$8.99,106,,CHIO HEONG YUEN Vegetarian Phoenix Egg Roll With Seaweed 150g,106,Macao,Macao,4.7
Japanese Chocolate Egg Roll Limited Edition 7pc,https://www.yamibuy.com/en/p/japanese-chocolate-egg-roll-limited-edition-7pc/1017044711?scene=item_search.result&bu_type=search&module_name=input&index=7&content=egg%20roll,Yoku Moku,$19.99,2,,Japanese Chocolate Egg Roll Limited Edition 7pc,2,Japan,,5
BACKERY Egg Roll Bricelets Oeufs 315g,https://www.yamibuy.com/en/p/choi-heong-yuen-backery-egg-roll-bricelets-oeufs-315g/1017006061?scene=item_search.result&bu_type=search&module_name=input&index=8&content=egg%20roll,Choi Heong Yuen Bakery,$13.99,52,,BACKERY Egg Roll Bricelets Oeufs 315g,52,Macao,,4.8
Egg Roll Soy Milk Flavor 178g,https://www.yamibuy.com/en/p/egg-roll-soy-flavor-178g/1017037711?scene=item_search.result&bu_type=search&module_name=input&index=9&content=egg%20roll,TOTASTE,$6.99,26,2 Options,Egg Roll Soy Milk Flavor 178g,26,China,Soy Flavor,4.9
Mango Crispy Egg Roll 100g,https://www.yamibuy.com/en/p/mango-crispy-egg-roll-100g/1017045251?scene=item_search.result&bu_type=search&module_name=input&index=10&content=egg%20roll,KALUOKAMAN,$2.19,,,Mango Crispy Egg Roll 100g,Be the first!,China,,
