Title,Title_link,brand-title,brand-variants,Price,comment-star__count,price-valid,price-invalid,price-discount,Headline,DetailPrice,OriginalPrice,Field1,Field2,Field3
Low Calories Konjac Jelly Drink Peach Flavor 150ml,https://www.yamibuy.com/en/p/jelly-b-konjac-drink-peach-flavor-low-calories-drink-150ml/1026011761?scene=item_search.result&bu_type=search&module_name=input&index=1&content=jelly,Jelly.B,10 Options,,280,$1.10,$2.19,50% OFF,Low Calories Konjac Jelly Drink Peach Flavor 150ml,$1.10,$2.19,280,Korea,4.8
Low Calories Konjac Jelly Drink Lychee Flavor 150ml,https://www.yamibuy.com/en/p/jelly-b-konjac-drink-lychee-flavor-low-calories-drink-150ml/1026021291?scene=item_search.result&bu_type=search&module_name=input&index=2&content=jelly,Jelly.B,10 Options,,137,$1.69,$2.19,23% OFF,Low Calories Konjac Jelly Drink Lychee Flavor 150ml,$1.69,$2.19,137,Korea,4.7
Low Calories Konjac Jelly Drink Blueberry Flavor 150ml,https://www.yamibuy.com/en/p/jelly-b-konjac-drink-blueberry-flavor-low-calories-drink-150ml/1026020171?scene=item_search.result&bu_type=search&module_name=input&index=3&content=jelly,Jelly.B,10 Options,,75,$1.69,$2.19,23% OFF,Low Calories Konjac Jelly Drink Blueberry Flavor 150ml,$1.69,$2.19,75,Korea,4.7
Low Calories Konjac Jelly Drink Watermelon Flavor 150ml,https://www.yamibuy.com/en/p/jelly-b-konjac-drink-watermelon-flavor-low-calories-drink-150ml/1026016891?scene=item_search.result&bu_type=search&module_name=input&index=4&content=jelly,Jelly.B,10 Options,,120,$1.69,$2.19,23% OFF,Low Calories Konjac Jelly Drink Watermelon Flavor 150ml,$1.69,$2.19,120,Korea,4.3
Low Calories Konjac Jelly Drink Apple Flavor 150ml,https://www.yamibuy.com/en/p/jelly-b-konjac-drink-apple-flavor-low-calories-drink-150ml/1026011751?scene=item_search.result&bu_type=search&module_name=input&index=5&content=jelly,Jelly.B,10 Options,,124,$1.69,$2.19,23% OFF,Low Calories Konjac Jelly Drink Apple Flavor 150ml,$1.69,$2.19,124,Korea,4.8
"Low Calories Konjac Jelly Drink Jeju Mandarin Flavor, 150ml",https://www.yamibuy.com/en/p/low-calories-konjac-jelly-drink-jeju-mandarin-flavor-150ml/1026029991?scene=item_search.result&bu_type=search&module_name=input&index=6&content=jelly,Jelly.B,10 Options,,2,$1.69,$2.19,23% OFF,"Low Calories Konjac Jelly Drink Jeju Mandarin Flavor, 150ml",$1.69,$2.19,2,Korea,4.5
WAKASHOU Grape Flavor 204g,https://www.yamibuy.com/en/p/wakashou-chia-seed-ceramide-plus-muscat-204g/1018033851?scene=item_search.result&bu_type=search&module_name=input&index=7&content=jelly,CHIA SEED JELLY,4 Options,$5.29,8,,,,WAKASHOU Grape Flavor 204g,,,8,Japan,5
JINJIN Passion Fruit Flavor Jelly  480g,https://www.yamibuy.com/en/p/jinjin-passion-fruit-flavor-jelly-480g/1018018391?scene=item_search.result&bu_type=search&module_name=input&index=8&content=jelly,JINGJING,4 Options,$1.59,31,,,,JINJIN Passion Fruit Flavor Jelly  480g,,,31,Taiwan,4.4
Turtle Jelly Guilinggao Mangosteen Flavor 250g,https://www.yamibuy.com/en/p/coins-turtle-cream-silk-mangosteen-250g/1018031491?scene=item_search.result&bu_type=search&module_name=input&index=9&content=jelly,COINS,,$1.49,22,,,,Turtle Jelly Guilinggao Mangosteen Flavor 250g,,,22,China,4.8
Jelly Cup Mix Fruit Flavor 320g,https://www.yamibuy.com/en/p/jelly-cup-nt-mix-fruit-320g/1018043771?scene=item_search.result&bu_type=search&module_name=input&index=10&content=jelly,NEW TOWN,,$1.29,28,,,,Jelly Cup Mix Fruit Flavor 320g,,,28,Vietnam,4.8
