Title,Title_link,brand-title,Price,comment-star__count,Headline,Field1,Field2,Field3
Original Beef Jerky 170g,https://www.yamibuy.com/en/p/original-beef-jerky-170g/1019077851?scene=item_search.result&bu_type=search&module_name=input&index=1&content=jerky,HSINTUNGYANG,$12.99,1,Original Beef Jerky 170g,1,Taiwan,4
Spicy Flavor Beef Jerky 80g,https://www.yamibuy.com/en/p/spicy-flavor-beef-strips-80g/1019077441?scene=item_search.result&bu_type=search&module_name=input&index=2&content=jerky,Old Farm,$12.49,,Spicy Flavor Beef Jerky 80g,Be the first!,Taiwan,
CHINESE BRAND Hot Flavor Beef Jerky 42.52g,https://www.yamibuy.com/en/p/chinese-brand-hot-flavor-beef-jerky-42-52g/1019002441?scene=item_search.result&bu_type=search&module_name=input&index=3&content=jerky,CHINESEBRANDBEEFJERKY,$3.19,65,CHINESE BRAND Hot Flavor Beef Jerky 42.52g,65,United States,4
Mild Spicy Flavor Beef Jerky 80g,https://www.yamibuy.com/en/p/mild-spicy-flavor-beef-jerky-80g/1019077401?scene=item_search.result&bu_type=search&module_name=input&index=4&content=jerky,Old Farm,$12.49,,Mild Spicy Flavor Beef Jerky 80g,Be the first!,Taiwan,
Original Flavor Beef Jerky 80g,https://www.yamibuy.com/en/p/original-flavor-beef-jerky-80g/1019077391?scene=item_search.result&bu_type=search&module_name=input&index=5&content=jerky,Old Farm,$12.49,,Original Flavor Beef Jerky 80g,Be the first!,Taiwan,
King's Fruit Flavored Beef Jerky 227g,https://www.yamibuy.com/en/p/king-s-fruit-flavored-beef-jerky-8oz-bag/1019046501?scene=item_search.result&bu_type=search&module_name=input&index=6&content=jerky,KING’S,$21.99,3,King's Fruit Flavored Beef Jerky 227g,3,Taiwan,3.7
Black Pepper Flavor Beef Jerky 80g,https://www.yamibuy.com/en/p/black-pepper-flavor-beef-jerky-80g/1019077411?scene=item_search.result&bu_type=search&module_name=input&index=7&content=jerky,Old Farm,$12.49,,Black Pepper Flavor Beef Jerky 80g,Be the first!,Taiwan,
Extra Spicy Flavor Beef Jerky 80g,https://www.yamibuy.com/en/p/extra-spicy-flavor-beef-jerky-80g/1019077421?scene=item_search.result&bu_type=search&module_name=input&index=8&content=jerky,Old Farm,$12.49,,Extra Spicy Flavor Beef Jerky 80g,Be the first!,Taiwan,
Hot Fruit Flavored Beef Jerky 170g USDA Certified,https://www.yamibuy.com/en/p/hsintungyang-hot-fruit-flavored-beef-jerky-170g-usda-certified/1019019461?scene=item_search.result&bu_type=search&module_name=input&index=9&content=jerky,HSINTUNGYANG,$11.99,15,Hot Fruit Flavored Beef Jerky 170g USDA Certified,15,Taiwan,4.3
Garlic Flavor Beef Jerky 80g,https://www.yamibuy.com/en/p/garlic-flavor-beef-jerky-80g/1019077431?scene=item_search.result&bu_type=search&module_name=input&index=10&content=jerky,Old Farm,$12.49,,Garlic Flavor Beef Jerky 80g,Be the first!,Taiwan,
CHINESE BRAND Fruit Flavor Beef Jerky 42.52g,https://www.yamibuy.com/en/p/chinese-brand-fruit-flavor-beef-jerky-42-52g/1019002461?scene=item_search.result&bu_type=search&module_name=input&index=11&content=jerky,CHINESEBRANDBEEFJERKY,$3.99,32,CHINESE BRAND Fruit Flavor Beef Jerky 42.52g,32,United States,3.7
Sweet Flavored Beef Jerky 170g USDA Certified,https://www.yamibuy.com/en/p/hsintungyang-sweet-flavored-beef-jerky-170g-usda-certified/1019019521?scene=item_search.result&bu_type=search&module_name=input&index=12&content=jerky,HSINTUNGYANG,$11.99,12,Sweet Flavored Beef Jerky 170g USDA Certified,12,Taiwan,4.7
Dried Hot Beef Jerky 170g USDA Certified,https://www.yamibuy.com/en/p/hsintungyang-dried-hot-beef-jerky-170g-usda-certified/1019019531?scene=item_search.result&bu_type=search&module_name=input&index=13&content=jerky,HSINTUNGYANG,$11.99,10,Dried Hot Beef Jerky 170g USDA Certified,10,Taiwan,3.8
Jerky Fruit Mango  100% Organic 23g,https://www.yamibuy.com/en/p/jerky-fruit-mango-100-organic-23g/1019075441?scene=item_search.result&bu_type=search&module_name=input&index=14&content=jerky,SOLELY,$2.19,1,Jerky Fruit Mango  100% Organic 23g,1,United States,5
Jerky Fruit Pineapple w/Coconut  100% Organic 23g,https://www.yamibuy.com/en/p/jerky-fruit-pineapple-w-coconut-100-organic-23g/1019075461?scene=item_search.result&bu_type=search&module_name=input&index=15&content=jerky,SOLELY,,,Jerky Fruit Pineapple w/Coconut  100% Organic 23g,Be the first!,United States,
Jerky Fruit Banana w/Cacao  100% Organic 23g,https://www.yamibuy.com/en/p/jerky-fruit-banana-w-cacao-100-organic-23g/1019075471?scene=item_search.result&bu_type=search&module_name=input&index=16&content=jerky,SOLELY,$2.19,,Jerky Fruit Banana w/Cacao  100% Organic 23g,Be the first!,United States,
"Vegan Jerky Original Flavor Plant Based Protein,7.5 oz",https://www.yamibuy.com/en/p/vegan-jerky-black-pepper-flavor-plant-based-protein-vegetarian-food-7-05-oz/1019070771?scene=item_search.result&bu_type=search&module_name=input&index=17&content=jerky,LITTLE JASMINE,$13.99,2,"Vegan Jerky Original Flavor Plant Based Protein,7.5 oz",2,United States,5
Jerky Fruit Banana w/Pecan  100% Organic 23g,https://www.yamibuy.com/en/p/jerky-fruit-banana-w-pecan-100-organic-23g/1019075451?scene=item_search.result&bu_type=search&module_name=input&index=18&content=jerky,SOLELY,$2.19,,Jerky Fruit Banana w/Pecan  100% Organic 23g,Be the first!,United States,
Vegan Jerky Wasabi flavor 7.5oz,https://www.yamibuy.com/en/p/vegan-jerky-wasabi-flavor-7-5oz/1019070791?scene=item_search.result&bu_type=search&module_name=input&index=19&content=jerky,LITTLE JASMINE,$13.99,,Vegan Jerky Wasabi flavor 7.5oz,Be the first!,United States,
"Vegan Jerky Black Pepper Flavor Plant Based Protein,7.5oz",https://www.yamibuy.com/en/p/vegan-jerky-black-pepper-flavor-plant-based-protein-7-5oz/1019070781?scene=item_search.result&bu_type=search&module_name=input&index=20&content=jerky,LITTLE JASMINE,$13.99,,"Vegan Jerky Black Pepper Flavor Plant Based Protein,7.5oz",Be the first!,United States,
SPICY ROASTED VEGETARIAN JERKY 75g - Vegan,https://www.yamibuy.com/en/p/spicy-roasted-vegetarian-jerky-75g-vegan/5019073431?scene=item_search.result&bu_type=search&module_name=input&index=21&content=jerky,NestLady,,4,SPICY ROASTED VEGETARIAN JERKY 75g - Vegan,4,United States,4.5
PORK JERKY 75g- BBQ Flavor Pork Snacks Ready To Eat High Protein Dried Meet Chinese flavor Dried Pork,https://www.yamibuy.com/en/p/pork-jerky-75g-bbq-flavor-pork-snacks-ready-to-eat-high-protein-dried-meet-chinese-flavor-dried-pork/3019071681?scene=item_search.result&bu_type=search&module_name=input&index=22&content=jerky,NestLady,,4,PORK JERKY 75g- BBQ Flavor Pork Snacks Ready To Eat High Protein Dried Meet Chinese flavor Dried Pork,4,United States,4.8
A must-have three-piece combination pork jerky 2 packs + pork strips 1 pack 75g per pack produced in the USA,https://www.yamibuy.com/en/p/a-must-have-three-piece-combination-pork-jerky-2-packs-pork-strips-1-pack-75g-per-pack-produced-in-the-usa/3019075091?scene=item_search.result&bu_type=search&module_name=input&index=23&content=jerky,NestLady,,,A must-have three-piece combination pork jerky 2 packs + pork strips 1 pack 75g per pack produced in the USA,Be the first!,United States,
SPICY HOUSE SPECIAL BEEF JERKY 75g- Spicy House Special Flavor Beef Snacks Dried Meat Ready To Eat High Protein,https://www.yamibuy.com/en/p/spicy-house-special-beef-jerky-75g-spicy-house-special-flavor-beef-snacks-dried-meat-ready-to-eat-high-protein/3019071691?scene=item_search.result&bu_type=search&module_name=input&index=24&content=jerky,NestLady,,4,SPICY HOUSE SPECIAL BEEF JERKY 75g- Spicy House Special Flavor Beef Snacks Dried Meat Ready To Eat High Protein,4,United States,5
SPICY FRUIT FLAVORED BEEF JERKY 75g - Fruit Flavored Beef Snacks Dried Meat Ready To Eat High Protein Beef Snack,https://www.yamibuy.com/en/p/nestlady-fruit-flavored-beef-jerky-75g-fruit-flavored-beef-snacks-dried-meat-ready-to-eat-high-protein-beef-snack-usda/3019071911?scene=item_search.result&bu_type=search&module_name=input&index=25&content=jerky,NestLady,,2,SPICY FRUIT FLAVORED BEEF JERKY 75g - Fruit Flavored Beef Snacks Dried Meat Ready To Eat High Protein Beef Snack,2,United States,5
Spicy House Special Beef Jerky 7 Packs,https://www.yamibuy.com/en/p/spicy-house-special-beef-jerky-7-packs/3019073051?scene=item_search.result&bu_type=search&module_name=input&index=26&content=jerky,NestLady,,,Spicy House Special Beef Jerky 7 Packs,Be the first!,United States,
SPICY FRUIT FLAVORED BEEF JERKY 7 PACKS,https://www.yamibuy.com/en/p/spicy-fruit-flavored-beef-jerky-7-packs/3019073071?scene=item_search.result&bu_type=search&module_name=input&index=27&content=jerky,NestLady,,,SPICY FRUIT FLAVORED BEEF JERKY 7 PACKS,Be the first!,United States,
Jerky Combo - Five Spice Beef Jerky + Signature Beef Jerky + Charcoal Grilled Roast Pork Jerky,https://www.yamibuy.com/en/p/nestlady-jerky-combo-five-spice-beef-jerky-signature-beef-jerky-charcoal-grilled-roast-pork-jerky/3019072991?scene=item_search.result&bu_type=search&module_name=input&index=28&content=jerky,NestLady,,2,Jerky Combo - Five Spice Beef Jerky + Signature Beef Jerky + Charcoal Grilled Roast Pork Jerky,2,United States,4
Charcoal Grilled Pork Jerky 7 Packs,https://www.yamibuy.com/en/p/charcoal-grilled-pork-jerky-7-packs/3019073061?scene=item_search.result&bu_type=search&module_name=input&index=29&content=jerky,NestLady,,,Charcoal Grilled Pork Jerky 7 Packs,Be the first!,United States,
SPICY ROASTED VEGETARIAN JERKY 75g - Vegan,https://www.yamibuy.com/en/p/spicy-roasted-vegetarian-jerky-75g-vegan/3019073111?scene=item_search.result&bu_type=search&module_name=input&index=30&content=jerky,NestLady,,4,SPICY ROASTED VEGETARIAN JERKY 75g - Vegan,4,United States,4.5
Tender Duck Jerky Treats 8oz (Pack of 2),https://www.yamibuy.com/en/p/alpha-dog-series-tender-duck-jerky-treats-8oz-pack-of-2/3028017791?scene=item_search.result&bu_type=search&module_name=input&index=31&content=jerky,Alpha Dog Series,$22.99,,Tender Duck Jerky Treats 8oz (Pack of 2),Be the first!,Korea,
JAPAN Soy Beef Jerky 45g,https://www.yamibuy.com/en/p/japan-kabaya-soy-beef-jerky-45g/3019060791?scene=item_search.result&bu_type=search&module_name=input&index=32&content=jerky,KABAYA,,1,JAPAN Soy Beef Jerky 45g,1,Japan,5
FIVE SPICES BEEF JERKY 75g- Five Spices Flavor Beef Snacks Dried Meat Ready To Eat High Protein Beef Snack,https://www.yamibuy.com/en/p/five-spices-beef-jerky-75g-five-spices-flavor-beef-snacks-dried-meat-ready-to-eat-high-protein-beef-snack-made-with/3019071671?scene=item_search.result&bu_type=search&module_name=input&index=33&content=jerky,NestLady,,2,FIVE SPICES BEEF JERKY 75g- Five Spices Flavor Beef Snacks Dried Meat Ready To Eat High Protein Beef Snack,2,United States,5
Dried Tuna Jerky 180g,https://www.yamibuy.com/en/p/tuna-dried-180g/3019069391?scene=item_search.result&bu_type=search&module_name=input&index=34&content=jerky,LIEN HAW FOODS,,,Dried Tuna Jerky 180g,Be the first!,Taiwan,
Tender Duck Jerky Treats 8oz (Pack of 5),https://www.yamibuy.com/en/p/alpha-dog-series-tender-duck-jerky-treats-8oz-pack-of-5/3028017801?scene=item_search.result&bu_type=search&module_name=input&index=35&content=jerky,Alpha Dog Series,$49.99,,Tender Duck Jerky Treats 8oz (Pack of 5),Be the first!,Korea,
Five Spiced Beef Jerky 7 Packs,https://www.yamibuy.com/en/p/five-spiced-beef-jerky-7-packs/3019073021?scene=item_search.result&bu_type=search&module_name=input&index=36&content=jerky,NestLady,,,Five Spiced Beef Jerky 7 Packs,Be the first!,United States,
Tender Duck Jerky Treats 8oz (Pack of 1),https://www.yamibuy.com/en/p/alpha-dog-series-tender-duck-jerky-treats-8oz-pack-of-1/3028017781?scene=item_search.result&bu_type=search&module_name=input&index=37&content=jerky,Alpha Dog Series,$15.00,,Tender Duck Jerky Treats 8oz (Pack of 1),Be the first!,Korea,
Vital Dried Pork Jerky Sweet Flavor 170g,https://www.yamibuy.com/en/p/vital-dried-pork-jerky-sweet-flavor-6oz/1019043981?scene=item_search.result&bu_type=search&module_name=input&index=38&content=jerky,VITAL BRAND,$16.99,13,Vital Dried Pork Jerky Sweet Flavor 170g,13,United States,4.4
Vital Dried Pork Jerky Spicy Flavor 170g,https://www.yamibuy.com/en/p/vital-dried-pork-jerky-spicy-flavor-6oz/1019043971?scene=item_search.result&bu_type=search&module_name=input&index=39&content=jerky,VITAL BRAND,$16.99,10,Vital Dried Pork Jerky Spicy Flavor 170g,10,United States,3.6
Vital Dried Beef Jerky Regular Flavor 170g,https://www.yamibuy.com/en/p/vital-dried-beef-jerky-regular-flavor-6oz/1019044001?scene=item_search.result&bu_type=search&module_name=input&index=40&content=jerky,VITAL BRAND,$16.99,8,Vital Dried Beef Jerky Regular Flavor 170g,8,United States,4.9
Vital Dried Beef Jerky Spicy Flavor 170g,https://www.yamibuy.com/en/p/vital-dried-beef-jerky-spicy-flavor-6oz/1019043991?scene=item_search.result&bu_type=search&module_name=input&index=41&content=jerky,VITAL BRAND,$16.99,10,Vital Dried Beef Jerky Spicy Flavor 170g,10,United States,4.7
Vital Dried Beef Jerky Fruit Flavor 170g,https://www.yamibuy.com/en/p/vital-dried-beef-jerky-fruit-flavor-6oz/1019044011?scene=item_search.result&bu_type=search&module_name=input&index=42&content=jerky,VITAL BRAND,$16.99,3,Vital Dried Beef Jerky Fruit Flavor 170g,3,United States,5
Spicy Beef Jerky Chili Oil Flavor 100g,https://www.yamibuy.com/en/p/chili-oil-spicy-beef-jerky-100g/1019064751?scene=item_search.result&bu_type=search&module_name=input&index=43&content=jerky,YUMEI,$5.99,209,Spicy Beef Jerky Chili Oil Flavor 100g,209,China,4.7
CHINESE BRAND Hot Fruit Flavor Beef Jerky 43g,https://www.yamibuy.com/en/p/chinese-brand-hot-fruit-flavor-beef-jerky-43g/1019002451?scene=item_search.result&bu_type=search&module_name=input&index=44&content=jerky,CHINESEBRANDBEEFJERKY,$3.19,19,CHINESE BRAND Hot Fruit Flavor Beef Jerky 43g,19,United States,4.2
Spicy Beef Jerky 226g,https://www.yamibuy.com/en/p/king-s-spicy-beef-jerky-227g/1019046461?scene=item_search.result&bu_type=search&module_name=input&index=45&content=jerky,KING’S,$17.99,9,Spicy Beef Jerky 226g,9,Taiwan,5
Hot Fruit Flavored Beef Jerky 340g USDA Certified,https://www.yamibuy.com/en/p/hsintungyang-hot-fruit-flavored-beef-jerky-340g-usda-certified/1019049581?scene=item_search.result&bu_type=search&module_name=input&index=46&content=jerky,HSINTUNGYANG,$19.99,1,Hot Fruit Flavored Beef Jerky 340g USDA Certified,1,Taiwan,5
CHINESE BRAND Five Spice Flavor Beef Jerky 43g,https://www.yamibuy.com/en/p/chinese-brand-five-spice-flavor-beef-jerky-43g/1019002421?scene=item_search.result&bu_type=search&module_name=input&index=47&content=jerky,CHINESEBRANDBEEFJERKY,$3.19,63,CHINESE BRAND Five Spice Flavor Beef Jerky 43g,63,United States,3.5
Dried Beef Jerky 170g USDA Certified,https://www.yamibuy.com/en/p/hsintungyang-dried-beef-jerky-170g-usda-certified/1019019511?scene=item_search.result&bu_type=search&module_name=input&index=48&content=jerky,HSINTUNGYANG,$11.99,10,Dried Beef Jerky 170g USDA Certified,10,Taiwan,4.8
,,,,,,,,
