Title,Title_link,brand-title,comment-star__count,Price,brand-variants,DetailPrice,OriginalPrice,Field1,Field2,Field3,Field4
Pumpkin + Manuka Honey Juice Squeeze 7 Packets x 30ml,https://www.yamibuy.com/en/p/pumpkin-manuka-honey-juice-squeeze-7-packets-x-30ml/1026028591?scene=item_search.result&bu_type=search&module_name=input&index=1&content=juice,Bio-E,33,,,$19.99,$25.99,33,Australia,Australia,4.8
Multi-Functional Automatic and Self Cleaning Soy Milk Maker Food Steamer Coffee Maker Juice Maker Sterilizer DJ12M-K9S,https://www.yamibuy.com/en/p/multi-functional-automatic-and-self-cleaning-soy-milk-maker-food-steamer-coffee-maker-juice-maker-sterilizer-dj12m-k9s/1029047951?scene=item_search.result&bu_type=search&module_name=input&index=2&content=juice,JOYOUNG,8,,2 Options,$499.99,$799.00,8,,China,4.9
Full Score Micro Bubble Juice Wanglin Green Apple 380ml,https://www.yamibuy.com/en/p/full-score-micro-bubble-juice-wanglin-green-apple-380ml/1020054301?scene=item_search.result&bu_type=search&module_name=input&index=3&content=juice,Genki Forest,8,,2 Options,$1.80,$3.59,8,,China,4.8
VITA Lychee Juice 250ml,https://www.yamibuy.com/en/p/vita-lychee-juice-250ml/1020004911?scene=item_search.result&bu_type=search&module_name=input&index=4&content=juice,VITASOY,102,$0.79,7 Options,,,102,Hong Kong,Hong Kong,4.7
Sparkling Yuzu Juice 250ml,https://www.yamibuy.com/en/p/kimino-sparkling-yuzu-juice/1020044021?scene=item_search.result&bu_type=search&module_name=input&index=5&content=juice,KIMINO,40,$3.49,4 Options,,,40,,Japan,4.5
Pulp Coconut Juice Vegetable Protein Drink 360ml,https://www.yamibuy.com/en/p/pulp-coconut-juice-vegetable-protein-drink-360ml/1020064731?scene=item_search.result&bu_type=search&module_name=input&index=6&content=juice,YETAI,,$3.29,,,,Be the first!,,China,
Star Fruit Juice 580ml,https://www.yamibuy.com/en/p/star-fruit-juice-580ml/1020064911?scene=item_search.result&bu_type=search&module_name=input&index=7&content=juice,HeiMienTsai,,$2.89,,,,Be the first!,,Taiwan,
VITA Blackcurrant Juice 250ml,https://www.yamibuy.com/en/p/vita-blackcurrant-juice-250ml/1020004921?scene=item_search.result&bu_type=search&module_name=input&index=8&content=juice,VITASOY,79,$0.79,7 Options,,,79,Hong Kong,Hong Kong,4.7
VITA Sugarcane Juice Drink 250ml,https://www.yamibuy.com/en/p/vita-sugarcane-juice-drink-250ml/1020002831?scene=item_search.result&bu_type=search&module_name=input&index=9&content=juice,VITASOY,79,$0.79,7 Options,,,79,Hong Kong,Hong Kong,3.6
VITA Guava Juice Drink 250ml,https://www.yamibuy.com/en/p/vita-guava-juice-drink-250ml/1020006401?scene=item_search.result&bu_type=search&module_name=input&index=10&content=juice,VITASOY,116,$0.79,7 Options,,,Be the first!,Hong Kong,Hong Kong,4.5
VITA Mango Juice 250ml,https://www.yamibuy.com/en/p/vita-mango-juice-250ml/1020004901?scene=item_search.result&bu_type=search&module_name=input&index=11&content=juice,VITASOY,94,$0.79,7 Options,,,94,Hong Kong,Hong Kong,4.4
Coconut Juice W/Pulp 500ml,https://www.yamibuy.com/en/p/coconut-juice-w-pulp-500ml/1020064801?scene=item_search.result&bu_type=search&module_name=input&index=12&content=juice,TAS,,$1.79,,,,Be the first!,,China,
Konjaku Juice Jelly-Strawbrry Flavor 110g,https://www.yamibuy.com/en/p/konjaku-juice-jelly-strawbrry-flavor-110g/1018049161?scene=item_search.result&bu_type=search&module_name=input&index=13&content=juice,WHIKO,,$2.99,,,,Be the first!,,China,
Pear Juice with Pulp 240ml,https://www.yamibuy.com/en/p/nonghyup-pear-juice-with-pulp-240ml/1020004991?scene=item_search.result&bu_type=search&module_name=input&index=14&content=juice,NONGHYUP,31,,3 Options,$0.82,$0.99,31,Korea,Korea,4.3
