Title,Title_link,Thumbnail,brand-title,brand-variants,comment-star__count,Price,Headline,Field1,Field2,Field3,Field4
Mochi with Taro Filling 180g,https://www.yamibuy.com/en/p/formosa-yay-mochi-with-taro-filling-180g/1016005621?scene=item_search.result&bu_type=search&module_name=input&index=1&content=mochi,https://cdn.yamibuy.net/item/e5feec9f28f686f7f53695a1e67deec9_684x684.webp,FORMOSA YAY,5 Options,126,$1.99,Mochi with Taro Filling 180g,128,Taiwan,Taiwan,4.4
Mochi Mango Flavor 216g,https://www.yamibuy.com/en/p/royal-family-mochi-mango-flavor-216g/1016023821?scene=item_search.result&bu_type=search&module_name=input&index=2&content=mochi,https://cdn.yamibuy.net/item/b2257590293642a5627042efbd9ef582_684x684.webp,ROYAL FAMILY,3 Options,82,,Mochi Mango Flavor 216g,82,Taiwan,Taiwan,4.2
Mochi with Red Bean Filling 180g,https://www.yamibuy.com/en/p/formosa-yay-mochi-with-red-bean-filling-180g/1016005631?scene=item_search.result&bu_type=search&module_name=input&index=3&content=mochi,https://cdn.yamibuy.net/item/dc807b68114d9cc8a7edf0d4de2d205b_684x684.webp,FORMOSA YAY,5 Options,121,$1.99,Mochi with Red Bean Filling 180g,122,Taiwan,Taiwan,4.3
Mochi Strawberry Flavor 216g,https://www.yamibuy.com/en/p/royal-family-mochi-strawberry-flavor-216g/1016023841?scene=item_search.result&bu_type=search&module_name=input&index=4&content=mochi,https://cdn.yamibuy.net/item/39361429949af40a93cc0b7d9cc076e2_684x684.webp,ROYAL FAMILY,3 Options,73,$2.99,Mochi Strawberry Flavor 216g,74,Taiwan,Taiwan,3.7
YUKI/LOVE Japan Mochi Red Bean 210g,https://www.yamibuy.com/en/p/yuki-love-japan-mochi-red-bean-210g/1016004811?scene=item_search.result&bu_type=search&module_name=input&index=5&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,6 Options,45,$2.29,YUKI/LOVE Japan Mochi Red Bean 210g,45,Taiwan,Taiwan,4.1
Mochi Cantaloupe Flavor 216g,https://www.yamibuy.com/en/p/royal-family-mochi-cantaloupe-flavor-216g/1016023831?scene=item_search.result&bu_type=search&module_name=input&index=6&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,3 Options,38,$2.99,Mochi Cantaloupe Flavor 216g,39,Taiwan,Taiwan,4
SHIRAKIKU Rice Cake Red & White Daifuku Mochi With Red Bean Paste Filling 8Pc,https://www.yamibuy.com/en/p/shirakiku-rice-cake-red-white-daifuku-mochi-with-red-bean-paste-filling-8pc/1016005231?scene=item_search.result&bu_type=search&module_name=input&index=7&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,,6,$3.99,SHIRAKIKU Rice Cake Red & White Daifuku Mochi With Red Bean Paste Filling 8Pc,6,Japan,,4.5
Mochi With Red Bean Paste 284g 8pcs,https://www.yamibuy.com/en/p/kyoshin-mochi-rice-cakes-with-bean-jam-white-284g-8-pcs/1016089211?scene=item_search.result&bu_type=search&module_name=input&index=8&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KYOSHIN,,4,$4.49,Mochi With Red Bean Paste 284g 8pcs,4,Japan,,4.2
SHIRAKIKU Rice Cake Azuki Daifuku Mochi With Red Bean Paste Filling 8Pc,https://www.yamibuy.com/en/p/shirakiku-rice-cake-azuki-daifuku-mochi-with-red-bean-paste-filling-8pc/1016005211?scene=item_search.result&bu_type=search&module_name=input&index=9&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,,10,$3.99,SHIRAKIKU Rice Cake Azuki Daifuku Mochi With Red Bean Paste Filling 8Pc,10,Japan,,4.5
SHIRAKIKU Rice Cake Green Daifuku Mochi With Red Bean Paste Filling 8Pc,https://www.yamibuy.com/en/p/shirakiku-rice-cake-green-daifuku-mochi-with-red-bean-paste-filling-8pc/1016005221?scene=item_search.result&bu_type=search&module_name=input&index=10&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,,2,$3.99,SHIRAKIKU Rice Cake Green Daifuku Mochi With Red Bean Paste Filling 8Pc,3,Japan,,3.7
YUKI/LOVE Japan Mochi Taro 210g,https://www.yamibuy.com/en/p/yuki-love-japan-mochi-taro-210g/1016004831?scene=item_search.result&bu_type=search&module_name=input&index=11&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,6 Options,23,$2.29,YUKI/LOVE Japan Mochi Taro 210g,23,Taiwan,Taiwan,4
Daifuku Mochi - Blueberry 210g,https://www.yamibuy.com/en/p/royal-family-daifuku-mochi-blueberry-119g/1016059641?scene=item_search.result&bu_type=search&module_name=input&index=12&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,$2.79,Daifuku Mochi - Blueberry 210g,18,Taiwan,,3.8
Sweets Daifuku Red Bean Flavor 120g,https://www.yamibuy.com/en/p/sweets-faifuku-red-bean/1016063821?scene=item_search.result&bu_type=search&module_name=input&index=13&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,3 Options,,$2.29,Sweets Daifuku Red Bean Flavor 120g,8,Taiwan,Red Bean Flavor,4.6
Sweets Daifuku Strawberry 120g,https://www.yamibuy.com/en/p/sweets-daifuku-strawberry/1016063831?scene=item_search.result&bu_type=search&module_name=input&index=14&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,3 Options,,$2.29,Sweets Daifuku Strawberry 120g,8,Taiwan,Strawberry Flavor,4.2
Caco Mochi Milk 80g,https://www.yamibuy.com/en/p/royal-family-caco-mochi-milk-79g/1016059701?scene=item_search.result&bu_type=search&module_name=input&index=15&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,6 Options,,,Caco Mochi Milk 80g,101,Taiwan,Milk Flavor,4.6
Caco Mochi Banana 80g,https://www.yamibuy.com/en/p/royal-family-caco-mochi-banana-79g/1016059731?scene=item_search.result&bu_type=search&module_name=input&index=16&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,6 Options,,,Caco Mochi Banana 80g,30,Taiwan,,4.4
Caco Mochi Matcha 80g,https://www.yamibuy.com/en/p/royal-family-caco-mochi-matcha-79g/1016059741?scene=item_search.result&bu_type=search&module_name=input&index=17&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,6 Options,,,Caco Mochi Matcha 80g,25,Taiwan,Matcha Flavor,4.2
Fruit Mochi 240g,https://www.yamibuy.com/en/p/formosa-yay-fruit-mochi-240g/1016005641?scene=item_search.result&bu_type=search&module_name=input&index=18&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORMOSA YAY,5 Options,43,,Fruit Mochi 240g,43,Taiwan,Taiwan,3.7
YUKI/LOVE Japan Mochi Green Tea 210g,https://www.yamibuy.com/en/p/yuki-love-japan-mochi-green-tea-210g/1016004821?scene=item_search.result&bu_type=search&module_name=input&index=19&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,6 Options,90,$2.29,YUKI/LOVE Japan Mochi Green Tea 210g,90,210g,,4.3
YUKI/LOVE Japan Mochi Strawberry 300g,https://www.yamibuy.com/en/p/yuki-love-japan-mochi-strawberry-300g/1016005151?scene=item_search.result&bu_type=search&module_name=input&index=20&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,6 Options,6,,YUKI/LOVE Japan Mochi Strawberry 300g,6,Taiwan,,3.3
Matcha Japanese Mochi 210g,https://www.yamibuy.com/en/p/royal-family-matcha-japanese-mochi-210g/1016004481?scene=item_search.result&bu_type=search&module_name=input&index=21&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,17,$2.29,Matcha Japanese Mochi 210g,17,Taiwan,Taiwan,3.9
