Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
GreeNoodle Plain 100g,https://www.yamibuy.com/en/p/greenoodle-plain-100g/1021003891?scene=item_search.result&bu_type=search&module_name=input&index=1&content=noodle,https://cdn.yamibuy.net/item/5fa1d1d06b23f53b0bc7cecea853d90e_684x684.webp,GREE NOODLE,41,$1.99,,,,GreeNoodle Plain 100g,Be the first!,Japan,Japan,4.6
Tom Yum Flavor Noodle 46Cal 380g,https://www.yamibuy.com/en/p/noodle-zero-tom-yum-flavor-noodle-380g/1021067361?scene=item_search.result&bu_type=search&module_name=input&index=2&content=noodle,https://cdn.yamibuy.net/item/59221ff58785e8a398694af588f8a0ec_684x684.webp,Noodle Zero,,,$3.99,$5.99,34% OFF,Tom Yum Flavor Noodle 46Cal 380g,60,United States,United States,3.6
Medium Cut Ramen Noodles 600g,https://www.yamibuy.com/en/p/medium-cut-ramen-noodles-600g/1149013751?scene=item_search.result&bu_type=search&module_name=input&index=3&content=noodle,https://cdn.yamibuy.net/item/64024547777f75b95c202c8e7f88b608_684x684.webp,NOODLE SOUL,1,$3.99,,,,Medium Cut Ramen Noodles 600g,1,,Vietnam,5
Knife Cut Noodles 600g,https://www.yamibuy.com/en/p/knife-cut-noodles-600g/1149013741?scene=item_search.result&bu_type=search&module_name=input&index=4&content=noodle,https://cdn.yamibuy.net/item/1a9c4504afd75ed0e08a80a59f171eab_684x684.webp,NOODLE SOUL,,$3.99,,,,Knife Cut Noodles 600g,Be the first!,,Vietnam,
Thin Cut Ramen Noodles 600g,https://www.yamibuy.com/en/p/thin-cut-ramen-noodles-600g/1149013761?scene=item_search.result&bu_type=search&module_name=input&index=5&content=noodle,https://cdn.yamibuy.net/item/80e6d4f7d4081e8b9c8869f7c46ae308_684x684.webp,NOODLE SOUL,,$3.99,,,,Thin Cut Ramen Noodles 600g,Be the first!,,Vietnam,
Instant Ramen Chicken Flavor 16 Pack,https://www.yamibuy.com/en/p/instant-ramen-chicken-flavor-16-pack/1021082411?scene=item_search.result&bu_type=search&module_name=input&index=6&content=noodle,https://cdn.yamibuy.net/item/48135a913aa430e5d0aca2f3535fa96b_684x684.webp,TOKYO NOODLE,13,$6.99,,,,Instant Ramen Chicken Flavor 16 Pack,13,,Japan,4.4
Cassrole Potato Noodle 327g,https://www.yamibuy.com/en/p/tianxiaohua-cassrole-potato-noodle-327g/1021083701?scene=item_search.result&bu_type=search&module_name=input&index=7&content=noodle,https://cdn.yamibuy.net/item/95426bad08a9f5bbaa1a14d03d0f42c3_684x684.webp,TianXiaoHua,252,$3.49,,,,Cassrole Potato Noodle 327g,252,,China,4.7
"Guangxi Specialty Snail Rice Noodle, 280g",https://www.yamibuy.com/en/p/liuzhou-guangxi-specialty-luosifen-pickle-flavor-noodles-280g-no-quail-egg-random-version/1021006541?scene=item_search.result&bu_type=search&module_name=input&index=8&content=noodle,https://cdn.yamibuy.net/item/0a4e652f89be0cf4707b48b54e5884cd_684x684.webp,LUOBAWANG,2077,$3.69,,,,"Guangxi Specialty Snail Rice Noodle, 280g",2082,1 PC,China,4.81
Snail Rice Noodles 300g River Snail Noodle 300g Gold Award in the Conch Noodles 300g,https://www.yamibuy.com/en/p/haohuanluo-instant-spicy-rice-noodle-300g/1021023071?scene=item_search.result&bu_type=search&module_name=input&index=9&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAOHUANLUO,1484,,$4.29,$4.99,15% OFF,Snail Rice Noodles 300g River Snail Noodle 300g Gold Award in the Conch Noodles 300g,1486,,China,4.7
Snail Rice Noodle Tomato Flavor 306g,https://www.yamibuy.com/en/p/luobawang-luo-si-rice-noodles-tomato-flavored/1021037421?scene=item_search.result&bu_type=search&module_name=input&index=10&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LUOBAWANG,1091,,$3.69,$3.99,8% OFF,Snail Rice Noodle Tomato Flavor 306g,1093,,China,4.7
