Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
Billionaire Chinese Gourmet Sweet Pastries 20pcs Gift Set,https://www.yamibuy.com/en/p/billionaire-chinese-gourmet-sweet-pastries-20pcs-gift-set/1016077081?scene=item_search.result&bu_type=search&module_name=input&index=1&content=pastries,https://cdn.yamibuy.net/item/de0dd61f4b8a443c188edf9177dff5a5_684x684.webp,CHEN YUN PAO CHUAN,,,6 Options,$27.99,$39.99,31% OFF,Billionaire Chinese Gourmet Sweet Pastries 20pcs Gift Set,4.8,Taiwan,CHEN YUN PAO CHUAN,14
CHIO HEONG YUEN Abalone Pastries 180g,https://www.yamibuy.com/en/p/chio-heong-yuen-abalone-pastries-240g/1016001091?scene=item_search.result&bu_type=search&module_name=input&index=2&content=pastries,https://cdn.yamibuy.net/item/940e22393f65f328396f12a8f297702c_684x684.webp,Choi Heong Yuen Bakery,32,$6.29,5 Options,,,,CHIO HEONG YUEN Abalone Pastries 180g,4.1,Macao,Choi Heong Yuen Bakery,34
Billiionaire Top Four Chinese Pastries 8pcs,https://www.yamibuy.com/en/p/billiionaire-top-four-chinese-pastries-8pcs/1016077091?scene=item_search.result&bu_type=search&module_name=input&index=3&content=pastries,https://cdn.yamibuy.net/item/9e0580b3366fac80ca6fefce167a0c20_684x684.webp,CHEN YUN PAO CHUAN,,,6 Options,$20.29,$28.99,31% OFF,Billiionaire Top Four Chinese Pastries 8pcs,4.5,Taiwan,CHEN YUN PAO CHUAN,4
Sweet Scented Osmanthus Cake Pastries And Snacks 4 Piece,https://www.yamibuy.com/en/p/wufangzhai-sweet-scented-osmanthus-cake-pastries-and-snacks-4-piece/3016079491?scene=item_search.result&bu_type=search&module_name=input&index=4&content=pastries,https://cdn.yamibuy.net/item/80955ce27a4bd39c6cea425b7b7c5856_684x684.webp,wufangzhai,,$6.49,,,,,Sweet Scented Osmanthus Cake Pastries And Snacks 4 Piece,,China,wufangzhai,Be the first!
"Classic Beijing Wheat Flour Cake, 360g",https://www.yamibuy.com/en/p/daoxiangcun-beijing-wheat-flour-cake-360g/1016030741?scene=item_search.result&bu_type=search&module_name=input&index=5&content=pastries,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,778,,,$5.79,$5.99,4% OFF,"Classic Beijing Wheat Flour Cake, 360g",4.4,China,Dao Xiang Cun,782
Pocky Almond Chocolate Biscuit Sticks 41g,https://www.yamibuy.com/en/p/glico-almond-chocolate-pocky-stick-2packs-41g/1016005911?scene=item_search.result&bu_type=search&module_name=input&index=6&content=pastries,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,288,$2.19,,,,,Pocky Almond Chocolate Biscuit Sticks 41g,4.9,Japan,GLICO,290
Koala Chocolate Cream Filling Biscuit 41g,https://www.yamibuy.com/en/p/lotte-koala-chocolate-cream-filling-biscuit-41g/1016005891?scene=item_search.result&bu_type=search&module_name=input&index=7&content=pastries,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOTTE Japan,136,$1.19,2 Options,,,,Koala Chocolate Cream Filling Biscuit 41g,4.8,Japan,LOTTE,142
Beijing Wheat Flour Cake 210g,https://www.yamibuy.com/en/p/daoxiangcun-beijing-wheat-flour-cake-210g/1016030811?scene=item_search.result&bu_type=search&module_name=input&index=8&content=pastries,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,180,$5.99,,,,,Beijing Wheat Flour Cake 210g,4.7,China,Dao Xiang Cun,182
Salty Yolk Cookies 230g,https://www.yamibuy.com/en/p/tk-food-salty-yolk-cookies-230g/1016003901?scene=item_search.result&bu_type=search&module_name=input&index=9&content=pastries,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,1195,$6.89,10 Options,,,,Salty Yolk Cookies 230g,4.8,Taiwan,TKFOOD,1196
Hello Kitty Cookie Box 11.50 OZ,https://www.yamibuy.com/en/p/bbn-hello-kitty-cookies-tin-11-50-oz/1016093531?scene=item_search.result&bu_type=search&module_name=input&index=10&content=pastries,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,5,$15.99,,,,,Hello Kitty Cookie Box 11.50 OZ,5,Japan,BOURBON,5
