Title,Title_link,Thumbnail,brand-title,Price,brand-variants,comment-star__count,Headline,DetailPrice,OriginalPrice,Field1,Field2,Field3
Crunchy Rice Rollers Original Brown Rice  At least 95% Organic 74g,https://www.yamibuy.com/en/p/crunchy-rice-rollers-original-brown-rice-at-least-95-organic-74g/1017043831?scene=item_search.result&bu_type=search&module_name=input&index=1&content=rice%20crackers,https://cdn.yamibuy.net/item/f8bc38d3c9d6acf65942fa174bdf66ce_684x684.webp,CRUNCHY RICE ROLLERS,,,,Crunchy Rice Rollers Original Brown Rice  At least 95% Organic 74g,$5.49,$5.99,Be the first!,United States,
Rice Crackers Bites Spicy Flavor  3.5oz,https://www.yamibuy.com/en/p/ww-rice-crackers-bites-spicy-3-5oz/1017043491?scene=item_search.result&bu_type=search&module_name=input&index=2&content=rice%20crackers,https://cdn.yamibuy.net/item/3aa7ca5d94bf711140f2c558b0c408b4_684x684.webp,WANT WANT,,3 Options,1,Rice Crackers Bites Spicy Flavor  3.5oz,$1.59,$2.29,1,Taiwan,5
Rice Crackers Bites Original Flavor  3.5oz,https://www.yamibuy.com/en/p/ww-rice-crackers-bites-original-3-5oz/1017043481?scene=item_search.result&bu_type=search&module_name=input&index=3&content=rice%20crackers,https://cdn.yamibuy.net/item/55cc4df6944710e56bcc29994730b728_684x684.webp,WANT WANT,,3 Options,1,Rice Crackers Bites Original Flavor  3.5oz,$1.99,$2.29,1,Taiwan,5
MIZUHO Mini Wasabi Rice Crackers 90g,https://www.yamibuy.com/en/p/mizuho-mini-wasabi-rice-crackers-90g/1017002101?scene=item_search.result&bu_type=search&module_name=input&index=4&content=rice%20crackers,https://cdn.yamibuy.net/item/cb14c38c73034bd85306bc7fc08edbc6_684x684.webp,MIZUHO,$1.99,,2,MIZUHO Mini Wasabi Rice Crackers 90g,,,2,Japan,5
Bin Bin Rice Crackers Coconut Milk Flavor 150g,https://www.yamibuy.com/en/p/binbin-rice-crackers-coconut-milk-flavor-150g/1017002421?scene=item_search.result&bu_type=search&module_name=input&index=5&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NAMCHOW,$2.19,,29,Bin Bin Rice Crackers Coconut Milk Flavor 150g,,,29,China,4.1
Natural Farm Rice Crackers 60g,https://www.yamibuy.com/en/p/want-want-natural-farm-rice-crackers-60g/1017000961?scene=item_search.result&bu_type=search&module_name=input&index=6&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANT WANT,$1.29,6 Options,50,Natural Farm Rice Crackers 60g,,,50,Taiwan,4.6
Shrimp Crackers Hot Chili & Lime 85g,https://www.yamibuy.com/en/p/shrimp-crackers-hot-chili-lime/1017039451?scene=item_search.result&bu_type=search&module_name=input&index=7&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,papatonk,$3.99,,4,Shrimp Crackers Hot Chili & Lime 85g,,,4,Indonesia,4.2
Shrimp Crackers Original 85g,https://www.yamibuy.com/en/p/shrimp-crackers-original/1017039431?scene=item_search.result&bu_type=search&module_name=input&index=8&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,papatonk,$3.99,,7,Shrimp Crackers Original 85g,,,7,Indonesia,5
Koloko Pea Crackers Spicy Flavor 140g,https://www.yamibuy.com/en/p/koloko-pea-crackers-spicy/1017028791?scene=item_search.result&bu_type=search&module_name=input&index=9&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIANHWA,$3.39,7 Options,,Koloko Pea Crackers Spicy Flavor 140g,,,18,Taiwan,4.4
Koloko Pea Crackers Original 140g,https://www.yamibuy.com/en/p/koloko-pea-crackers-original/1017028781?scene=item_search.result&bu_type=search&module_name=input&index=10&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIANHWA,$3.39,7 Options,,Koloko Pea Crackers Original 140g,,,9,Taiwan,5
