Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3
Huajiao Rice Crust Hot Spicy Flavor 158g,https://www.yamibuy.com/en/p/huajiao-rice-crust-hot-spicy-flavor-158g/1017041661?scene=item_search.result&bu_type=search&module_name=input&index=1&content=rice%20crust,https://cdn.yamibuy.net/item/7f962b5efa85a0614e32d835a5dca032_684x684.webp,HJSJ,18,$2.49,,,,Huajiao Rice Crust Hot Spicy Flavor 158g,18,China,4.7
Huajiao Rice Crust Spicy Flavor 158g,https://www.yamibuy.com/en/p/huajiao-rice-crust-spicy-flavor-158g/1017041681?scene=item_search.result&bu_type=search&module_name=input&index=2&content=rice%20crust,https://cdn.yamibuy.net/item/4b56c1f4c601b32edf47bfb09a1a100c_684x684.webp,HJSJ,11,$2.49,,,,Huajiao Rice Crust Spicy Flavor 158g,11,China,4.5
Huajiao Rice Crust Peppercorn Flavor 158g,https://www.yamibuy.com/en/p/huajiao-rice-crust-peppercorn-flavor-158g/1017041671?scene=item_search.result&bu_type=search&module_name=input&index=3&content=rice%20crust,https://cdn.yamibuy.net/item/df45a8622807e5632de3fa60f478c9d5_684x684.webp,HJSJ,14,$2.49,,,,Huajiao Rice Crust Peppercorn Flavor 158g,14,China,4.2
Crunchy Rice Rollers Original Brown Rice  At least 95% Organic 74g,https://www.yamibuy.com/en/p/crunchy-rice-rollers-original-brown-rice-at-least-95-organic-74g/1017043831?scene=item_search.result&bu_type=search&module_name=input&index=4&content=rice%20crust,https://cdn.yamibuy.net/item/f8bc38d3c9d6acf65942fa174bdf66ce_684x684.webp,CRUNCHY RICE ROLLERS,,,$5.49,$5.99,9% OFF,Crunchy Rice Rollers Original Brown Rice  At least 95% Organic 74g,Be the first!,United States,
Millet Crisp Crust Cumin Flavor  130g,https://www.yamibuy.com/en/p/millet-crisp-crust-cumin-130g/1017043911?scene=item_search.result&bu_type=search&module_name=input&index=5&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,1,$1.99,,,,Millet Crisp Crust Cumin Flavor  130g,1,China,5
Millet Crisp Crust(spicy) 130g,https://www.yamibuy.com/en/p/millet-crisp-crust-spicy-130g/1017043931?scene=item_search.result&bu_type=search&module_name=input&index=6&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,3,$1.99,,,,Millet Crisp Crust(spicy) 130g,3,China,5
Millet Crisp Crust(Tomato) 130g,https://www.yamibuy.com/en/p/millet-crisp-crust-tomato-130g/1017043921?scene=item_search.result&bu_type=search&module_name=input&index=7&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,1,$1.99,,,,Millet Crisp Crust(Tomato) 130g,1,China,5
Millet Crisp Crust Spiced Flavor 105g,https://www.yamibuy.com/en/p/millet-crisp-crust-spiced-flavor-105g/1017041651?scene=item_search.result&bu_type=search&module_name=input&index=8&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAOBALAIBA,5,$1.69,,,,Millet Crisp Crust Spiced Flavor 105g,5,China,4.8
Millet Crisp Crust Spicy Flavor 105g,https://www.yamibuy.com/en/p/millet-crisp-crust-spicy-flavor-105g/1017037521?scene=item_search.result&bu_type=search&module_name=input&index=9&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAOBALAIBA,7,$1.69,,,,Millet Crisp Crust Spicy Flavor 105g,7,China,4.4
Millet Crust-Five Spices Flavor 90g,https://www.yamibuy.com/en/p/bestore-millet-crust-five-spices-flavor-90g/1017010541?scene=item_search.result&bu_type=search&module_name=input&index=10&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BESTORE,28,,$2.49,$3.49,29% OFF,Millet Crust-Five Spices Flavor 90g,28,China,4.6
Millet Crust Spicy 90g (packaging may vary),https://www.yamibuy.com/en/p/bestore-millet-crust-spicy-90g/1017010531?scene=item_search.result&bu_type=search&module_name=input&index=11&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BESTORE,42,,$2.49,$3.49,29% OFF,Millet Crust Spicy 90g (packaging may vary),42,China,4.5
"Guangxi Specialty Snail Rice Noodle, 280g",https://www.yamibuy.com/en/p/liuzhou-guangxi-specialty-luosifen-pickle-flavor-noodles-280g-no-quail-egg-random-version/1021006541?scene=item_search.result&bu_type=search&module_name=input&index=12&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LUOBAWANG,2077,$3.69,,,,"Guangxi Specialty Snail Rice Noodle, 280g",2082,China,4.81
Snail Rice Noodle Tomato Flavor 306g,https://www.yamibuy.com/en/p/luobawang-luo-si-rice-noodles-tomato-flavored/1021037421?scene=item_search.result&bu_type=search&module_name=input&index=13&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LUOBAWANG,1091,,$3.69,$3.99,8% OFF,Snail Rice Noodle Tomato Flavor 306g,1093,China,4.7
Guangxi Specialty Snails Rice Noodle Hot Spicy Flavor 315g,https://www.yamibuy.com/en/p/liuzhou-guangxi-specialty-luosifen-hot-spicy-flavor-noodles-315g/1021026941?scene=item_search.result&bu_type=search&module_name=input&index=14&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LUOBAWANG,881,,$3.69,$4.39,16% OFF,Guangxi Specialty Snails Rice Noodle Hot Spicy Flavor 315g,882,China,4.7
Snail Rice Noodles 300g River Snail Noodle 300g Gold Award in the Conch Noodles 300g,https://www.yamibuy.com/en/p/haohuanluo-instant-spicy-rice-noodle-300g/1021023071?scene=item_search.result&bu_type=search&module_name=input&index=15&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAOHUANLUO,1484,,$4.29,$4.99,15% OFF,Snail Rice Noodles 300g River Snail Noodle 300g Gold Award in the Conch Noodles 300g,1486,China,4.7
"River Snails Rice Noodle Liuzhou specialty, 268g",https://www.yamibuy.com/en/p/liuquan-instant-spicy-rice-noodle-268g/1021006101?scene=item_search.result&bu_type=search&module_name=input&index=16&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIUQUAN,1388,$3.99,,,,"River Snails Rice Noodle Liuzhou specialty, 268g",1390,China,4.62
Instant Hot Pot Self  Heating Rice 465g,https://www.yamibuy.com/en/p/yumei-instant-hot-pot-self-heating-rice-465g/1021037461?scene=item_search.result&bu_type=search&module_name=input&index=17&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,269,$7.49,,,,Instant Hot Pot Self  Heating Rice 465g,269,China,4.6
"River Snails Rice Noodle Original, 315g",https://www.yamibuy.com/en/p/liuquan-instant-original-noodle-315g/1021041891?scene=item_search.result&bu_type=search&module_name=input&index=18&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIUQUAN,463,,$3.99,$4.99,21% OFF,"River Snails Rice Noodle Original, 315g",463,China,4.7
Rice Cake w/Sweet Spicy Sauce 280g,https://www.yamibuy.com/en/p/yopokki-rice-cake-w-sweet-spicy-sauce-280g/1021039781?scene=item_search.result&bu_type=search&module_name=input&index=19&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YOPOKKI,27,,$4.99,$5.45,9% OFF,Rice Cake w/Sweet Spicy Sauce 280g,27,Korea,4.4
Mushroom Rice Noodles 400g,https://www.yamibuy.com/en/p/mushroom-rice-noodles-400g/1021086501?scene=item_search.result&bu_type=search&module_name=input&index=20&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LUOBAWANG,29,$4.69,,,,Mushroom Rice Noodles 400g,29,China,4.9
