Title,Title_link,brand-title,Price,comment-star__count,Headline,Field1,Field2,Field3
Roasted Seaweed with Green Tea 12 Bags,https://www.yamibuy.com/en/p/farm-group-roasted-seaweed-with-green-tea-12-bags/1019011521?scene=item_search.result&bu_type=search&module_name=input&index=1&content=seaweed,NONGHYUP,$5.69,51,Roasted Seaweed with Green Tea 12 Bags,51,Korea,4.7
Tempura Seaweed Musroom And Black Pepper,https://www.yamibuy.com/en/p/tempura-seaweed-musroom-and-black-pepper/1019078431?scene=item_search.result&bu_type=search&module_name=input&index=2&content=seaweed,TAO KAE NOI,$1.99,,Tempura Seaweed Musroom And Black Pepper,Be the first!,,
Dried Mustard Seaweed 100g,https://www.yamibuy.com/en/p/dried-mustard-seaweed-100g/1149012331?scene=item_search.result&bu_type=search&module_name=input&index=3&content=seaweed,KWANGCHEONKIM,$3.49,,Dried Mustard Seaweed 100g,Be the first!,,
"Roasted & Seasoned Seaweed 4g*12packs, 48g",https://www.yamibuy.com/en/p/shirakiku-roasted-seasoned-seaweed-4gx10packs/1019033261?scene=item_search.result&bu_type=search&module_name=input&index=4&content=seaweed,SHIRAKIKU,$4.99,57,"Roasted & Seasoned Seaweed 4g*12packs, 48g",57,United States,4.6
Roasted  Seasoned Seaweed 12packs 48g,https://www.yamibuy.com/en/p/kc-roasted-seasoned-seaweed-12packs-48g/1019014871?scene=item_search.result&bu_type=search&module_name=input&index=5&content=seaweed,KC,$5.69,12,Roasted  Seasoned Seaweed 12packs 48g,12,Korea,4.2
WEL PAC FUERU WAKAME Dried Seaweed 56.7g,https://www.yamibuy.com/en/p/wel-pac-fueru-wakame-dried-seaweed-56-7g/1021017691?scene=item_search.result&bu_type=search&module_name=input&index=6&content=seaweed,WEL.PAC,$2.99,13,WEL PAC FUERU WAKAME Dried Seaweed 56.7g,13,,4.8
Roasted Green Tea Seaweed 50g,https://www.yamibuy.com/en/p/haitai-roasted-green-tea-seaweed-70g/1019009631?scene=item_search.result&bu_type=search&module_name=input&index=7&content=seaweed,HAITAI,$2.89,57,Roasted Green Tea Seaweed 50g,57,Korea,4.8
Buldak Flavor Seaweed 5g*3,https://www.yamibuy.com/en/p/buldak-flavor-seaweed-5g-3/1019076341?scene=item_search.result&bu_type=search&module_name=input&index=8&content=seaweed,KWANGCHEONKIM,$2.29,,Buldak Flavor Seaweed 5g*3,Be the first!,,
WANG Roasted Seaweed Sushi Nori 72g,https://www.yamibuy.com/en/p/wang-roasted-seaweed-sushi-nori-72g/1019016711?scene=item_search.result&bu_type=search&module_name=input&index=9&content=seaweed,WANG FOOD,$8.49,10,WANG Roasted Seaweed Sushi Nori 72g,10,Korea,5
Seaweed Crisps Original Flavor 30g,https://www.yamibuy.com/en/p/seaweed-crisps-original-flavor-30g/1019070231?scene=item_search.result&bu_type=search&module_name=input&index=10&content=seaweed,Master Hee's,$2.69,11,Seaweed Crisps Original Flavor 30g,11,Original Flavor,4.6
Roasted & Seasoned Organic Seaweed 4g*9,https://www.yamibuy.com/en/p/organic-roasted-seasoned-laver-4g-9/1019077901?scene=item_search.result&bu_type=search&module_name=input&index=11&content=seaweed,KWANGCHEONKIM,$7.99,,Roasted & Seasoned Organic Seaweed 4g*9,Be the first!,,
Big Sheet Seaweed Spicy Flavor 38g,https://www.yamibuy.com/en/p/tkn-big-sheet-seaweed-spicy/1019050531?scene=item_search.result&bu_type=search&module_name=input&index=12&content=seaweed,TAO KAE NOI,$3.89,13,Big Sheet Seaweed Spicy Flavor 38g,13,Spicy Flavor,4.8
Yakinori Hanedashi Roasted Seaweed 10pcs,https://www.yamibuy.com/en/p/yakinori-hanedashi-10pcs/1019071091?scene=item_search.result&bu_type=search&module_name=input&index=13&content=seaweed,Takaokaya,$2.79,5,Yakinori Hanedashi Roasted Seaweed 10pcs,5,,5
YAKI NORI Roasted Seaweed 50 Sheets,https://www.yamibuy.com/en/p/korean-full-50sh/1019064501?scene=item_search.result&bu_type=search&module_name=input&index=14&content=seaweed,SHIRAKIKU,$11.99,5,YAKI NORI Roasted Seaweed 50 Sheets,5,,4.6
Dried Seaweed Ties 50g,https://www.yamibuy.com/en/p/jinhailin-dried-seaweed-ties-50g/1021017451?scene=item_search.result&bu_type=search&module_name=input&index=15&content=seaweed,JINHAILIN,$1.99,11,Dried Seaweed Ties 50g,11,,4.5
Organic Seaweed USDA Organic,https://www.yamibuy.com/en/p/organic-seaweed/1019070141?scene=item_search.result&bu_type=search&module_name=input&index=16&content=seaweed,LITTLE JASMINE,$12.99,1,Organic Seaweed USDA Organic,1,,2
Seaweed Chip Original Flavor 40g,https://www.yamibuy.com/en/p/seaweed-chip-original-40g/1019064921?scene=item_search.result&bu_type=search&module_name=input&index=17&content=seaweed,CHE IL JEDANG,$3.49,8,Seaweed Chip Original Flavor 40g,8,,5
TangChen Dried Seaweed 60g,https://www.yamibuy.com/en/p/ocm-tangchen-dried-seaweed-60g/1149000311?scene=item_search.result&bu_type=search&module_name=input&index=18&content=seaweed,OCM,$4.99,22,TangChen Dried Seaweed 60g,22,,4.7
Furikake Seas Rst Seaweed Flakes Spicy 30g,https://www.yamibuy.com/en/p/furikake-seas-rst-seaweed-flakes-spicy-30g/1019070441?scene=item_search.result&bu_type=search&module_name=input&index=19&content=seaweed,SHIRAKIKU,$2.19,,Furikake Seas Rst Seaweed Flakes Spicy 30g,Be the first!,,
Seaweed Crisps Wasabi Flavor 30g,https://www.yamibuy.com/en/p/seaweed-crisps-spicy-flavor-30g/1019070251?scene=item_search.result&bu_type=search&module_name=input&index=20&content=seaweed,Master Hee's,$2.69,13,Seaweed Crisps Wasabi Flavor 30g,13,Wasabi Flavor,5
CJ BIBIGO Seaweed Crisps Hot Spicy 20g,https://www.yamibuy.com/en/p/cj-bibigo-seaweed-crisps-hot-spicy-20g/1019012691?scene=item_search.result&bu_type=search&module_name=input&index=21&content=seaweed,CHE IL JEDANG,$2.29,9,CJ BIBIGO Seaweed Crisps Hot Spicy 20g,9,Korea,4
Seaweed Crisps Spicy Flavor 30g,https://www.yamibuy.com/en/p/seaweed-crisps-cheese-flavor-30g/1019070261?scene=item_search.result&bu_type=search&module_name=input&index=22&content=seaweed,Master Hee's,$2.69,13,Seaweed Crisps Spicy Flavor 30g,13,Spicy Flavor,4.6
Roasted Seaweed Sushi Nori ( 10 Sheets ) 1oz,https://www.yamibuy.com/en/p/roasted-seaweed-sushi-nori-10-sheets-1oz/1149016511?scene=item_search.result&bu_type=search&module_name=input&index=23&content=seaweed,MIFENG,$2.49,,Roasted Seaweed Sushi Nori ( 10 Sheets ) 1oz,Be the first!,,
Seaweed Crisps Cheese Flavor 30g,https://www.yamibuy.com/en/p/seaweed-crisps-wasabi-flavor-30g/1019070241?scene=item_search.result&bu_type=search&module_name=input&index=24&content=seaweed,Master Hee's,$2.69,19,Seaweed Crisps Cheese Flavor 30g,19,Cheese Flavor,4.6
CJ BIBIGO Seaweed Crisps BBQ 20g,https://www.yamibuy.com/en/p/cj-bibigo-seaweed-crisps-bbq-20g/1019012721?scene=item_search.result&bu_type=search&module_name=input&index=25&content=seaweed,CHE IL JEDANG,$2.29,20,CJ BIBIGO Seaweed Crisps BBQ 20g,20,Korea,4
CJ BIBIGO Seaweed Crisps Original 20g,https://www.yamibuy.com/en/p/cj-bibigo-seaweed-crisps-original-20g/1019012701?scene=item_search.result&bu_type=search&module_name=input&index=26&content=seaweed,CHE IL JEDANG,$2.29,10,CJ BIBIGO Seaweed Crisps Original 20g,10,Korea,4.2
Seasoned Seaweed 22.7g,https://www.yamibuy.com/en/p/ajitsuke-nori-btl-22g/1019064771?scene=item_search.result&bu_type=search&module_name=input&index=27&content=seaweed,SHIRAKIKU,$4.59,4,Seasoned Seaweed 22.7g,4,,4.2
Furikake Seas Rst Seaweed Flakes Seafood 30g,https://www.yamibuy.com/en/p/furikake-seas-rst-seaweed-flakes-seafood-30g/1019070431?scene=item_search.result&bu_type=search&module_name=input&index=28&content=seaweed,SHIRAKIKU,$2.19,,Furikake Seas Rst Seaweed Flakes Seafood 30g,Be the first!,,
TangChen Dried Seaweed 80g,https://www.yamibuy.com/en/p/ocm-tangchen-dried-seaweed-80g/1149001791?scene=item_search.result&bu_type=search&module_name=input&index=29&content=seaweed,OCM,$5.99,27,TangChen Dried Seaweed 80g,27,,5
Organic Roasted & Seaweed 4gx10 pack,https://www.yamibuy.com/en/p/shirakiku-organic-roasted-seaweed-4gx12pack/1019033271?scene=item_search.result&bu_type=search&module_name=input&index=30&content=seaweed,SHIRAKIKU,$4.99,29,Organic Roasted & Seaweed 4gx10 pack,29,Japan,4.7
Seaweed Soy Sauce Clam 55g,https://www.yamibuy.com/en/p/seaweed-soy-sauce-clam-55g/3019074651?scene=item_search.result&bu_type=search&module_name=input&index=31&content=seaweed,NATORI,,2,Seaweed Soy Sauce Clam 55g,2,Japan,5
WANGWANG Seaweed with wave flavor Original taste 10g,https://www.yamibuy.com/en/p/wangwang-seaweed-with-wave-flavor-original-taste-10g/3019070611?scene=item_search.result&bu_type=search&module_name=input&index=32&content=seaweed,WANT WANT,$3.49,1,WANGWANG Seaweed with wave flavor Original taste 10g,1,,5
Tempura Seaweed Truffle Black Pepper Flavor 40g,https://www.yamibuy.com/en/p/tempura-seaweed-truffle-black-pepper-flavor-40g/3019077501?scene=item_search.result&bu_type=search&module_name=input&index=33&content=seaweed,TAO KAE NOI,,,Tempura Seaweed Truffle Black Pepper Flavor 40g,Be the first!,,
