Title,Title_link,Thumbnail,brand-title,price-sup,Price,comment-star__count,Headline,Field1,Field2,Field3
Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,https://www.yamibuy.com/en/p/kitkat-cheese-cake-chocolate-wafer-9pc/1018046361?scene=item_search.result&bu_type=search&module_name=input&index=1&content=wafer,https://cdn.yamibuy.net/item/014191fbd54d9fc4da1bb175f652b8b3_684x684.webp,NESTLE,Buy $150 get 1 free gift,$6.99,7,Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,7,Japan,4.9
Japanese Kit Kat Crepe White Chocolate Wafer,https://www.yamibuy.com/en/p/kitkat-crepe-white-chocolate-wafer/1018046421?scene=item_search.result&bu_type=search&module_name=input&index=2&content=wafer,https://cdn.yamibuy.net/item/cbe98ff1d558e5b4d993814822feccae_684x684.webp,NESTLE,Buy $150 get 1 free gift,$6.99,1,Japanese Kit Kat Crepe White Chocolate Wafer,1,Japan,5
Soybean Milk Flavored Wafer 112g,https://www.yamibuy.com/en/p/bourbon-soybean-milk-flavored-wafer-cookie-16pcs-107g/1017005381?scene=item_search.result&bu_type=search&module_name=input&index=3&content=wafer,https://cdn.yamibuy.net/item/803a0bddb793a74d9fabee61582f548f_684x684.webp,BOURBON,Buy $150 get 1 free gift,,330,Soybean Milk Flavored Wafer 112g,334,Japan,4.7
Kit Kat Chocolate Wafer Melon Flavor 11pc,https://www.yamibuy.com/en/p/kit-kat-chocolate-wafer-melon-flavor-11pc/1018047071?scene=item_search.result&bu_type=search&module_name=input&index=4&content=wafer,https://cdn.yamibuy.net/item/5ad6cb9cd95c1003db1529de0a1a0cd5_684x684.webp,NESTLE,Buy $150 get 1 free gift,,2,Kit Kat Chocolate Wafer Melon Flavor 11pc,2,Japan,5
Japanese Kit Kat Milk Tea Chocolate Wafer 12pc,https://www.yamibuy.com/en/p/kitkat-milk-tea-chocolate-wafer-12pc/1018046371?scene=item_search.result&bu_type=search&module_name=input&index=5&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$6.99,3,Japanese Kit Kat Milk Tea Chocolate Wafer 12pc,3,Japan,3.7
Japanese Kit Kat Strawberry Chocolate Wafer,https://www.yamibuy.com/en/p/kitkat-strawberry-chocolate-wafer/1018046451?scene=item_search.result&bu_type=search&module_name=input&index=6&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,,1,Japanese Kit Kat Strawberry Chocolate Wafer,1,Japan,5
Japanese Kit Kat Oat Chocolate Wafer,https://www.yamibuy.com/en/p/kitkat-oat-chocolate-wafer/1018046431?scene=item_search.result&bu_type=search&module_name=input&index=7&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$6.99,1,Japanese Kit Kat Oat Chocolate Wafer,1,Japan,5
Wafer White Chocolate 57g,https://www.yamibuy.com/en/p/wafer-white-chocolate-57g/1017039131?scene=item_search.result&bu_type=search&module_name=input&index=8&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,Buy $150 get 1 free gift,$3.29,,Wafer White Chocolate 57g,Be the first!,Japan,
Wafer Roll Condensed Milk Flavor 400g,https://www.yamibuy.com/en/p/wafer-roll-condensed-milk-flavor-400g/1017044761?scene=item_search.result&bu_type=search&module_name=input&index=9&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Healthful,Buy $150 get 1 free gift,$19.99,,Wafer Roll Condensed Milk Flavor 400g,Be the first!,Taiwan,
Japanese Kit Kat Pistachio Chocolate Wafer 11pc,https://www.yamibuy.com/en/p/pistachio-chocolate-wafer-11pc/1018046391?scene=item_search.result&bu_type=search&module_name=input&index=10&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$7.99,2,Japanese Kit Kat Pistachio Chocolate Wafer 11pc,2,Japan,4
Japanese Kit Kat Matcha Chocolate Wafer 12pc,https://www.yamibuy.com/en/p/kitkat-matcha-chocolate-wafer-13pc/1018046411?scene=item_search.result&bu_type=search&module_name=input&index=11&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$6.99,1,Japanese Kit Kat Matcha Chocolate Wafer 12pc,1,Japan,5
Japanese KitKat Blue Ocean Chocolate Wafer 12pcs 124g,https://www.yamibuy.com/en/p/blue-ocean-12pcs-124g/1018047501?scene=item_search.result&bu_type=search&module_name=input&index=12&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$7.29,,Japanese KitKat Blue Ocean Chocolate Wafer 12pcs 124g,Be the first!,Japan,
Japanese Kit Kat Matcha Chocolate Wafer 135g,https://www.yamibuy.com/en/p/nestle-kit-kat-matcha-chocolate-flavor-stick-13pcs-146-9g/1018004091?scene=item_search.result&bu_type=search&module_name=input&index=13&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$6.99,203,Japanese Kit Kat Matcha Chocolate Wafer 135g,203,Japan,4.7
Japanese Kit Kat Orange Chocolate Wafer 9pc,https://www.yamibuy.com/en/p/kitkat-orange-chocolate-wafer-9pc/1018046351?scene=item_search.result&bu_type=search&module_name=input&index=14&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$6.99,2,Japanese Kit Kat Orange Chocolate Wafer 9pc,2,Japan,5
Crispy Wafer with Milky Cream 61g,https://www.yamibuy.com/en/p/bourbon-crispy-wafer-with-milky-cream-64g/1017005291?scene=item_search.result&bu_type=search&module_name=input&index=15&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,Buy $150 get 1 free gift,$2.49,47,Crispy Wafer with Milky Cream 61g,47,Japan,4.6
Quadratini Bite Size Wafer Cookies Coconut Flavor 250g,https://www.yamibuy.com/en/p/loacker-quadratini-bite-size-wafer-cookies-coconut-flavor-250g/1017005151?scene=item_search.result&bu_type=search&module_name=input&index=16&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOACKER,Buy $150 get 1 free gift,$5.29,8,Quadratini Bite Size Wafer Cookies Coconut Flavor 250g,8,Itlay,4.2
Peacock Wafer Roll Coffee Flavor 63g,https://www.yamibuy.com/en/p/peacock-wafer-roll-coffee-63g/1016097001?scene=item_search.result&bu_type=search&module_name=input&index=17&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Peacock Brand Herbs,Buy $150 get 1 free gift,$3.29,,Peacock Wafer Roll Coffee Flavor 63g,Be the first!,China,
Japanese Kit Kat Cocoa Flavor Wafer,https://www.yamibuy.com/en/p/kitkat-cocoa-flavor-wafer/1018046401?scene=item_search.result&bu_type=search&module_name=input&index=18&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,"Pay with Gift Card to get sale price: $6.15,Buy $150 get 1 free gift",$6.99,1,Japanese Kit Kat Cocoa Flavor Wafer,1,Japan,5
Purple Sweet Potato Wafer 7oz,https://www.yamibuy.com/en/p/purple-sweet-potato-wafer-7oz/1017045521?scene=item_search.result&bu_type=search&module_name=input&index=19&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$2.29,,Purple Sweet Potato Wafer 7oz,Be the first!,Hong Kong,
Peacock Wafer Roll Egg Pudding Flavor 63g,https://www.yamibuy.com/en/p/peacock-wafer-roll-egg-pudding-flavor-63g/1017045141?scene=item_search.result&bu_type=search&module_name=input&index=20&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Peacock Brand Herbs,Buy $150 get 1 free gift,$3.29,,Peacock Wafer Roll Egg Pudding Flavor 63g,Be the first!,China,
Japanese Kit Kat Chocolate Wafer Original 14pc,https://www.yamibuy.com/en/p/kitkat-chocolate-wafer-14pc/1018046441?scene=item_search.result&bu_type=search&module_name=input&index=21&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$6.99,,Japanese Kit Kat Chocolate Wafer Original 14pc,Be the first!,Japan,
Uji Matcha Wafer 7oz,https://www.yamibuy.com/en/p/uji-matcha-wafer-7oz/1017045511?scene=item_search.result&bu_type=search&module_name=input&index=22&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$2.29,,Uji Matcha Wafer 7oz,Be the first!,Hong Kong,
Deka Wafer Bites Ube Flavor 198g,https://www.yamibuy.com/en/p/wafer-bites-ube-flavor-198g/1016093711?scene=item_search.result&bu_type=search&module_name=input&index=23&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JANS,Buy $150 get 1 free gift,$3.49,,Deka Wafer Bites Ube Flavor 198g,Be the first!,Indonesia,
Wafer Rolls Filled with Cconut Cream,https://www.yamibuy.com/en/p/wafer-rolls-filled-with-cconut-cream/1017045331?scene=item_search.result&bu_type=search&module_name=input&index=24&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAO QUAN,Buy $150 get 1 free gift,$4.29,,Wafer Rolls Filled with Cconut Cream,Be the first!,China,
Cream Wafer Pack Strawberry  Flavor 400g,https://www.yamibuy.com/en/p/imei-cream-wafer-pack-strawberry-flavor-400g/1016046491?scene=item_search.result&bu_type=search&module_name=input&index=25&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMEI,Buy $150 get 1 free gift,$4.19,,Cream Wafer Pack Strawberry  Flavor 400g,1,Taiwan,3
