Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Left_Mention,Platform,Category
Chin Chin Peach Juice Drink 10.8 oz,1.49,100+ Sold,Taiwan,CHINCHIN,5,No,Weee,Drinks
Rico Bubble Milk Tea Drink 12.3 oz,1.39,200+ Sold,Taiwan,Rico,2,No,Weee,Drinks
Taoti Kyoho Grape Juice Drink  6 can,6.69,Less than 50,Taiwan,Unclear,1,No,Weee,Drinks
"Sangaria Ramune Soft Drink, Original Flavor 6.76 oz",2.49,500+ Sold,Japan,Unclear,27,No,Weee,Drinks
Master Kong's Peach Yogurt Drink 500 ml,1.49,1K+ Sold,Mainland China,Unclear,32,No,Weee,Drinks
"Binggrae Milk Drink, Strawberry Flavor 6ct 1200 ml",8.99,1K+ Sold,South Korea,Unclear,176,No,Weee,Drinks
Super Supau Sports Drink 335 ml,0.99,1K+ Sold,Taiwan,Super Supau,164,No,Weee,Drinks
Master Kong Honey Grapefruit Drink 500 ml,0.99,1K+ Sold,Mainland China,Master Kong,183,No,Weee,Drinks
XinYuanZhai Plum Drink 300 ml,2.29,1K+ Sold,Mainland China,Unclear,184,No,Weee,Drinks
"Calpico Mini Non-Carbonated Soft Drinks, Original Flavor 320 ml",1.59,1K+ Sold,Indonesia,Calpico,310,No,Weee,Drinks
Master Kong Tangerine Peel and Plum Drink 500 ml,1.69,1K+ Sold,Mainland China,Master Kong,231,No,Weee,Drinks
"Binggrae Milk Drink, Banana Flavor 6ct 1 box",8.99,1K+ Sold,South Korea,Unclear,337,No,Weee,Drinks
XiaoYang Lactobacillus Drink 330 ml,1.99,1K+ Sold,Mainland China,Unclear,76,No,Weee,Drinks
Calpico Non-Carbonated Soft Drink 50.7 oz,5.79,1K+ Sold,Japan,Calpico,137,No,Weee,Drinks
Master Kong Rock Sugar Pear Drink  500 ml,1.69,1K+ Sold,Mainland China,Master Kong,132,No,Weee,Drinks
Want Want Kid Milk Flavored Drink 6pk 245 ml,9.99,1K+ Sold,Taiwan,Unclear,41,No,Weee,Drinks
"Calpico Non-Carbonated Soft Drink, Mango Flavor 1500 ml",5.79,900+ Sold,Japan,Unclear,27,No,Weee,Drinks
"Calpico Mini Soft Drink, Strawberry Flavor 4ct 2.7 oz",1.99,900+ Sold,Indonesia,Calpico,119,No,Weee,Drinks
"Calpico Mini Non-Carbonated Soft Drinks, Lychee and Mango Flavor 4ct 320 ml",1.59,800+ Sold,Indonesia,Calpico,64,No,Weee,Drinks
"KSF Ice Black Tea Drink, Sugar Free 500 ml",1.69,800+ Sold,Mainland China,Master Kong,5,Yes,Weee,Drinks
"Chiao Kuo Coconut Milk Drink, Original flavor 250 ml",1.49,700+ Sold,Taiwan,Unclear,13,No,Weee,Drinks
Vita Soy Drink Less Sugar 6pk 1 each,5.19,700+ Sold,Hong Kong,Unclear,101,No,Weee,Drinks
"Taisun Grass Jelly Drink, 6pk 1 each",5.99,700+ Sold,Taiwan,Unclear,215,No,Weee,Drinks
"Calpico Soft Drink, Non-Carbonated, with White Peach 1.5L 1500 ml",5.79,600+ Sold,Japan,Calpico,42,No,Weee,Drinks
"UCC Black Coffee Drink, Unsweetened 9.7 oz",2.49,600+ Sold,Japan,UCC,27,No,Weee,Drinks
Vitasoy Soy Drink 6ct 1 box,5.19,600+ Sold,Hong Kong,Unclear,27,No,Weee,Drinks
Lulu Almond Drink 250 ml,1.79,600+ Sold,Mainland China,Unclear,0,No,Weee,Drinks
Laguna Coconut Milk Drink 10.5 oz,1.19,500+ Sold,Thailand,Unclear,103,No,Weee,Drinks
"Binggrae Milk Drink, Melon Flavor 6ct										 1 box",8.99,400+ Sold,South Korea,Unclear,80,No,Weee,Drinks
"Hata Ramune Carbonated Soft Drink, Original Flavor 200 ml",2.49,400+ Sold,Japan,Unclear,0,No,Weee,Drinks
"Calpico Non-Carbonated Soft Drink, Lychee Flavor 1.5L 1500 ml",5.79,400+ Sold,Japan,Calpico,32,No,Weee,Drinks
Red Guava Mixed Fruits Juice Drink 1 count,1.19,400+ Sold,Taiwan,Unclear,40,No,Weee,Drinks
"Shirakiku Fruits Jelly Drink, Lychee Flavor  150 g",0.99,300+ Sold,Mainland China,Shirakiku,15,No,Weee,Drinks
Kuki Black Sesame Latte Drink Powder 150 g,8.99,300+ Sold,Japan,Unclear,16,No,Weee,Drinks
Honey Winter Melon Drink  12 oz,0.99,300+ Sold,Unclear,Uclear,14,No,Weee,Drinks
Nectar Peach Soft Drink 1 count,2.99,300+ Sold,Japan,Unclear,23,No,Weee,Drinks
Master Kong Mango Flavor Drink 500 ml,1.59,300+ Sold,Mainland China,Master Kong,93,No,Weee,Drinks
Bomy Mixed Fruits and Vegetables Juice Drink 580 g,1.99,300+ Sold,Taiwan,Unclear,16,No,Weee,Drinks
Mengniu Peekamoo Milky Drink Strawberry 6pk 1500 ml,6.29,300+ Sold,Mainland China,Unclear,13,No,Weee,Drinks
"MN Peekamoo Milky Drink Calcium and Zinc Fortified, 6pk  1500 ml",6.99,300+ Sold,Mainland China,MN,9,No,Weee,Drinks
Moshi Yuzu Sparkling Drink 12 oz,2.99,200+ Sold,United States,Moshi,0,No,Weee,Drinks
Nestle Milo Tonic Drink Can RTD 240 ml,1.99,200+ Sold,Australia,Nestle,5,No,Weee,Drinks
"Calpico Non-Carbonated Soft Drink, Original Flavor 500ml 16.9 oz",2.49,200+ Sold,Japan,Calpico,63,No,Weee,Drinks
"Tarami Konnuaku Jelly Drink, Melon Flavor 150 g",2.49,200+ Sold,Japan,Tarami,7,No,Weee,Drinks
Vitalon Big Apple Soda Drink  330 ml,1.89,200+ Sold,Taiwan,Unclear,4,No,Weee,Drinks
C&C Passion Fruit Flavored Sparkling Drink 500 ml,1.99,200+ Sold,Taiwan,Unclear,12,No,Weee,Drinks
Binggrae Coffee Flavored Milk Drink 200mlx6 1 each,8.99,200+ Sold,South Korea,Binggrae,3,No,Weee,Drinks
Mengniu Peekamoo Milky Drink Original 6pk 1500 ml,7.99,200+ Sold,Mainland China,Unclear,14,No,Weee,Drinks
Number One Energy Drink 11.8 oz,1.29,200+ Sold,Vietnam,Unclear,0,No,Weee,Drinks
Moshi Yuzu & White Peach Sparkling Drink 12 oz,2.99,200+ Sold,United States,Unclear,1,No,Weee,Drinks
"Calpico Non-Carbonated Soft Drink, Strawberry Flavor 50.7 fl.oz",5.79,200+ Sold,Japan,Calpico,26,No,Weee,Drinks
Hawthorn Berry Sparkling Drink   230 ml,2.49,200+ Sold,Mainland China,Unclear,5,No,Weee,Drinks
Awastea Red Bean Black Glutinous Rice Drink 30ct 450 g,17.09,200+ Sold,Taiwan,Awastea,50,No,Weee,Drinks
Ishiya Shiroi Koibito White Lover Chocolate Milk Drink  190 g,4.89,200+ Sold,Japan,Unclear,2,No,Weee,Drinks
Choya Non-Alchoholic Plum Drink 700 ml,14.99,200+ Sold,Japan,Unclear,38,No,Weee,Drinks
Fremo Aloe Vera Drink Original Flavor 500 ml,1.99,100+ Sold,South Korea,Unclear,4,No,Weee,Drinks
Nongfu C100 Grapefruit Drink 445 ml,2.39,100+ Sold,Mainland China,Unclear,8,No,Weee,Drinks
MN Peekamoo Milky Drink Blueberry 6pk  1500 ml,7.29,100+ Sold,Mainland China,MN,6,No,Weee,Drinks
"Calpico Non-Carbonated Soft Drink, Lychee Flavor 16.9 oz",2.49,100+ Sold,Japan,Calpico,34,No,Weee,Drinks
ChengYangJi HaiNan Old Fashion Coconut Drink  420 ml,3.9,100+ Sold,Mainland China,Unclear,1,No,Weee,Drinks
FOCO Tamarind Drink 350 ml,1.69,100+ Sold,Thailand,Unclear,0,No,Weee,Drinks
Seoul Milk Black Sesame Flavored Milk Drink 6pk 1 box,6.99,100+ Sold,South Korea,Unclear,0,No,Weee,Drinks
"Ito En Japanese Matcha and Green Tea Energy Drink, Unsweetened 155 ml",2.59,50+ Sold,Japan,Unclear,0,No,Weee,Drinks
Star Lychee Drink 1.5L  1 bottle,2.99,50+ Sold,Saudi Arabia,Unclear,1,No,Weee,Drinks
Nongfu C100 Lemon Drink 445 ml,2.39,50+ Sold,Mainland China,Unclear,1,No,Weee,Drinks
Yeo's Chrysanthemum Tea Drink 6pk 1 box,4.99,50+ Sold,Unclear,Uclear,5,No,Weee,Drinks
CJJ Passion Fruit Jelly Drink 220 g,2.79,50+ Sold,Taiwan,Unclear,4,No,Weee,Drinks
Chin Chin Guava Juice Drink  10.8 oz,1.49,50+ Sold,Taiwan,CHINCHIN,3,No,Weee,Drinks
"Calpico Non-Carbonated Soft Drink, White Peach Flavor 16.9 oz",2.49,50+ Sold,Japan,Calpico,32,No,Weee,Drinks
Woongjin Morning Rice Drink  50.72 fl.oz,4.99,50+ Sold,South Korea,Unclear,1,No,Weee,Drinks
OKF Watermelon with Aloe Drink 500 ml,1.99,50+ Sold,South Korea,Unclear,23,No,Weee,Drinks
Yili Youngfun Flavored Milk Drink Strawberry Flavor 1 case,28.99,50+ Sold,Mainland China,Unclear,6,No,Weee,Drinks
Nongfu C100 Lime Drink 445 ml,2.39,50+ Sold,Mainland China,Unclear,5,No,Weee,Drinks
DemiSoda Orange Carbonated Soft Drink 250 ml,1.09,50+ Sold,South Korea,Unclear,10,No,Weee,Drinks
Asahi Japan Monster Energy Drink Zero Sugar Ultra  12 fl.oz,3.59,50+ Sold,Japan,Asahi,0,No,Weee,Drinks
