Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category
FENGDAN Taiwanese Black Date And  Walnut Cake 220g,FAVOR DESSERTS,24,19.99,5,Taiwan,Yami,Dessert
Small Moon Cake 495g 9pcs,FAVOR DESSERTS,0,66.49,0,Taiwan,Yami,Dessert
Pine Nuts Tea Cakes 495g 9pcs,FAVOR DESSERTS,0,66.49,0,Taiwan,Yami,Dessert
Princess Pastry 495g 9pcs,FAVOR DESSERTS,0,66.49,0,Taiwan,Yami,Dessert
Corgi Desserts Canvas Bag - Lazy Day,NAYOTHECORGI,0,14.99,0,United States,Yami,Dessert
FAVOR DESSERTS Longan Nanzao Walnut Cake(Vegan / Contain Wine) 160g,Fongden,2,18.99,3.5,Taiwan,Yami,Dessert
FAVOR DESSERTS French Almond Cranberry Nougat(ovolactin) 160g,Fongden,3,18.99,5,Taiwan,Yami,Dessert
Corgi Desserts Canvas Bag - Sweet Overload,NAYOTHECORGI,0,14.99,0,United States,Yami,Dessert
Corgi Desserts Canvas Bag - Sweet Time,NAYOTHECORGI,0,14.99,0,United States,Yami,Dessert
Corgi Desserts Canvas Bag - Let's Picnic,NAYOTHECORGI,0,14.99,0,United States,Yami,Dessert
Multigrain Mixed Congee 375g,TAISUN,771,1.39,4.8,Taiwan,Yami,Dessert
Porridge 370g,TAIQI,63,1.59,4.9,Mainland China,Yami,Dessert
Rice Jelly (Brown Sugar Flavor) 240g,YUMEI,256,2.49,4.5,Mainland China,Yami,Dessert
Walnut Sesame and Black Bean Meal 600g,WUGU MOFANG,236,18.99,4.9,Mainland China,Yami,Dessert
Fresh Chinese Bayberry Bottle 360g,LJPZ,27,2.39,4.7,Mainland China,Yami,Dessert
GOURMET FARM Preserved Duck Eggs Century Eggs 272g,ZHUANG YUAN,62,2.49,4.8,Mainland China,Yami,Dessert
Red Bean Sand Porridge 370g,TAIQI,40,1.59,4.9,Mainland China,Yami,Dessert
Instant Herbal Cereal Original 450g,JZJT,441,23.99,4.6,Mainland China,Yami,Dessert
Red Bean Soup with Pearl Barley 300g Gluten Free,TOTOLE,19,1.99,4.2,Mainland China,Yami,Dessert
