Product_Name,Brand,Reviews,Price,Option,price-valid,Origin,Rate,Platform,Category
Potato Chips TW Popcorn Chicken Flavor 100g,HUAYUAN,0,3.99,,,Taiwan,0.0,Yami,Popcorn
Stevia Sweetened Chocolate Covered Poprorn Dark Chocolate Caramel Popcorn,LILYS,1,7.99,,,United States,5.0,Yami,Popcorn
Popcorn Chips White Cheddar 198g,POPCORNERS,1,4.29,2 Options,,United States,5.0,Yami,Popcorn
Popcorn Chips Kettle 198g,POPCORNERS,2,4.69,2 Options,,United States,5.0,Yami,Popcorn
JAPAN DIY JYAZU  Butter Popcorn 67g,MARUJYO,1,5.90,19 Options,$5.90 ,Japan,5.0,Yami,Popcorn
[Popcorn Chicken Nuggets] 350g,CHUN WEI KITCHEN,0,11.04,,$11.04 ,United States,0.0,Yami,Popcorn
JAPAN DIY JYAZU  SYOYU Popcorn 67g,MARUJYO,0,5.90,19 Options,$5.90 ,Japan,0.0,Yami,Popcorn
JAPAN HANABATAKEBOKUJO Cheese Popcorn 100g,HOKKAIDO,1,10.90,19 Options,$10.90 ,Japan,5.0,Yami,Popcorn
JAPAN HANABATAKEBOKUJO CARAMEL Popcorn 100g,HOKKAIDO,0,10.90,19 Options,$10.90 ,Japan,0.0,Yami,Popcorn
MICKEY MOUSE AND CARAMEL Popcorn 5bags,TOKYO BANANA,0,16.99,35 Options,$16.99 ,Japan,0.0,Yami,Popcorn
[Mainland China direct mail] BE&CHEERY Herb flavor - gold corn beans / vegetarian corn snacks snack popcorn puffed food snacks70g,BE & CHEERY,1,2.90,,$2.90 ,Mainland China,5.0,Yami,Popcorn
Popcorn Chicken Seasoning 175g,LONGDING,0,8.99,,,Taiwan,0.0,Yami,Popcorn
Popcorn 68g,BESTORE,29,1.19,,,Mainland China,4.9,Yami,Popcorn
Popcorn Cinema artificially hot chicken flavored 35g,SHIRAKIKU,9,2.19,3 Options,,Japan,4.7,Yami,Popcorn
Honey Popcorn Snack 255g,JAYONE,2,3.29,,,Korea,5.0,Yami,Popcorn
Spicy Popcorn Snack 110g,JAYONE,9,1.69,3 Options,,Korea,4.6,Yami,Popcorn
Popcorn Cinema Artificially Strawberry&Butter Flavored 70g,SHIRAKIKU,9,2.19,3 Options,,Japan,4.9,Yami,Popcorn
Cheese Popcorn Snack 255g,JAYONE,5,3.29,,,Korea,5.0,Yami,Popcorn
Buddha Bowl Popcorn Himalayan Sweet At least 95% Organic 198g,Lesser Evil,2,4.59,,,United States,5.0,Yami,Popcorn
Cheese Popcorn Snack 110g,JAYONE,6,1.59,3 Options,,Korea,4.2,Yami,Popcorn
"Black Sugar Popcorn, 200g",TIGER SUGAR,39,6.99,,,Taiwan,4.8,Yami,Popcorn
Cream Flavor Popcorn 150g,mage's,2,3.59,2 Options,$3.59 ,Mainland China,4.5,Yami,Popcorn
Popcorn Cinema Caramel&Butter 43g,SHIRAKIKU,27,2.19,3 Options,,Japan,4.4,Yami,Popcorn
Taiwanese Popcorn Chicken Cookie,TAIWAN NICE,0,22.99,,$22.99 ,Taiwan,0.0,Yami,Popcorn
Popcorn Caramel Flavor 118g,BESTORE,2,2.59,,,Mainland China,4.5,Yami,Popcorn
Caramel Flavor Popcorn 150g,mage's,7,3.59,2 Options,$3.59 ,Mainland China,4.4,Yami,Popcorn
Honey Popcorn Snack 110g,JAYONE,9,1.59,3 Options,,Korea,4.8,Yami,Popcorn
Roasted Pop Adlay Sea Salt Caramel Flavor 150g,Color Fruit,3,13.49,,,Taiwan,4.7,Yami,Popcorn
