Product_Name,Brand,Reviews,Price,Option,Rate,Origin,Platform,Category
Milky Jujube Strawberry Flavor 150g,Yu Cake,7,11.99,4 Options,4.3,United States,Yami,Cake
Chewy Cubes Pistachio Flavor,Yu Cake,2,12.99,No,4.5,United States,Yami,Cake
Milky Jujube Matcha Flavor 150g,Yu Cake,32,11.99,4 Options,4.7,United States,Yami,Cake
Beijing Wheat Flour Cake 210g,Dao Xiang Cun,180,5.99,No,4.7,Mainland China,Yami,Cake
Mini Baked Wheat Baum Kuchen Cake 10pc 270g,MARUKIN,536,6.49,5 Options,4.6,Japan,Yami,Cake
DXC Mung Bean Cake 180g,Dao Xiang Cun,631,6.89,2 Options,4.7,Mainland China,Yami,Cake
Rice Cake 17.6 oz,Jing Hua Fang,111,3.99,No,4.5,Mainland China,Yami,Cake
DXC Wife Cake Honey Flavor 210g,Dao Xiang Cun,124,7.29,2 Options,4.6,Mainland China,Yami,Cake
Spicy Rice Cake Sticks Snack 230g,HAITAI,301,3.49,2 Options,4.5,Korea,Yami,Cake
Cup Rice Cake Spicy Carbonara 140g,WELLHEIM,16,2.99,No,4.5,Korea,Yami,Cake
Egg Flavor Soft Flour Cake 608g,JINGYIZHEN,151,5.99,4 Options,4.9,Mainland China,Yami,Cake
Oreo Cookie and Cream Pie Cake 360g,HAITAI,130,4.99,No,4.7,Korea,Yami,Cake
Avocado Cake 252g,SANWEISUWU,144,18.49,No,4.6,Mainland China,Yami,Cake
Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,NESTLE,5,6.99,No,5.0,Japan,Yami,Cake
Walnut Crisp Cake 650g,Dao Xiang Cun,1,19.99,No,5.0,Mainland China,Yami,Cake
Banana Petit Cake 6pcs 85g,MARUKIN,1,3.39,No,4.0,Japan,Yami,Cake
Castella Japanese Style Baked Sponge Cake Matcha Flavor 7 Slices 280g,IMURAYA,123,6.99,4 Options,4.0,Japan,Yami,Cake
Rice Cake Stick 600g,OTHER BRANDS,8,3.59,No,4.9,Unclear,Yami,Cake
Pia Durian Cake Egg Yolk Taro Mung Bean Flavor 400g,THIEN SA,14,5.69,2 Options,4.6,Vietnam,Yami,Cake
Baked Cake-Roll Cake(Nama Baumkuchen)  295g,MARUKIN,126,4.99,No,4.6,Japan,Yami,Cake
Chocolate and Milk Cake,GAOLEGAO,11,11.99,2 Options,5.0,Mainland China,Yami,Cake
Japan Mocchiri Lemon Cake 7 PCS 119g,TODAYA,1,5.99,No,5.0,Mainland China,Yami,Cake
DXC Wife Cake Brown Sugar Flavor 210g,Dao Xiang Cun,147,7.29,2 Options,4.6,Mainland China,Yami,Cake
Taiwanese Black Date And  Walnut Cake 350g,CHERRY GRANDFATHER,48,25.99,No,4.9,Taiwan,Yami,Cake
Rice Cake Topokki Original Spicy 142g,WELLHEIM,8,2.99,No,4.0,Korea,Yami,Cake
Castella Japanese Style Baked Sponge Cake Original Flavor 7 Slices 280g,IMURAYA,99,6.99,4 Options,4.3,Japan,Yami,Cake
TK FOOD Taiwan Pineapple Cake 180g,TKFOOD,144,3.49,No,4.4,Taiwan,Yami,Cake
Pineapple Cake Mango Flavor 190g,HSUFUCHI,206,4.59,4 Options,4.7,Taiwan,Yami,Cake
Royal Family Bubble Milk Tea Cake 600g,ROYAL FAMILY,0,16.99,No,0.0,Taiwan,Yami,Cake
Milk Cake 195g,HUAMEI,22,3.99,No,5.0,Mainland China,Yami,Cake
Custard Lava Cake 2pc 100g,zhiweiguan,98,8.19,No,4.6,Mainland China,Yami,Cake
"chính hiệu  ""Minh Ngoc"" Green Bean Cake         8.4 oz.",Minh Ngoc,0,4.49,No,0.0,Vietnam,Yami,Cake
Baolaifa Brown Sugar Rice Cake -Original 550g,宝来发,3,21.99,No,5.0,Taiwan,Yami,Cake
Cashew Crisp Cake 650g,Dao Xiang Cun,2,19.99,No,5.0,Mainland China,Yami,Cake
"chính hiệu  ""Minh Ngoc"" Green Bean Cake      12.95 oz.",Minh Ngoc,0,5.99,No,0.0,Vietnam,Yami,Cake
Southern Date and Walnut Cake 80g,Zest Nova,0,3.59,No,0.0,Mainland China,Yami,Cake
Half Baked Lava Custard Cake 180g,CHIKODO,0,6.89,No,0.0,Mainland China,Yami,Cake
Cup Rice Cake 153g,HAITAI,0,2.89,No,0.0,Korea,Yami,Cake
Milk Cake High Calcium 400g,Gold Fuji,0,4.59,No,0.0,Mainland China,Yami,Cake
chính hiệu  Green Bean Cake (Durian Flavor 10.5 oz.,Minh Ngoc,0,5.89,No,0.0,Vietnam,Yami,Cake
Butter Flavored Cake Bread 50g,D-PLUS,12,1.49,No,4.6,Japan,Yami,Cake
【Frozen】Peking Leek Cake,old town,1,4.99,No,3.0,Mainland China,Yami,Cake
Mung Bean Cake Brown Sugar Bubble Flavor 22g*9,Wholesome,0,21.99,No,0.0,Taiwan,Yami,Cake
Nuts Soft Flour Cake Brown Sugar Flv 384g TW,JJF,0,5.89,No,0.0,Taiwan,Yami,Cake
"Soft Flour Cake, Brown Sugar Flavor 300g TW",JJF,0,2.99,No,0.0,Taiwan,Yami,Cake
Black Sugar Plum cake 50g,UME HOUSE,10,4.59,No,4.9,Mainland China,Yami,Cake
WANG Rice Cake Soup 177g,WANG FOOD,70,3.69,No,4.5,Korea,Yami,Cake
Sun Cake 300g,TACHIA MASTER,0,18.99,No,0.0,Mainland China,Yami,Cake
Robert's Cake Cheese Flavor 220g,HUAMEI,52,3.99,2 Options,4.9,Mainland China,Yami,Cake
Strawberry Flavor Chocolate Layer Cake,GAOLEGAO,12,11.99,2 Options,4.3,Mainland China,Yami,Cake
Precieux white chocolate Covered Lemon Cake 10pcs,CHEN YUN PAO CHUAN,8,26.99,No,4.6,Taiwan,Yami,Cake
