Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category
White Rabbit Candy Flavored Milk 200ml,WHITE RABBIT,2.29,107,Mainland China,4.5,Yami,Candy
Assorted Peanut Crisp Candy 328g,HSUFUCHI,6.59,69,Taiwan,4.9,Yami,Candy
UHA Gummy Candy Green Grape Flavor 48g,UHA,2.99,80,Japan,4.8,Yami,Candy
Japanese Lipstick Shaped Candy Gift Box 6 Flavors,eitaro,69.99,7,Mainland China,5,Yami,Candy
Mikakutang Soda Flavour Soft Candy 40g,UHA,2.49,2,Japan,4,Yami,Candy
Nobel Super Soda Candy 84g,NOBEL,3.29,0,Japan,0,Yami,Candy
Strawberry Shake Candy 4.2oz,Milkita,2.29,1,Indonesia,5,Yami,Candy
X'mas Party Hard Candy 13g,WONDERLAND,1.29,0,Japan,0,Yami,Candy
WENHEYOU CINNAMON OIL CANDY,WENHEYOU,5.69,0,Mainland China,0,Yami,Candy
Hinamatsuri -Flower Soft Candy Box 22pcs,HANANOYA,16.99,0,Japan,0,Yami,Candy
CHUNGUANG Coconut Candy228g,CHUN GUANG,3.99,0,Mainland China,0,Yami,Candy
White Rabbit Candy Flavored Milk 200ml*6pk,WHITE RABBIT,12.99,65,Mainland China,4.7,Yami,Candy
Gold Throat Candy Tablet Golden Ginger 15g,ASAHI,3.49,0,Japan,0,Yami,Candy
"Hi-Chew Assorted Fruit Candy 300g (Mango, Grape, Green Apple, Strawberry)",MORINAGA,5.99,0,Japan,0,Yami,Candy
Hi-Chew Chewy Candy Kiwi Flavor 50g,MORINAGA,1.09,0,Japan,0,Yami,Candy
Gummy Candy Orange Flavor 51g,MEIJI,1.59,27,Japan,4.9,Yami,Candy
Vanilla Shake Candy 4.2oz,Milkita,2.29,0,Indonesia,0,Yami,Candy
Hi-Chew Sweet and Sour Chewy Candy 360g,MORINAGA,5.99,0,Japan,0,Yami,Candy
Brown Sugar Dried Plum Candy 160g,JINGUAN,4.39,0,Mainland China,0,Yami,Candy
Nanguo Ginger Coconut Candy 200g,NANGUO,3.29,0,Mainland China,0,Yami,Candy
Hi-Chew Sweet and Sour Watermelon Chewy Candy 50g,MORINAGA,1.19,0,Japan,0,Yami,Candy
Hinamatsuri -Flower Candy Bag 70g,HANANOYA,10.49,0,Japan,0,Yami,Candy
Lobster Crisp Candy 300g,Miss Ma,4.49,0,Mainland China,0,Yami,Candy
Classic Coconut Candy 250g,CHUN GUANG,3.89,0,Mainland China,0,Yami,Candy
Mixed Fruit Flavor Candy with Real Fruit 2.82oz,MORINAGA,2.19,10,Japan,4.7,Yami,Candy
MIKAKUTO TOKUNO Milk Candy 83g,UHA,4.59,53,Japan,4.9,Yami,Candy
Chocolate Gummy Candy Mixed Fruits Flavor 81g,MEIJI,4.49,25,Japan,4.6,Yami,Candy
【Hnamatsuri Limited Edition】Ramune Soda Fizzy Candy 4g,KUPPYRAMUNE,3.99,0,Japan,0,Yami,Candy
Chocolate Shake Candy 4.2oz,Milkita,2.29,0,Indonesia,0,Yami,Candy
Choco Sticks-Popping Candy 144g,OTHER BRANDS,5.99,1,Unclear,5,Yami,Candy
Gummy Candy Grape Flavor 50g,BOURBON,1.99,2,Japan,5,Yami,Candy
Guava Flavored Candy  350g,HONGYUAN,3.29,0,Mainland China,0,Yami,Candy
【Editors' Pick】Super Instant Coffe Latte Variety Pack (Soymilk and Candy Flavored Milk),OTHER BRANDS,39.99,0,Unclear,0,Yami,Candy
Hi-Chew Japanese Fruit Candy Fruit Combos Mix Tropical Flavors 85g,MORINAGA,1.99,0,Japan,0,Yami,Candy
Whistle Candy Tablet Family Assort 110g,CORIS,5.89,0,Japan,0,Yami,Candy
Hi-Chew Tropical Mix Chewy Candy 360g,MORINAGA,6.49,0,Japan,0,Yami,Candy
Sumiyaki Coffee Candy 228g,CHUN GUANG,3.89,0,Mainland China,0,Yami,Candy
Gummy Candy Peach Flavor 50g,BOURBON,1.99,9,Japan,4.8,Yami,Candy
Coconut Candy 200g,NANGUO,3.29,0,Mainland China,0,Yami,Candy
Chocolate Gummy Candy Strawberry Flavor 81g,MEIJI,4.69,24,Japan,4.7,Yami,Candy
Hi-chew 3 Flavor Yogurt Mix Soft Candy 90g,MORINAGA,2.29,9,Japan,4.7,Yami,Candy
KASUGAI Candy Peach Cream Frappe Flavor 76g,KASUGAI,3.29,0,Japan,0,Yami,Candy
Mini Socks Gifts with Apple Flavor Gummy Candy 8pcs 32g,HEART,9.79,1,Japan,5,Yami,Candy
Chocolate Gummy Candy Muscat Flavor 81g,MEIJI,4.49,49,Japan,4.9,Yami,Candy
Premium Milk Candy Tea Flavor 66g,KANRO,3.59,12,Japan,4.7,Yami,Candy
Gummy Candy Orange Flavor 20g,WANT WANT,0.49,0,Taiwan,0,Yami,Candy
KASUGAI Candy Caramel Cream Frappe Flavor 76g,KASUGAI,3.29,0,Japan,0,Yami,Candy
Probiotics Soft Candy 50g,SEIKA FOODS,1.99,2,Japan,5,Yami,Candy
Lipton Tea Candy 61g,KASUGAI,3.19,2,Japan,5,Yami,Candy
Ejiao Gummy Candy  60Pcs,DEEJ,12.99,4,Mainland China,4.8,Yami,Candy
Mixed Candy 96g,OISHI,2.29,0,Mainland China,0,Yami,Candy
Candy-Green Tea Flavor 100g,Mammos,2.29,0,Korea,0,Yami,Candy
Mango Soft Candy 50g,UHA,1.99,9,Japan,4.3,Yami,Candy
Crunch Milk Candy 51.2g,FUJIYA,2.29,18,Japan,4.7,Yami,Candy
Hokkaido Milk Candy 120g,FUJIYA,2.99,33,Japan,4.4,Yami,Candy
Charcoal Roasted Coffee Candy 200g,NANGUO,2.59,17,Mainland China,4.6,Yami,Candy
【Hnamatsuri Limited Edition】Mochi Candy Gift Bag 70g,HANANOYA,10.49,0,Japan,0,Yami,Candy
Candy Bag Flower Pattern 150g,TAIKI,3.99,9,Japan,4.7,Yami,Candy
Coffee Candy 120g,KOPIKO,0.99,9,Indonesia,5,Yami,Candy
Hi-Chew Soft Candy Mixed Berry Flavor 90g,MORINAGA,2.29,9,Japan,5,Yami,Candy
Ginger Coconut Candy 200g,CHUN GUANG,3.89,0,Mainland China,0,Yami,Candy
Mixed Flavor Candy 480g,SEIKA FOODS,13.99,8,Japan,4.4,Yami,Candy
Popping Candy Macaron Biscuits Cream Flavor 133g,AJI,3.49,1,Mainland China,5,Yami,Candy
HI-CHEW Soft Chewy Fruit Candy Green Apple Flavor 50g,MORINAGA,1.29,1,Japan,5,Yami,Candy
Mint Candy Honey Mellon Flavor 15g,KAKAO Friends,3.29,4,Korea,3.5,Yami,Candy
Candy with Strawberry filling 70g,PINE,2.99,2,Japan,4.5,Yami,Candy
Matcha Candy 95g,AMEYASAN,3.89,12,Japan,4.1,Yami,Candy
CANDY IMPACT MINTS 0.53OZ,KAKAO Friends,3.29,2,Korea,4,Yami,Candy
Soft Candy 4 Flavor 100g,UHA,2.99,60,Japan,4.8,Yami,Candy
Candy Bag 150g,TAIKI,3.99,1,Japan,5,Yami,Candy
2 in 1 Mixed Fruit Candy 11.65oz,MORINAGA,6.49,4,Japan,5,Yami,Candy
Gummy Candy 100% Fruit Juice (mango) 150g,TWIN RABBIT,2.39,6,United States,3.5,Yami,Candy
Lucky Candy 368g,GARDEN,4.68,4,Hong Kong,5,Yami,Candy
Queen Milk Candy 70g,KASUGAI,3.49,2,Japan,5,Yami,Candy
Hi-chew Superfruits Mix Candy 90g,MORINAGA,2.29,26,Japan,4.9,Yami,Candy
