Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category
Pocky Almond Chocolate Biscuit Sticks 41g,GLICO,2.19,290,Japan,4.9,Yami,Chocolate
Koala Chocolate Cream Filling Biscuit 41g,LOTTE Japan,1.19,142,Japan,4.8,Yami,Chocolate
Meltyblend Chocolate Premium Cacao 60g,MEIJI,3.99,135,Japan,4.8,Yami,Chocolate
Chocolate Flavored Soy Drink 250ml,VITASOY,0.79,238,Hong Kong,4.7,Yami,Chocolate
Bun With Chocolate Filling Breadd 75g,D-PLUS,1.99,26,Japan,4.5,Yami,Chocolate
Pejoy Chocolate Cream Filled Biscuit Sticks 8 Packs 120g,GLICO,3.59,141,Japan,4.9,Yami,Chocolate
UHA Gummy Candy Green Grape Flavor 48g,UHA,2.99,80,Japan,4.8,Yami,Chocolate
Pocky Matcha Chocolate Biscuit Sticks 70g,GLICO,1.99,162,Japan,4.7,Yami,Chocolate
Assorted Peanut Crisp Candy 328g,HSUFUCHI,6.59,69,Taiwan,4.9,Yami,Chocolate
GGE Baked Rice Snack Chocolate Flavor 45g,WEILIH,1.89,200,Taiwan,4.7,Yami,Chocolate
Meltyblend Chocolate Fruity Strawberry 60g,MEIJI,3.99,76,Japan,4.8,Yami,Chocolate
Pocky Classic Chocolate Biscuit Sticks Family Pack 9 Packs,GLICO,3.59,85,Japan,4.8,Yami,Chocolate
Meltyblend Green Tea Chocolate 60g,MEIJI,3.99,108,Japan,4.6,Yami,Chocolate
Gummy Candy Orange Flavor 51g,MEIJI,1.59,27,Japan,4.9,Yami,Chocolate
Mushroom Chocolate Cookie 74g,MEIJI,2.99,29,Japan,4.9,Yami,Chocolate
Taste Sugar Kololo Grape 40g,UHA,2.89,87,Japan,4.5,Yami,Chocolate
Pocky Winter Melty Chocolate Flavor Stick 56g,GLICO,1.99,6,Japan,4.7,Yami,Chocolate
Milk Chocolate Lollipop,FUJIYA,1.68,10,Japan,4.6,Yami,Chocolate
Peko Poko Chocolate Lollipops 0.8oz,FUJIYA,1.69,16,Japan,4.9,Yami,Chocolate
Kit Kat Chocolate Wafer Melon Flavor 11pc,NESTLE,4.19,2,Japan,5,Yami,Chocolate
Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,NESTLE,6.99,7,Japan,4.9,Yami,Chocolate
Japanese Kit Kat Strawberry Chocolate Wafer,NESTLE,5.99,1,Japan,5,Yami,Chocolate
Pocky Super Slender Chocolate Biscuit Sticks 73g  Random version,GLICO,2.19,143,Japan,4.8,Yami,Chocolate
Mikakuto Coke Flavored Gummy 40g,UHA,2.49,2,Japan,5,Yami,Chocolate
Chocolate and Milk Cake,GAOLEGAO,11.99,11,Mainland China,5,Yami,Chocolate
Gummy Candy Peach Flavor 50g,BOURBON,1.99,9,Japan,4.8,Yami,Chocolate
Japanese Kit Kat Milk Tea Chocolate Wafer 12pc,NESTLE,6.99,3,Japan,3.7,Yami,Chocolate
PEKO Chan Gummy Grape 1.76oz,FUJIYA,1.69,9,Japan,4.2,Yami,Chocolate
PEKO Chan Gummy Peach 1.76oz,FUJIYA,1.69,6,Japan,4.7,Yami,Chocolate
POCKY Banana Cream Covered Chocolate Biscuit Sticks 70g,GLICO,1.99,96,Japan,4.7,Yami,Chocolate
Japanese Kit Kat Matcha Chocolate Wafer 135g,NESTLE,6.99,203,Japan,4.7,Yami,Chocolate
Chocolate Gummy Candy Muscat Flavor 81g,MEIJI,4.49,49,Japan,4.9,Yami,Chocolate
Dark Chocolate 50g,MEIJI,1.99,47,Japan,4.6,Yami,Chocolate
Japanese Kit Kat Matcha Chocolate Wafer 12pc,NESTLE,6.99,1,Japan,5,Yami,Chocolate
Milk Chocolate 50g,MEIJI,1.99,25,Japan,4.5,Yami,Chocolate
Gummy Candy Grape Flavor 50g,BOURBON,1.99,2,Japan,5,Yami,Chocolate
Japanese Kit Kat Strawberry Milk Flavor 11pc,NESTLE,6.99,2,Japan,5,Yami,Chocolate
Chocolate Milk 200ml*6,KUANG QUAN,7.99,5,Taiwan,5,Yami,Chocolate
Japanese Kit Kat Crepe White Chocolate Wafer,NESTLE,6.99,1,Japan,5,Yami,Chocolate
Jaga Chocolate Potato Chips 40g,BOURBON,2.49,17,Japan,4.6,Yami,Chocolate
Mixed Fruit Flavor Candy with Real Fruit 2.82oz,MORINAGA,2.19,10,Japan,4.7,Yami,Chocolate
Chocolate Gummy Candy Mixed Fruits Flavor 81g,MEIJI,4.49,25,Japan,4.6,Yami,Chocolate
Hello Kitty Marshmallow Strawberry Flavor 90g,EIWA,2.69,7,Japan,5,Yami,Chocolate
