Product_Name,Brand,Reviews,Price,Option,Origin,Rate,Platform,Category
Colorful Dried Fruits and Vegetables 50g,BESTORE,1,2.89,No,Mainland China,5.0,Yami,Dried Fruit
Dried Plum Slice 14g,I FACTORY,229,2.49,2 Options,Japan,4.8,Yami,Dried Fruit
Freeze Dried Strawberry 20g,BIG GREEN,178,1.99,5 Options,Mainland China,4.6,Yami,Dried Fruit
Yellow Peach Dried Fruits 98g,BESTORE,0,6.99,No,Mainland China,0.0,Yami,Dried Fruit
Fragrant Dried Olives 70g,yifen,0,2.19,No,Mainland China,0.0,Yami,Dried Fruit
SWEETB Honey Dried Mango 105g,SIAM'S ROYAL,1,5.39,No,Thailand,5.0,Yami,Dried Fruit
Wugang Presrever Dried Tofu 280g,FANGJIE,9,2.99,No,Mainland China,4.6,Yami,Dried Fruit
HAN Dried Plum 160g,TEN WOW,0,4.89,No,Mainland China,0.0,Yami,Dried Fruit
Freeze Dried Durian 30g,THREE SQUIRRELS,0,3.89,No,Mainland China,0.0,Yami,Dried Fruit
Dried Mango 135g,MR FANG'S STORE,28,7.39,No,Mainland China,4.9,Yami,Dried Fruit
Dried Pitted Preserved Plum Brown Sugar Flavored 36g,HAPPYFULL,3,3.99,No,Mainland China,4.7,Yami,Dried Fruit
Presreved Dried Tofu 150g,FANGJIE,2,2.29,No,Mainland China,5.0,Yami,Dried Fruit
All Natural Freeze Dried Durian 150g,JHL,15,13.99,No,Thailand,4.9,Yami,Dried Fruit
Freeze Dried Durian 80g,SUNGIVEN FOODS,7,15.99,7 Options,Mainland China,4.6,Yami,Dried Fruit
Dried Longan Meat 170g,TSH,7,8.89,No,United States,4.4,Yami,Dried Fruit
Dried Plum 280g,MR FANG'S STORE,13,12.99,No,Mainland China,5.0,Yami,Dried Fruit
Dried Sweet Potato 150g,NONGHYUP,14,8.99,No,Korea,4.6,Yami,Dried Fruit
Freeze-Dried Mixed 150g,SUNGIVEN FOODS,3,15.99,7 Options,Mainland China,4.3,Yami,Dried Fruit
Dried Mangoes 100g,PHILIPPINE,50,3.99,No,Philippine,4.4,Yami,Dried Fruit
SWEETB Coco Milk Dried Mango 108g,SIAM'S ROYAL,5,5.39,No,Thailand,5.0,Yami,Dried Fruit
Dried Plum 190g,TEN WOW,10,6.99,No,Mainland China,4.8,Yami,Dried Fruit
TRAI Mixed Dried Vegetable and Fruit 250g,VANPHAT,38,3.59,No,Vietnam,4.2,Yami,Dried Fruit
Freeze-Dried Strawberry 130g,SUNGIVEN FOODS,0,15.99,7 Options,Mainland China,0.0,Yami,Dried Fruit
Irvine Dried Mango Without Cane Sugar 75g,MWGP,0,8.19,No,Taiwan,0.0,Yami,Dried Fruit
Dried Kumquat Lemon Flavor 170g,TSH,8,6.29,No,United States,4.1,Yami,Dried Fruit
Natural Dried Yujing Mango Slices 150g,SHUN TAI,0,12.49,5 Options,Japan,0.0,Yami,Dried Fruit
Salted Dried Plum 190g,TEN WOW,9,5.89,No,Mainland China,4.8,Yami,Dried Fruit
Dried Pitted Preserved Plum Original Flavor 36g,HAPPYFULL,1,3.99,No,Mainland China,5.0,Yami,Dried Fruit
Dried Mango 116g,THREE SQUIRRELS,3,4.79,No,Mainland China,4.7,Yami,Dried Fruit
Natural Dried Red Guava Slices 150g,SHUN TAI,1,10.69,5 Options,Japan,5.0,Yami,Dried Fruit
Freeze-Dried Yellow Peach 150g,SUNGIVEN FOODS,0,15.99,7 Options,Mainland China,0.0,Yami,Dried Fruit
Natural Dried Aiwen Mango Slices 150g,SHUN TAI,0,12.49,5 Options,Japan,0.0,Yami,Dried Fruit
Freeze-Dried Pear 150g,SUNGIVEN FOODS,0,15.99,7 Options,Mainland China,0.0,Yami,Dried Fruit
Dried Turkish Apricots 250g - Fruit Snack / 100% Nature,NestLady,5,9.90,No,United States,5.0,Yami,Dried Fruit
Dried Cranberries|Non GMO Vegan|No Artificial Color or Flavor Kosher 130g,NestLady,4,16.99,No,United States,5.0,Yami,Dried Fruit
Dried Strawberries 150g - Fruit Snack / 100% Nature,NestLady,0,16.99,No,United States,0.0,Yami,Dried Fruit
