Product_Name,Brand,Reviews,Price,Origin,Rate,Platform,Category
Premium Dried Abalone - All Natural Gluten Free Wild Caught Gourmet Dried Seafood for Cooking -  100g,NestLady,10,35.90,United States,4.6,Yami,Dried Seafood
ROASTED SHRIMP FLAVOR HIMEGO 50g- 100% Natural Dried fish Dried seafood snack Resealable bag NON GMO,NestLady,0,16.99,United States,0.0,Yami,Dried Seafood
ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,NestLady,2,12.99,United States,3.5,Yami,Dried Seafood
Demae Ramen Noodle with Soup Base XO Sauve Seafood Flavor 100g,NISSIN,55,0.79,Japan,4.7,Yami,Dried Seafood
Cup Noodles Instant Noodle Seafood Flavor 72g,NISSIN,221,1.89,Japan,4.6,Yami,Dried Seafood
Cup Noodles Instant Noodle Spicy Seafood Flavor 72g,NISSIN,276,1.89,Japan,4.7,Yami,Dried Seafood
Scallop seafood flavour thick strips 70g*5,SAUTAO,3,4.99,Hong Kong,5.0,Yami,Dried Seafood
Seafood Curry Ramen 465g,SHANBENZHIFEN,0,7.99,Japan,0.0,Yami,Dried Seafood
"Captain Jiang Cooked Seafood Soup, Frozen 2 Jar / Box 560g",CAPTAIN JIANG,0,45.99,Mainland China,0.0,Yami,Dried Seafood
Menraku Ramen Seafood Tonkotsu 82.8g,HIKARI,2,1.99,Japan,5.0,Yami,Dried Seafood
Odongtong Spicy Seafood Udon 120g*4,OTTOGI,1,4.99,Korea,5.0,Yami,Dried Seafood
Big Cup Noodles Spicy Seafood Flavor 99g,NISSIN,16,2.50,Japan,4.8,Yami,Dried Seafood
Rice Stick Seafood Flavor 75g,KOIKEYA,1,2.09,Japan,5.0,Yami,Dried Seafood
Furikake Seas Rst Seaweed Flakes Seafood 30g,SHIRAKIKU,0,2.19,Japan,0.0,Yami,Dried Seafood
Beijing Seafood Noodle 5Pcs,OTTOGI,45,4.99,Korea,4.6,Yami,Dried Seafood
Seasoned Soy Sauce For Seafood 410ml,LEE KUM KEE,86,3.49,Hong Kong,5.0,Yami,Dried Seafood
Seafood Noodle Soup 5packs,PALDO,38,6.29,Korea,4.7,Yami,Dried Seafood
SPICY SEAFOOD SOUP 500g,HAITAI,0,4.99,Korea,0.0,Yami,Dried Seafood
Seafood Flavor Noodles,JINMAILANG,29,4.99,Mainland China,4.7,Yami,Dried Seafood
Cup Noodles Instant Noodle Seafood Flavor 99g,NISSIN,13,2.49,Japan,4.8,Yami,Dried Seafood
Nagasaki Agodashi Seafood 2 Servings 178g,MARUTAI,36,3.99,Japan,4.8,Yami,Dried Seafood
SPICY SEAFOOD RAMEN 70g,DREAM KITCHEN,0,1.99,Singapore,0.0,Yami,Dried Seafood
Tasty Seafood Flavored Soy Sauce 500mL,HAITIAN,46,3.49,Mainland China,4.9,Yami,Dried Seafood
Seafood Scallop XO Sauce 250g,PENGHU UNCLE,1,19.29,Mainland China,5.0,Yami,Dried Seafood
【Frozen】Ramen Seafood 356g,MYOJO,0,4.99,Japan,0.0,Yami,Dried Seafood
Menraku Seafood 195g,HIKARI,2,3.29,Japan,4.0,Yami,Dried Seafood
Demae Iccho Instant Noodle With Soup Base XO Sauce Seafood Flavor 133g,NISSIN,50,2.39,Japan,4.5,Yami,Dried Seafood
【Frozen】Noodle Seafood Ton katsu Dipping 243g,SUN NOODLE,1,4.79,Japan,5.0,Yami,Dried Seafood
Instant Noodle Seafood Flavor 520g,JINMAILANG,32,4.99,Mainland China,4.6,Yami,Dried Seafood
NoodleZero 6 pack single - Seafood,Noodle Zero,0,23.49,United States,0.0,Yami,Dried Seafood
Neoguri Cup Noodles Spicy Seafood Flavor 75g,NONGSHIM,18,1.29,Korea,4.4,Yami,Dried Seafood
Shrimp Seafood Flavored Hotpot Base 200g,HAIDILAO,72,4.39,Mainland China,4.3,Yami,Dried Seafood
Koikeya Cup Noodle Potato Chips Spicy Seafood Flavor 50g,NISSIN,17,1.99,Japan,4.8,Yami,Dried Seafood
Neoguri Noodle Soup Spicy Seafood Flavor 120g,NONGSHIM,11,1.69,Korea,4.4,Yami,Dried Seafood
Tofu Broth Seasoning Seafood 450g,JAYONE,45,2.49,Korea,4.6,Yami,Dried Seafood
