Product_Name,Brand,Option,Price,Reviews,Origin,Rate,Platform,Category
Low Calories Konjac Jelly Drink Peach Flavor 150ml,Jelly.B,10 Options,1.1,280,Korea,4.8,Yami,Jelly
Low Calories Konjac Jelly Drink Lychee Flavor 150ml,Jelly.B,10 Options,1.69,137,Korea,4.7,Yami,Jelly
Low Calories Konjac Jelly Drink Blueberry Flavor 150ml,Jelly.B,10 Options,1.69,75,Korea,4.7,Yami,Jelly
Low Calories Konjac Jelly Drink Watermelon Flavor 150ml,Jelly.B,10 Options,1.69,120,Korea,4.3,Yami,Jelly
Low Calories Konjac Jelly Drink Apple Flavor 150ml,Jelly.B,10 Options,1.69,124,Korea,4.8,Yami,Jelly
"Low Calories Konjac Jelly Drink Jeju Mandarin Flavor, 150ml",Jelly.B,10 Options,1.69,2,Korea,4.5,Yami,Jelly
WAKASHOU Grape Flavor 204g,CHIA SEED JELLY,4 Options,5.29,8,Japan,5,Yami,Jelly
JINJIN Passion Fruit Flavor Jelly  480g,JINGJING,4 Options,1.59,31,Taiwan,4.4,Yami,Jelly
Turtle Jelly Guilinggao Mangosteen Flavor 250g,COINS,No,1.49,22,Mainland China,4.8,Yami,Jelly
Jelly Cup Mix Fruit Flavor 320g,NEW TOWN,No,1.29,28,Vietnam,4.8,Yami,Jelly
Purunchuchu Toy Jelly 5g,HEART,No,3.49,1,Japan,5,Yami,Jelly
Konjac Jelly Grapefruit 150g,DR.LIV,16 Options,1.85,62,Korea,4.9,Yami,Jelly
CICI Jelly Drink Mango Flavor 150g,STRONGFOOD,9 Options,1.19,100,Mainland China,4.8,Yami,Jelly
Konjac Jelly Peach 150g,DR.LIV,16 Options,1.85,83,Korea,4.9,Yami,Jelly
Kommyaku Jelly Peach Flavor 130g,ORIHIRO,7 Options,2.19,49,Japan,4.5,Yami,Jelly
SCHENG Lychee Coconut Jelly 280g,TRIKOFOODS,2 Options,1.49,131,Taiwan,4.9,Yami,Jelly
Passion Fruit Jelly Drink 220g,Chen Jiah Juang,No,2.89,0,Taiwan,0,Yami,Jelly
Mini Rabbit Jelly Cup 4.5oz,DRAGONFLY BRAND,No,4.29,0,Mainland China,0,Yami,Jelly
Guava Jelly Drink 220g,Chen Jiah Juang,No,2.89,0,Taiwan,0,Yami,Jelly
Tangerine Peel & Lemon Jelly 70g*5,SUNITY,No,5.99,7,Mainland China,4.9,Yami,Jelly
Konjac Jelly Strawberry 312g,jeagueijih,No,3.99,12,Taiwan,4.4,Yami,Jelly
Kommyaku Jelly Grape Flavor 130g,ORIHIRO,7 Options,2.39,44,Japan,4.7,Yami,Jelly
Kommyaku Jelly Lychi Flavor 130g,ORIHIRO,7 Options,2.19,16,Japan,4.7,Yami,Jelly
Konjac Jelly Purunto St Shine Muscat 130g,ORIHIRO,No,2.29,0,Japan,0,Yami,Jelly
Konjaku Juice Jelly-Strawbrry Flavor 110g,WHIKO,No,2.99,0,Mainland China,0,Yami,Jelly
Milky Oatmeal Herbal Jelly 222g*2Cups 444g,SUNITY,5 Options,4.39,106,Mainland China,4.7,Yami,Jelly
Milky Longan Herbal Jelly 222g*2Cups 444g,SUNITY,5 Options,4.39,113,Mainland China,4.6,Yami,Jelly
Kojac Jelly - Peach and Mango Flavor 260g,AJI,3 Options,4.69,3,Mainland China,5,Yami,Jelly
Fruits Jelly Drink Orange Flavor 150g,SHIRAKIKU,10 Options,1.29,47,Japan,4.6,Yami,Jelly
Mini Tiger Jelly Cup 4.9oz,DRAGONFLY BRAND,No,3.99,0,Mainland China,0,Yami,Jelly
Mango Flavor Jelly 400g,JINGJING,2 Options,1.69,88,Taiwan,4.8,Yami,Jelly
Brown Sugar & Date Jelly 70g*5,SUNITY,No,5.99,0,Mainland China,0,Yami,Jelly
Konjac Jelly Green Grape 150g x10 Packs,DR.LIV,No,17.49,17,Korea,5,Yami,Jelly
Konjac Jelly Grapefruit 150g x10 Packs,DR.LIV,No,17.49,29,Korea,5,Yami,Jelly
Kommyaku Jelly Apple Flavor 130g,ORIHIRO,7 Options,2.19,46,Japan,4.6,Yami,Jelly
Konjac Jelly Sweet Mascut Flavor Low Calories Drink 150g,DR.LIV,16 Options,1.85,61,Korea,4.8,Yami,Jelly
Konjac Jelly Apple Mango 150g,DR.LIV,16 Options,1.85,71,Korea,4.8,Yami,Jelly
QOO Jelly Drink Grape Flavor 125g,MINUTE MAID,2 Options,2.69,6,United States,3.7,Yami,Jelly
Konjac Jelly  Passion Fruit and Grape Flavor 260g,AJI,3 Options,4.99,3,Mainland China,5,Yami,Jelly
Konjac Jelly Sweet Muscat 150g x10 Packs,DR.LIV,No,17.49,19,Korea,4.9,Yami,Jelly
Cranberry and Blueberry Jelly 50g,LITTLE JASMINE,No,2.49,0,United States,0,Yami,Jelly
Konjac Jelly Peach 150g x10 Packs,DR.LIV,No,17.49,10,Korea,4.9,Yami,Jelly
Konjac Jelly Lychee 312g,jeagueijih,No,3.99,11,Taiwan,4.5,Yami,Jelly
Konjac Jelly  Lychee and Pineapple Flavor 260g,AJI,3 Options,4.99,3,Mainland China,4.7,Yami,Jelly
Herbal Jelly Kumquat Lemon 198g*2,SUNITY,No,3.69,2,Mainland China,5,Yami,Jelly
Konjac Jelly Mango 312g,jeagueijih,No,3.99,12,Taiwan,4.5,Yami,Jelly
Konjac Jelly Blueberry 150g,DR.LIV,16 Options,1.85,37,Korea,4.8,Yami,Jelly
QOO Jelly Drink Orange Flavor 125g,MINUTE MAID,No,2.69,16,United States,4.1,Yami,Jelly
QOO Jelly Drink Peach Falvour 125g,MINUTE MAID,2 Options,3.59,0,United States,4.4,Yami,Jelly
Coconut Jelly Assorted 400g,JINGJING,4 Options,2.19,2,Taiwan,5,Yami,Jelly
Jelly Peach Flavor 180g,YAKISS,No,2.39,5,Hong Kong,4.8,Yami,Jelly
Jelly Millk Tea Flavor 180g,YAKISS,No,2.39,6,Hong Kong,4.5,Yami,Jelly
Konjac Jelly Apple Mango 150g x10 Packs,DR.LIV,No,17.49,27,Korea,4.9,Yami,Jelly
Konjac Jelly Blueberry 150g x10 Packs,DR.LIV,No,17.49,17,Korea,4.9,Yami,Jelly
Pudding Jelly Coke Flavor 150g,yifen,No,0.89,5,Mainland China,3.8,Yami,Jelly
Jelly Lemon Tea Flavor 180g,YAKISS,3 Options,2.59,6,Hong Kong,4.3,Yami,Jelly
Szechuan Jelly Dessert Powder 250g,KANGYAKU,No,2.19,11,Mainland China,3.8,Yami,Jelly
Konnyaku Konjac Jelly Apple Flavor 130g,YAMAKICHI SEIKA,3 Options,2.29,0,Japan,0,Yami,Jelly
Jelly Durian Mango Flavor 180g,YAKISS,3 Options,2.59,4,Hong Kong,3.5,Yami,Jelly
Energy Jelly 130g,ORIHIRO,No,2.39,0,Japan,0,Yami,Jelly
Jelly Macchiato Cocoa flavor 180g,YAKISS,3 Options,2.59,1,Hong Kong,3,Yami,Jelly
Konjac Jelly Passion Fruit 312g,jeagueijih,No,3.99,13,Taiwan,4.5,Yami,Jelly
Coconut Jelly Candy 200g,NANGUO,No,2.99,1,Mainland China,2,Yami,Jelly
LOTTE YOGURT JELLY GUMMY CANDY (50g)-YOGURT FLAVORED,Jelly.B,3 Options,3.99,2,Korea,3,Yami,Jelly
Teochew Gummy Jelly 250g,MushroomStorm,No,8.54,1,Mainland China,5,Yami,Jelly
Konjac White Peach & Grape Flavor Jelly 12pcs,ORIHIRO,No,7.99,0,Japan,0,Yami,Jelly
TOKYO Sakura Jelly 3pc,eitaro,No,19,23,Mainland China,4.6,Yami,Jelly
Prunto Konnyaku Jelly Grape 6pc,ORIHIRO,No,2.58,0,Japan,0,Yami,Jelly
Prunto Konnyaku Jelly Orange & Muscat 12pc,ORIHIRO,No,7.47,0,Japan,0,Yami,Jelly
Jushida Konnyaku Jelly - Passion Fruit 160g,NESTLE,No,4.79,0,Japan,0,Yami,Jelly
Chia Konjac Grape Jelly 144g,ROYAL FAMILY,No,8.99,0,Taiwan,0,Yami,Jelly
Jelly Chocolate Flavor 6p,ORIHIRO,5 Options,3.99,0,Japan,0,Yami,Jelly
Konjac Macha Jelly 6pc,ORIHIRO,42 Options,3.9,0,Japan,0,Yami,Jelly
Meal Replacement Enzyme Jelly Instant Probiotics Intestinal Smoothing Fruit and Vegetable Enzyme Jelly 35g*10,Nanjing Tongrentang,No,41.9,0,Mainland China,0,Yami,Jelly
Blueberry Pomegranate Collagen Enzyme Jelly 105g Replenish collagen through the stomach and intestines,Nanjing Tongrentang,No,38.9,0,Mainland China,0,Yami,Jelly
JAPAN FETTUCCINE JELLY DROPS COLA 50g,BOURBON,42 Options,2.99,0,Japan,0,Yami,Jelly
Heart-shaped Fruit Juice Collagen Jelly White Peach Flavor 54g,KANRO,No,2.9,0,Japan,0,Yami,Jelly
Konnyaku Jelly Muscat 6pc,ORIHIRO,No,2.58,0,Japan,0,Yami,Jelly
Jelly Drink White Peach Flavor 150g,TARAMI,No,3.2,7,Japan,4.9,Yami,Jelly
Lemon+Cantaloupe Flavor Konjac Jelly 12pcs,ORIHIRO,No,4.99,1,Japan,5,Yami,Jelly
Sakura flavor fruit jelly 120g,BE & CHEERY,No,9.9,0,Mainland China,0,Yami,Jelly
HOKKAIDO Cantaloupe Jelly 12pc,HORI,No,15.5,6,Japan,4.5,Yami,Jelly
Prunto Konnyaku Jelly Apple & Grape  12pc,ORIHIRO,No,7.47,0,Japan,0,Yami,Jelly
Purun and Konjac Jelly Pouch Watermelon 20g x 6pcs 120g,ORIHIRO,No,3.99,0,Japan,0,Yami,Jelly
Prunto Konnyaku Jelly Peach 6pc,ORIHIRO,No,2.8,0,Japan,0,Yami,Jelly
Prunto Konnyaku Jelly Grape 6pc,ORIHIRO,No,2.8,0,Japan,0,Yami,Jelly
Konnyaku Jelly Muscat 6pcs,ORIHIRO,No,3.99,3,Japan,5,Yami,Jelly
Jushida Konnyaku Jelly - Lychee 160g,NESTLE,No,4.79,0,Japan,0,Yami,Jelly
Jushida Konnyaku Jelly - Peach 160g,NESTLE,No,4.79,0,Japan,0,Yami,Jelly
Sakura Jelly 3pc,eitaro,No,18.99,0,Mainland China,0,Yami,Jelly
Prunto Konnyaku Jelly Peach 6pc,ORIHIRO,No,2.58,0,Japan,0,Yami,Jelly
Konnyaku Jelly Apple Grape Flavour 12pcs,ORIHIRO,No,6.99,1,Japan,5,Yami,Jelly
Konnyaku Jelly Muscat 6pc,ORIHIRO,No,2.8,0,Japan,0,Yami,Jelly
