Product +_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category
Original Beef Jerky 170g,HSINTUNGYANG,12.99,1,Taiwan,4.0,Yami,Jerky
Spicy Flavor Beef Jerky 80g,Old Farm,12.49,0,Taiwan,0.0,Yami,Jerky
CHINESE BRAND Hot Flavor Beef Jerky 42.52g,CHINESEBRANDBEEFJERKY,3.19,65,United States,4.0,Yami,Jerky
Mild Spicy Flavor Beef Jerky 80g,Old Farm,12.49,0,Taiwan,0.0,Yami,Jerky
Original Flavor Beef Jerky 80g,Old Farm,12.49,0,Taiwan,0.0,Yami,Jerky
King's Fruit Flavored Beef Jerky 227g,KING’S,21.99,3,Taiwan,3.7,Yami,Jerky
Black Pepper Flavor Beef Jerky 80g,Old Farm,12.49,0,Taiwan,0.0,Yami,Jerky
Extra Spicy Flavor Beef Jerky 80g,Old Farm,12.49,0,Taiwan,0.0,Yami,Jerky
Hot Fruit Flavored Beef Jerky 170g USDA Certified,HSINTUNGYANG,11.99,15,Taiwan,4.3,Yami,Jerky
Garlic Flavor Beef Jerky 80g,Old Farm,12.49,0,Taiwan,0.0,Yami,Jerky
CHINESE BRAND Fruit Flavor Beef Jerky 42.52g,CHINESEBRANDBEEFJERKY,3.99,32,United States,3.7,Yami,Jerky
Sweet Flavored Beef Jerky 170g USDA Certified,HSINTUNGYANG,11.99,12,Taiwan,4.7,Yami,Jerky
Dried Hot Beef Jerky 170g USDA Certified,HSINTUNGYANG,11.99,10,Taiwan,3.8,Yami,Jerky
Jerky Fruit Mango  100% Organic 23g,SOLELY,2.19,1,United States,5.0,Yami,Jerky
Jerky Fruit Banana w/Cacao  100% Organic 23g,SOLELY,2.19,0,United States,0.0,Yami,Jerky
"Vegan Jerky Original Flavor Plant Based Protein,7.5 oz",LITTLE JASMINE,13.99,2,United States,5.0,Yami,Jerky
Jerky Fruit Banana w/Pecan  100% Organic 23g,SOLELY,2.19,0,United States,0.0,Yami,Jerky
Vegan Jerky Wasabi flavor 7.5oz,LITTLE JASMINE,13.99,0,United States,0.0,Yami,Jerky
"Vegan Jerky Black Pepper Flavor Plant Based Protein,7.5oz",LITTLE JASMINE,13.99,0,United States,0.0,Yami,Jerky
Tender Duck Jerky Treats 8oz (Pack of 2),Alpha Dog Series,22.99,0,Korea,0.0,Yami,Jerky
Tender Duck Jerky Treats 8oz (Pack of 5),Alpha Dog Series,49.99,0,Korea,0.0,Yami,Jerky
Tender Duck Jerky Treats 8oz (Pack of 1),Alpha Dog Series,15.00,0,Korea,0.0,Yami,Jerky
Vital Dried Pork Jerky Sweet Flavor 170g,VITAL BRAND,16.99,13,United States,4.4,Yami,Jerky
Vital Dried Pork Jerky Spicy Flavor 170g,VITAL BRAND,16.99,10,United States,3.6,Yami,Jerky
Vital Dried Beef Jerky Regular Flavor 170g,VITAL BRAND,16.99,8,United States,4.9,Yami,Jerky
Vital Dried Beef Jerky Spicy Flavor 170g,VITAL BRAND,16.99,10,United States,4.7,Yami,Jerky
Vital Dried Beef Jerky Fruit Flavor 170g,VITAL BRAND,16.99,3,United States,5.0,Yami,Jerky
Spicy Beef Jerky Chili Oil Flavor 100g,YUMEI,5.99,209,Mainland China,4.7,Yami,Jerky
CHINESE BRAND Hot Fruit Flavor Beef Jerky 43g,CHINESEBRANDBEEFJERKY,3.19,19,United States,4.2,Yami,Jerky
Spicy Beef Jerky 226g,KING’S,17.99,9,Taiwan,5.0,Yami,Jerky
Hot Fruit Flavored Beef Jerky 340g USDA Certified,HSINTUNGYANG,19.99,1,Taiwan,5.0,Yami,Jerky
CHINESE BRAND Five Spice Flavor Beef Jerky 43g,CHINESEBRANDBEEFJERKY,3.19,63,United States,3.5,Yami,Jerky
Dried Beef Jerky 170g USDA Certified,HSINTUNGYANG,11.99,10,Taiwan,4.8,Yami,Jerky
