Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category
Huajiao Rice Crust Hot Spicy Flavor 158g,HJSJ,2.49,18,Mainland China,4.7,Yami,Rice Crust
Huajiao Rice Crust Spicy Flavor 158g,HJSJ,2.49,11,Mainland China,4.5,Yami,Rice Crust
Huajiao Rice Crust Peppercorn Flavor 158g,HJSJ,2.49,14,Mainland China,4.2,Yami,Rice Crust
Crunchy Rice Rollers Original Brown Rice  At least 95% Organic 74g,CRUNCHY RICE ROLLERS,5.49,0,United States,0.0,Yami,Rice Crust
Millet Crisp Crust Cumin Flavor  130g,HJSJ,1.99,1,Mainland China,5.0,Yami,Rice Crust
Millet Crisp Crust(spicy) 130g,HJSJ,1.99,3,Mainland China,5.0,Yami,Rice Crust
Millet Crisp Crust(Tomato) 130g,HJSJ,1.99,1,Mainland China,5.0,Yami,Rice Crust
Millet Crisp Crust Spiced Flavor 105g,HAOBALAIBA,1.69,5,Mainland China,4.8,Yami,Rice Crust
Millet Crisp Crust Spicy Flavor 105g,HAOBALAIBA,1.69,7,Mainland China,4.4,Yami,Rice Crust
Millet Crust-Five Spices Flavor 90g,BESTORE,2.49,28,Mainland China,4.6,Yami,Rice Crust
Millet Crust Spicy 90g (packaging may vary),BESTORE,2.49,42,Mainland China,4.5,Yami,Rice Crust
"Guangxi Specialty Snail Rice Noodle, 280g",LUOBAWANG,3.69,2082,Mainland China,4.8,Yami,Rice Crust
Snail Rice Noodle Tomato Flavor 306g,LUOBAWANG,3.69,1093,Mainland China,4.7,Yami,Rice Crust
Guangxi Specialty Snails Rice Noodle Hot Spicy Flavor 315g,LUOBAWANG,3.69,882,Mainland China,4.7,Yami,Rice Crust
Snail Rice Noodles 300g River Snail Noodle 300g Gold Award in the Conch Noodles 300g,HAOHUANLUO,4.29,1486,Mainland China,4.7,Yami,Rice Crust
"River Snails Rice Noodle Liuzhou specialty, 268g",LIUQUAN,3.99,1390,Mainland China,4.6,Yami,Rice Crust
Instant Hot Pot Self  Heating Rice 465g,YUMEI,7.49,269,Mainland China,4.6,Yami,Rice Crust
"River Snails Rice Noodle Original, 315g",LIUQUAN,3.99,463,Mainland China,4.7,Yami,Rice Crust
Rice Cake w/Sweet Spicy Sauce 280g,YOPOKKI,4.99,27,Korea,4.4,Yami,Rice Crust
Mushroom Rice Noodles 400g,LUOBAWANG,4.69,29,Mainland China,4.9,Yami,Rice Crust
Sweet Rice 907g,SHIRAKIKU,3.99,96,Japan,4.8,Yami,Rice Crust
Spicy Rice Cake Sticks Snack 230g,HAITAI,3.49,302,Korea,4.5,Yami,Rice Crust
"Xinjiang Stir Fried Rice Noodle Vermicelli Hot Spicy, 250g",QIANFENXISHI,4.59,293,Mainland China,4.7,Yami,Rice Crust
Energy 99 Rice Roll Egg Yolk Flavor 180g,Pei Tien,2.59,481,Taiwan,4.8,Yami,Rice Crust
Cup Rice Cake Spicy Carbonara 140g,WELLHEIM,2.99,18,Korea,4.6,Yami,Rice Crust
WANTWANT Rice Snack Original Flavor  70g,WANT WANT,1.89,18,Taiwan,4.6,Yami,Rice Crust
Puffed Rice Caramel Flavor 100g,CAPTAIN DANNY,5.49,8,Taiwan,4.8,Yami,Rice Crust
WanHe Sesame Paste Soup Base Rice Noodle 220g,WanHe,1.99,94,Mainland China,4.7,Yami,Rice Crust
Spice Shrimp Rice Noodles 60g*4bag,OLD POT RICE NOODLES,9.99,9,Taiwan,4.1,Yami,Rice Crust
Extra Spicy Soup Rice Noodle 220g,WanHe,3.99,5,Mainland China,4.0,Yami,Rice Crust
Rice Cake Topokki Original Spicy 142g,WELLHEIM,2.99,9,Korea,4.1,Yami,Rice Crust
HongKong Style Rice Noodle Tomato Beef Flavor 297g,BaMan,6.99,1,Mainland China,5.0,Yami,Rice Crust
Rice Cake Stick 600g,OTHER BRANDS,3.59,10,Unclear,4.8,Yami,Rice Crust
Red Bean Purple Rice Coix Seed Drink 15g*30,Yami,14.29,272,United States,4.9,Yami,Rice Crust
GGE Baked Rice Snack Chocolate Flavor 45g,WEILIH,1.89,200,Taiwan,4.7,Yami,Rice Crust
Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,MR FANG'S STORE,17.99,0,Mainland China,5.0,Yami,Rice Crust
【Frozen】Rice Cake(Dukbokki)1.5lb,DAFENG,2.69,0,Mainland China,0.0,Yami,Rice Crust
Baolaifa Brown Sugar Rice Cake -Original 550g,宝来发,21.99,3,Taiwan,5.0,Yami,Rice Crust
Crispy Rice Chips original flavor 220g,YUMEI,3.69,0,Mainland China,0.0,Yami,Rice Crust
Rice Cracker Honey Sauce  Flavor 108g,xasunfood,2.99,0,Mainland China,0.0,Yami,Rice Crust
Yami x Ishizawa Exclusive Rice Skin Care Bonus Kit,ISHIZAWA LAB,23.5,5,Japan,5.0,Yami,Rice Crust
Rice Cracker 218g,WOLONG,4.69,0,Mainland China,0.0,Yami,Rice Crust
Crispy Rice Chips Hot and Spicy flavor 220g,YUMEI,3.69,0,Mainland China,0.0,Yami,Rice Crust
Soban Cooked White Rice 210g,HAITAI,1.29,3,Korea,5.0,Yami,Rice Crust
HongKong Style Rice Noodle Pork Bone Flavor 289g,BaMan,6.99,1,Mainland China,5.0,Yami,Rice Crust
