Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category
Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,NESTLE,6.99,7,Japan,4.9,Yami,Wafer
Japanese Kit Kat Crepe White Chocolate Wafer,NESTLE,6.99,1,Japan,5.0,Yami,Wafer
Japanese Kit Kat Milk Tea Chocolate Wafer 12pc,NESTLE,6.99,3,Japan,3.7,Yami,Wafer
Japanese Kit Kat Oat Chocolate Wafer,NESTLE,6.99,1,Japan,5.0,Yami,Wafer
Wafer White Chocolate 57g,BOURBON,3.29,0,Japan,0.0,Yami,Wafer
Wafer Roll Condensed Milk Flavor 400g,Healthful,19.99,0,Taiwan,0.0,Yami,Wafer
Japanese Kit Kat Pistachio Chocolate Wafer 11pc,NESTLE,7.99,2,Japan,4.0,Yami,Wafer
Japanese Kit Kat Matcha Chocolate Wafer 12pc,NESTLE,6.99,1,Japan,5.0,Yami,Wafer
Japanese KitKat Blue Ocean Chocolate Wafer 12pcs 124g,NESTLE,7.29,0,Japan,0.0,Yami,Wafer
Japanese Kit Kat Matcha Chocolate Wafer 135g,NESTLE,6.99,203,Japan,4.7,Yami,Wafer
Japanese Kit Kat Orange Chocolate Wafer 9pc,NESTLE,6.99,2,Japan,5.0,Yami,Wafer
Crispy Wafer with Milky Cream 61g,BOURBON,2.49,47,Japan,4.6,Yami,Wafer
Quadratini Bite Size Wafer Cookies Coconut Flavor 250g,LOACKER,5.29,8,Itlay,4.2,Yami,Wafer
Peacock Wafer Roll Coffee Flavor 63g,Peacock Brand Herbs,3.29,0,Mainland China,0.0,Yami,Wafer
Japanese Kit Kat Cocoa Flavor Wafer,NESTLE,6.99,1,Japan,5.0,Yami,Wafer
Purple Sweet Potato Wafer 7oz,GARDEN,2.29,0,Hong Kong,0.0,Yami,Wafer
Peacock Wafer Roll Egg Pudding Flavor 63g,Peacock Brand Herbs,3.29,0,Mainland China,0.0,Yami,Wafer
Japanese Kit Kat Chocolate Wafer Original 14pc,NESTLE,6.99,0,Japan,0.0,Yami,Wafer
Uji Matcha Wafer 7oz,GARDEN,2.29,0,Hong Kong,0.0,Yami,Wafer
Deka Wafer Bites Ube Flavor 198g,JANS,3.49,0,Indonesia,0.0,Yami,Wafer
Wafer Rolls Filled with Cconut Cream,XIAO QUAN,4.29,0,Mainland China,0.0,Yami,Wafer
Cream Wafer Pack Strawberry  Flavor 400g,IMEI,4.19,1,Taiwan,3.0,Yami,Wafer
Chocolate and Caramel Crispy Wafer Roll 185g,BOURBON,5.99,4,Japan,5.0,Yami,Wafer
Japanese Kit Kat Raspberry Chocolate Wafer,NESTLE,6.99,11,Japan,4.7,Yami,Wafer
Party Wafer Coconut Flavor 250g,GASTONE LAGO,4.29,1,New Zealand,5.0,Yami,Wafer
Quadratini Bite Size Wafer Cookies Chocolate Flavor 250g,LOACKER,5.29,42,Itlay,4.9,Yami,Wafer
Quadratini Bite Size Wafer Cookies Tiramisu Flavor 250g,LOACKER,5.29,50,Itlay,4.9,Yami,Wafer
Salted Egg Cube Wafer Spicy Flavor 100g,SNAZK BITES,3.99,2,Malaysia,5.0,Yami,Wafer
KEKOU Angle Wafer 114g,LUCKY,1.59,18,Taiwan,4.4,Yami,Wafer
Quadratini Bite Size Wafer Cookies Vanilla Flavor 250g,LOACKER,5.29,10,Itlay,4.4,Yami,Wafer
Quadratini Bite Size Wafer Cookies Cappuccino Flavor 220g,LOACKER,5.29,22,Itlay,4.8,Yami,Wafer
Wafer Roll Coffee 400g,Healthful,15.99,2,Taiwan,5.0,Yami,Wafer
Quadratini Bite Size Wafer Cookies Lemon Flavor 250g,LOACKER,5.29,18,Itlay,4.9,Yami,Wafer
Deka Choco Wafer Roll 360g,DUA KELINCI,4.49,15,Indonesia,4.2,Yami,Wafer
Wafer Roll Chocolate 400g,Healthful,14.99,2,Taiwan,5.0,Yami,Wafer
Deka Choco Banana Wafer Roll 360g,DUA KELINCI,4.49,11,Indonesia,3.9,Yami,Wafer
Party Wafer Chocolate & Milk Flavor 220g,GASTONE LAGO,5.29,1,New Zealand,5.0,Yami,Wafer
Deka Wafer Bites Durian Flavor 198g,JANS,3.49,0,Indonesia,0.0,Yami,Wafer
Chocolate Wafer Sticks 330g,ASTOR,4.79,2,Indonesia,5.0,Yami,Wafer
Deka Mini Wafer Bites Choco Choco 200g,JANS,3.49,2,Indonesia,5.0,Yami,Wafer
ELISE Rich Black and White Chocolate Wafer Rolls 44pcs 5.57oz,BOURBON,4.99,7,Japan,4.9,Yami,Wafer
KIT KAT Chocolate Wafer Bars Heavy Matcha Flavor 13pc,NESTLE,7.99,0,Japan,0.0,Yami,Wafer
Melon Flavor Wafer 11pc,NESTLE,7.99,0,Japan,0.0,Yami,Wafer
KIT KAT Wafer Bars Strawberry Flavor  13pc,NESTLE,7.99,0,Japan,0.0,Yami,Wafer
Coffee Mini Cut Wafer 12pc,NESTLE,7.99,0,Japan,0.0,Yami,Wafer
Strawberry Milk Flavor Wafer 12pc,kit kat,7.99,0,United States,0.0,Yami,Wafer
Wafer Biscuit Milk Flavor 118g,BESTORE,6.99,0,Mainland China,0.0,Yami,Wafer
TAIYANG Millet Crisp Hot 50g,xasunfood,1.49,92,Mainland China,3.9,Yami,Wafer
BACKERY Egg Roll Bricelets Oeufs 315g,Choi Heong Yuen Bakery,13.99,52,Macao,4.8,Yami,Wafer
Huajiao Rice Crust Hot Spicy Flavor 158g,HJSJ,2.49,18,Mainland China,4.7,Yami,Wafer
CHIO HEONG YUEN Vegetarian Phoenix Egg Roll With Seaweed 150g,Choi Heong Yuen Bakery,8.99,106,Macao,4.7,Yami,Wafer
Egg Roll  Egg Yolk Flavor 178g,TOTASTE,6.99,46,Mainland China,4.8,Yami,Wafer
YAM Twisted  Roll Caramel & Spicy Flavor  88g,YUMEI,1.99,440,Mainland China,4.7,Yami,Wafer
Japanese Chocolate Egg Roll Limited Edition 7pc,Yoku Moku,19.99,2,Japan,5.0,Yami,Wafer
TAIYANG Millet Crisp Cumin Flavor 50g,xasunfood,1.49,88,Mainland China,4.2,Yami,Wafer
Millet Crisp Crust Cumin Flavor  130g,HJSJ,1.99,1,Mainland China,5.0,Yami,Wafer
Millet Crisp Crust(spicy) 130g,HJSJ,1.99,3,Mainland China,5.0,Yami,Wafer
Coconut Flavour Wafers 700g,GARDEN,12.99,0,Hong Kong,0.0,Yami,Wafer
Waffle Knot Coffee 32 pc 256g,June 1st,19.99,3,Taiwan,5.0,Yami,Wafer
BACKERY Phoenix Egg Rolls 300g,Choi Heong Yuen Bakery,13.49,13,Macao,4.8,Yami,Wafer
Year of Tiger Special Edition Salted Egg Yolk Crispy Egg Rolls 308g*2,KALUOKAMAN,8.49,0,Mainland China,0.0,Yami,Wafer
AJI Egg Roll White Peach Flavor 218g,AJI,6.79,0,Mainland China,0.0,Yami,Wafer
CHIO HEONG YUEN Mini Egg Roll 150g,Choi Heong Yuen Bakery,7.99,24,Macao,4.7,Yami,Wafer
Waffle Knot Sesame 32pc 256g,June 1st,19.99,3,Taiwan,4.3,Yami,Wafer
Millet Crisp Crust(Tomato) 130g,HJSJ,1.99,1,Mainland China,5.0,Yami,Wafer
Strawberry Flavour Wafers 700g,GARDEN,12.99,0,Hong Kong,0.0,Yami,Wafer
June 1 Waffle Knot Assam Black tea 32 pc,June 1st,19.99,0,Taiwan,0.0,Yami,Wafer
Millet Crisp Cumin Flavor 105g,HAOBALAIBA,1.69,0,Mainland China,0.0,Yami,Wafer
Chocolate Flavour Wafers Tin 700g,GARDEN,12.99,1,Hong Kong,5.0,Yami,Wafer
Huajiao Rice Crust Spicy Flavor 158g,HJSJ,2.49,11,Mainland China,4.5,Yami,Wafer
Peanut Flavour Wafers Tin 700g,GARDEN,12.99,0,Hong Kong,0.0,Yami,Wafer
Durian Flavour Wafers 700g,GARDEN,12.99,0,Hong Kong,0.0,Yami,Wafer
Rice Cracker Honey Sauce  Flavor 108g,xasunfood,2.99,0,Mainland China,0.0,Yami,Wafer
Fried Dough Twist White Sesame Flavor 420g,OTHER BRANDS,5.39,1,Unclear,4.0,Yami,Wafer
Crispy Rice Chips original flavor 220g,YUMEI,3.69,0,Mainland China,0.0,Yami,Wafer
Seaweed Egg Roll 80g,KALUOKAMAN,4.99,0,Mainland China,0.0,Yami,Wafer
Rice Cracker 218g,WOLONG,4.69,0,Mainland China,0.0,Yami,Wafer
Crispy Crepe Cookie 88g,BOURBON,2.59,280,Japan,4.7,Yami,Wafer
